split,trade_date,control_set,available_controls,n,raw_ic,residual_ic,score_coef_after_controls
test,20250108,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.10637984841648003,-0.10869539069747372,-0.005516023680833866
test,20250108,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.10637984841648003,-0.0331478860668531,-0.0016357168563907699
test,20250109,none,,90,-0.18164839890992654,-0.18164839890992654,-0.007125058482928452
test,20250109,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.18164839890992654,-0.18342612200724934,-0.007299858684600889
test,20250109,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.18164839890992654,-0.08324330479548872,-0.003571739454697659
test,20250109,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.18164839890992654,-0.14665872862057458,-0.006302702779556511
test,20250109,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.18164839890992654,-0.133116665570879,-0.005782412371029246
test,20250110,none,,90,-0.17491159125942957,-0.17491159125942957,-0.008680955087408584
test,20250110,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.17491159125942957,-0.18607402022384845,-0.009238301767685916
test,20250110,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.17491159125942957,-0.10430022330447095,-0.005822258416031614
test,20250110,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.17491159125942957,-0.044761555083437175,-0.002427220405222239
test,20250110,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.17491159125942957,-0.05494360478719938,-0.0028089889354171653
test,20250113,none,,90,-0.15952227874599728,-0.15952227874599728,-0.007447287390991238
test,20250113,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.15952227874599728,-0.16232515542493753,-0.007396281307718945
test,20250113,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.15952227874599728,-0.013906591100261583,-0.000733729419769425
