trade_date,ts_code,lag1_net_mf_strength_20d_mean,lag1_net_mf_strength_60d_mean,lag1_close_position,lag1_excess_ret_10d_mean,lag1_excess_ret_1d,lag1_excess_ret_5d_mean,lag1_industry_neutral_ret_1d,lag1_ret_1d,lag1_ret_20d,lag1_ret_5d_mean,lag1_bollinger_z_20d,lag1_ma_ratio_20_60,lag1_macd_hist,lag1_turnover_cost_proxy__resid_style,lag1_turnover_20d_std__resid_style,lag1_turnover_60d_std__resid_style,lag1_amount_rank_pct__resid_style,lag1_amount_log__resid_style,next_amount
20260303,300001.SZ,-0.0007862428629977086,-0.0025879353338956242,0.6216216216216226,0.010732141214012914,0.013157719449532257,0.021787196317653357,0.007655774836733655,0.008280887711162643,0.04676753782668519,0.022938760491799194,2.3001892554951606,0.031120242613632998,0.6238006482379107,0.3304441785986706,1.01228436632985,1.2847011224130602,0.59,14.204819766853305,1475959.8609999996
20260304,300001.SZ,-6.07698815912475e-05,-0.002553463614306384,0.0468085106382976,0.01308688825150035,0.0027097888079667953,0.013639722111167152,-0.01579622541207717,-0.022996057818659765,0.039133473095737115,0.007677784222184902,1.5163474112737851,0.030904169454282204,0.5725560322382819,0.41452762284656014,1.2781892132396289,1.3623702143535086,0.61,14.450665455935871,1887313.4599999986
20260305,300001.SZ,0.0009227011769693021,-0.002438245082786484,0.5563380281690153,0.01591878374244864,0.026832787999488295,0.022169737850110626,0.01804838196420037,0.01277740416946882,0.07379679144385021,0.010582305195694697,1.6232086757306736,0.03250404233426418,0.5532937809165275,0.2835204621192157,1.3092317558903066,1.3699849642160178,0.59,14.028264380888356,1237079.073
20260306,300001.SZ,0.0017072372165313377,-0.001890871597730935,0.39999999999999947,0.016093348775121787,0.013268047574593878,0.018222939251967406,0.02919752725092421,0.029880478087649376,0.1043075827696689,0.010544414799238556,1.9728982268455,0.03504132029489182,0.6201965171409833,0.4110523697061102,1.4781664236122984,1.4333717507438555,0.74,14.462877331787412,1910502.4119999986
20260309,300001.SZ,0.003370602022134693,-0.0015059575719556077,0.8015267175572532,0.02138844298887519,0.06417778657198947,0.024029226080714138,0.06459906101053778,0.06802063185041929,0.20868296242247353,0.019192668800008073,2.6066292126020176,0.040830845377875624,0.8906238394051007,0.50560993308559,1.780111542897784,1.564558110517611,0.84,14.730525475533357,2496811.498000002
20260310,300001.SZ,0.0037415670393650497,-0.0014215180303264131,0.8187500000000006,0.019758956687857876,-0.01833482566372646,0.017730717058062395,-0.0452887657837867,-0.024750980984002413,0.19933184855233854,0.012586295060975061,1.836195694720501,0.04627504647487335,0.8984387603231874,0.42415447002272616,1.8876648610539768,1.6206884092529943,0.7,14.519238709590951,2021273.2950000006
20260311,300001.SZ,0.003814460615979642,-0.0014222300277410868,0.481203007518798,0.012157006286339034,-0.0325723441747906,0.010674290461510916,-0.010333674238684414,-0.0021665119158155166,0.18922906676503137,0.01675220424154391,1.5804327065939177,0.05135426906862728,0.834922416713419,0.31746622676540437,1.901478872510893,1.6234945038708524,0.6,14.224190226499063,1504828.599000001
20260312,300001.SZ,0.003945952444868453,-0.0014781218763701893,0.7630331753554501,0.015559165307086476,0.018204299512245337,0.008948592764062324,-0.0285887185570702,0.03132754342431765,0.20821220930232553,0.020462232092513678,1.78811352261008,0.05715658309563132,0.8659698468726509,0.4059751261830114,1.9383361156238132,1.6614016791697355,0.7,14.50532217420966,1993338.9850000015
20260313,300001.SZ,0.0037073219713510143,-0.0014734476416575428,0.339285714285711,0.010357361780755425,-0.019015994698000527,0.0024917843095434433,-0.04140364819653973,-0.028571428571428692,0.15895227843559367,0.008771850760698063,1.2152940544634059,0.061122909874068876,0.7025214982192032,0.3008492304003998,1.9086782106652902,1.663166887614256,0.61,14.167893979077755,1422452.8179999997
20260316,300001.SZ,0.004838863217567333,-0.001388783073399422,0.05263157894736842,0.002571936252776674,-0.0427079028515317,-0.01888535357516079,-0.0424269577110543,-0.04489164086687292,0.15111940298507465,-0.013810603782760379,0.49972464343371004,0.06517356554932596,0.36031634351978514,0.33877054975790344,1.88601849153742,1.6678217520116003,0.7,14.26157026770089,1562143.7390000003
20260317,300001.SZ,0.004500652709074992,-0.0014440393754412105,0.2833333333333334,-0.0011607848112994868,-0.024169491191229353,-0.02005228668066137,-0.011134706801835838,-0.010048622366288562,0.13489409141583053,-0.010870132059217608,0.28690088295719524,0.06859042600643517,0.06869188523500114,0.2259489331520074,1.8195273300040349,1.6522904122061457,0.55,13.80090605651216,985500.6270000007
20260318,300001.SZ,0.0038002114057525023,-0.0015194757696763096,0.03623188405797156,-0.002020633125297366,-0.005888694332012001,-0.014715556712105648,0.0006205414625227966,-0.028814669286182037,0.09244935543278099,-0.01619976353329091,-0.20937112675244585,0.07036964530424128,-0.24885083591168788,0.18688050528273625,1.7685855833866764,1.6430734968783536,0.5050505050505051,13.576590004192282,787476.4419999997
20260319,300001.SZ,0.003908928568761879,-0.0017133070979047451,0.7222222222222228,-0.005444219328892141,-0.007403074036459456,-0.019837031421846608,0.018873942775765373,0.012811867835468504,0.11218067382450925,-0.019902898651060742,-0.10005196640653209,0.07326629537343399,-0.40460481373014456,0.14651944124446623,1.715455265481573,1.647747232545567,0.43434343434343436,13.307449055492768,601659.767
20260320,300001.SZ,0.003713390202016722,-0.0017348206892624995,0.1700000000000017,-0.009552330274983067,-0.027813061886315382,-0.021596444859509577,-0.02919472947853717,-0.03894806924101191,0.06807251202367737,-0.021978226784977385,-0.849079670253294,0.07460623175904812,-0.647700442331921,0.20996915049645723,1.6051683943388129,1.6346693583124519,0.53,13.665817065104594,860970.8299999993
20260323,300001.SZ,0.00242677719587506,-0.0016913672541796283,0.032258064516130266,-0.017893018048159626,-0.019229091159776113,-0.01690068252115846,-0.05187223617347669,-0.006234845860755067,0.036114120621162815,-0.014246867783753813,-1.0250924458949289,0.07413215734364687,-0.8049614363245527,0.15406474361998498,1.6310568689543568,1.6294499976197276,0.37,13.332057365871986,616649.2989999998
20260324,300001.SZ,0.002977475030123573,-0.0019793327981161898,0.1891891891891899,-0.01696448615494266,-0.0090495067315568,-0.01387668562922395,-0.022495340653501623,-0.043917741373300845,0.008455882352941257,-0.02102069158515627,-1.8287591021631462,0.0732987068051727,-1.036190546976632,0.2276904139887526,1.5337095543588464,1.6188876535202594,0.45,13.708086982327593,898144.1599999998
20260325,300001.SZ,0.0014366878662608851,-0.00180271587831371,0.8589743589743554,-0.011586978445070917,0.021202732923926826,-0.008458400178036184,0.030578486469894767,0.026248632883703937,-0.017452006980802848,-0.010008031151179075,-1.3399540812023811,0.07052412528216712,-1.0465803915076248,0.18020656651732522,1.578781142660719,1.6027280344157746,0.45,13.457889170574918,699336.8030000004
20260326,300001.SZ,0.0011989386833575768,-0.002127667212362205,0.7333333333333317,-0.013217075754208218,0.00190332642087232,-0.00659712008656983,0.012388907998054774,0.022024866785079977,0.005944055944055782,-0.00816543136125678,-0.9731658740606354,0.06875693055074761,-0.9283859739325918,0.17820842880085647,1.5746451434746982,1.5835950555003246,0.5,13.472987872437045,709976.0130000006
20260327,300001.SZ,-0.00019636671863922016,-0.0023233819455705375,0.22352941176470376,-0.01164279605038454,-0.003273197659763749,-0.0016891472412595033,-0.015755878796513745,-0.016684045881126153,-0.03971486761710796,-0.00371262668927963,-1.1917754982475737,0.06509780488233541,-0.8740762596080116,0.14778449923063405,1.6467255964808756,1.5728740037562075,0.43,13.261201345220348,574467.9600000002
20260330,300001.SZ,-0.0008545232831448573,-0.002153135151309349,0.8373983739837376,-0.006178024107583846,0.011939816576475248,0.004544634305990769,0.004252617081341984,0.019088016967126142,-0.045048029148724855,0.001351945876296612,-0.8161578732481009,0.06088039721388849,-0.7304750138047507,0.15635852199394087,1.7019968099729,1.5626719530051825,0.43,13.326424255153464,613185.4049999999
20260331,300001.SZ,-0.0018387425565499574,-0.0024390650200263155,0.523809523809524,-0.0066503043211830985,-0.028892293327221874,0.0005760769868577542,-0.01122738189654783,-0.03572667360388471,-0.08672798948751648,0.0029901594301798397,-1.2769831965455416,0.05554484088717482,-0.7371579446010068,0.21586745581884506,1.704639947814272,1.5619182190842567,0.59,13.637535073700535,836961.9420000003
20260401,300001.SZ,-0.0029130744363745457,-0.0027486156372995185,0.027397260273972,-0.0055190327452556585,0.005424021427262393,-0.0025796653124751322,0.022523555441249656,-0.021582733812949728,-0.08540685944855408,-0.006576113909150893,-1.4487707976385538,0.05072912528335394,-0.7811224325754933,0.13533025639856058,1.6830695365048232,1.5634091183903505,0.39,13.128623615161477,503138.937
20260402,300001.SZ,-0.003472624262671354,-0.0025415656936556637,0.5079365079365064,-0.004574173946781201,0.002045513948285116,-0.002551227806992573,0.03244065684274417,0.02169117647058827,-0.0773572377158035,-0.006642851972049235,-1.0467352564910652,0.04578994069023512,-0.6924832113033175,0.1345391910968933,1.7298317190439538,1.5632718409939534,0.34,13.133719517664042,505709.4330000002
20260403,300001.SZ,-0.0045482884816824805,-0.002373816011092005,0.25517241379310424,-0.0020781705194664823,-0.002853027613168191,-0.0024671937976734615,0.0014614167631708357,-0.02590860021590491,-0.12733720180528685,-0.008487762839004986,-1.2639989705180785,0.038236031946980775,-0.6910011383732966,0.16000520467874935,1.6551422121360964,1.559358903885539,0.46,13.302692273501343,598804.5940000005
20260407,300001.SZ,-0.006084086551957355,-0.002485915160076028,0.04166666666666944,-0.0014234666344864477,-0.012682052309975766,-0.007391567574963664,0.010352104327112435,-0.019948282231252223,-0.1992152127980682,-0.01629502267868066,-1.405911918137155,0.026349400752339935,-0.7196758798777251,0.11894593014193233,1.382878950624017,1.5548162413268574,0.4,12.961351415389878,425639.9439999999
20260408,300001.SZ,-0.006390125521275587,-0.0025340169576430842,0.26506024096385344,0.0002560590974949317,0.007745750588256994,-6.395879186789077e-05,0.005505869311777717,0.011307953260459858,-0.16960693283813078,-0.006888097305811747,-1.149657562917781,0.016079962699615313,-0.6568951889832747,0.11750600005491102,1.205738468751143,1.553353326313768,0.4,12.957636199755612,424061.53000000014
20260409,300001.SZ,-0.005854598594346655,-0.002469108436746885,0.8727272727272724,-0.0014377099044628582,0.004265042904348926,-0.00029575449645058427,0.023222346397567865,0.06336190831159172,-0.11507444168734493,0.010100831119096543,-0.19075507383141374,0.008306218313261393,-0.35989641670283623,0.23628361563710476,1.1416113648790853,1.5491055169898378,0.43,13.752117307154204,938573.3059999993
20260410,300001.SZ,-0.006204163899973021,-0.0025746443150410094,0.9032258064516139,-0.0008317183105085557,0.007963242360415346,0.0008877911859754617,-0.004546900099251035,0.000701016473887206,-0.14135338345864656,0.00590279911975633,-0.058875420546220046,-0.000976835054423475,-0.1452705286721918,0.2658732735186817,0.9011300055018838,1.5415558867549017,0.51,13.881425354100784,1068134.7039999997
20260413,300001.SZ,-0.005624875770682936,-0.0024292753673082253,0.22222222222221782,-0.0033697255685655515,-0.028653270240333706,-0.0042722573394576415,-0.04630767218459946,0.009106830122591836,-0.10804953560371511,0.012905885187455678,0.2948898109002325,-0.008131545167829213,0.03743816718812287,0.19581702512043278,0.8136337798161596,1.541435469887622,0.42,13.588195400086054,796668.6660000006
20260414,300001.SZ,-0.0061526446121699125,-0.002409169173750104,0.17543859649123048,-0.0067539205776217855,-0.021902133514087097,-0.006116273580279908,-0.02780066513359057,-0.013884068031933317,-0.07909238249594819,0.01411872802731946,0.06781173721029231,-0.0133058666511926,0.10623924819074815,0.15165508510657222,0.6137920562287443,1.5405921022936955,0.39,13.297279142225133,595571.9379999995
20260415,300001.SZ,-0.006253593226580707,-0.002473655459086369,0.4038461538461558,-0.004712397443534344,-0.008477061986347456,-0.009360836095200798,-0.0172486637268031,0.015135515663498689,-0.05566470203012441,0.014884240507927226,0.6420573926107055,-0.017155015479517033,0.205733757803928,0.15754790747600605,0.5920640193869815,1.5429076027455955,0.37,13.348320734252082,626760.1049999995
20260416,300001.SZ,-0.00611668671439541,-0.002429790847862763,0.09722222222222276,-0.004723985070015213,0.0053081451624537035,-0.009152215643579842,0.018696223144517108,-0.006934812760055475,-0.034389750505731564,0.0008248962935977877,0.5099432578538257,-0.019684970947578262,0.23837148197892588,0.17306888593109682,0.5902438552925077,1.5463468107168312,0.39,13.45533593442738,697553.5060000005
20260417,300001.SZ,-0.0061707287225616905,-0.002483592443437656,0.6395348837209315,-0.007222398265919705,-0.022938618010759804,-0.015332587717814872,-0.009974609387817739,0.008729050279329575,-0.03828229027962715,0.0024305030546862617,0.9798728202470544,-0.02174026380272165,0.28428634545078557,0.15414902879422834,0.5871735918341396,1.4942328052074696,0.38,13.32282153228133,610980.2389999997
20260420,300001.SZ,-0.006191081281890181,-0.0024869565630061593,0.6885245901639339,-0.008302465088015331,-0.013653695834124457,-0.012332672836573022,0.002664790123911409,0.0006922810661127432,0.0013855213023898916,0.0007475932433904431,1.0008674976775025,-0.022265448608843497,0.30611205815644493,0.1662159670919132,0.573802473256979,1.4536829426499456,0.41,13.407857494025476,665208.6240000003
20260421,300001.SZ,-0.005266061802339161,-0.002177094707517435,0.6521739130434786,-0.003936231266286472,0.030980285907312832,-0.0017561889522930362,0.031726457626280936,0.03078519543410585,0.03868943882886011,0.009681445936598277,1.901982180172593,-0.021425349571493113,0.4220400616630466,0.242281161985301,0.6162718191077312,1.4540067984234373,0.45,13.847135173487153,1032128.9870000001
20260422,300001.SZ,-0.005481651856750584,-0.0023580317020369186,0.705882352941177,-0.0056908844727474595,-0.009800781476352882,-0.0020209328502941216,-0.024375631595725793,-0.006711409395973145,0.07911046299671898,0.005312060924703909,1.4742086287013607,-0.018512098731193194,0.45078799868061836,0.1612540302576497,0.5914050108139312,1.4277503883218172,0.4,13.397494602448942,658350.7239999996
