trade_date,ts_code,lag1_net_mf_strength_20d_mean,lag1_net_mf_strength_60d_mean,lag1_close_position,lag1_excess_ret_10d_mean,lag1_excess_ret_1d,lag1_excess_ret_5d_mean,lag1_industry_neutral_ret_1d,lag1_ret_1d,lag1_ret_20d,lag1_ret_5d_mean,lag1_bollinger_z_20d,lag1_ma_ratio_20_60,lag1_macd_hist,lag1_turnover_cost_proxy__resid_style,lag1_turnover_20d_std__resid_style,lag1_turnover_60d_std__resid_style,lag1_amount_rank_pct__resid_style,lag1_amount_log__resid_style,amount
20260304,300001.SZ,0.0,0.0,0.5563380281690153,0.0,0.023445463812436396,0.0,0.023445463812436396,0.023445463812436396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9216295213737669,14.028264380888356,1237079.073
20260305,300001.SZ,0.0,0.0,0.39999999999999947,0.0,0.013394315583142857,0.0,0.013394315583142857,0.013394315583142857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.956355003652301,14.462877331787412,1910502.412
20260306,300001.SZ,0.0,0.0,0.8015267175572532,0.0,0.061178731582319124,0.03267283699263279,0.061178731582319124,0.061178731582319124,0.0,0.03267283699263279,0.0,1.0,0.0,0.0,0.0,0.0,0.9758992148986672,14.730525475533357,2496811.498
20260309,300001.SZ,0.0,0.0,0.8187500000000006,0.0,-0.004314329738058564,0.023426045309959953,-0.004314329738058564,-0.004314329738058564,0.0,0.023426045309959953,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,14.519238709590951,2021273.295
20260310,300001.SZ,0.0,0.0,0.481203007518798,0.017385321768608762,-0.0067775723967959944,0.017385321768608762,-0.0067775723967959944,-0.0067775723967959944,0.0,0.017385321768608762,0.0,1.0,0.0,0.0,0.0,0.0,0.9359372148202226,14.224190226499063,1504828.599
20260311,300001.SZ,0.0,0.0,0.7630331753554501,0.020190204636100884,0.034214618973561484,0.019539152800833782,0.034214618973561484,0.034214618973561484,0.0,0.019539152800833782,0.0,1.0,0.0,0.0,0.0,0.0,0.9536665450565487,14.50532217420966,1993338.985
20260312,300001.SZ,0.0,0.0,0.339285714285711,0.014190894447106956,-0.02180496668685661,0.012499296346833888,-0.02180496668685661,-0.02180496668685661,0.0,0.012499296346833888,0.0,1.0,0.0,0.0,0.0,0.0,0.9288580809923386,14.167893979077755,1422452.818
20260313,300001.SZ,0.0,0.0,0.05263157894736842,0.006768626574985226,-0.045187248529866886,-0.008773899675603315,-0.045187248529866886,-0.045187248529866886,0.0,-0.008773899675603315,0.0,1.0,0.0,0.0,0.0,0.0,0.9405218025907681,14.26157026770089,1562143.739
20260316,300001.SZ,0.0,0.0,0.2833333333333334,0.004050937428005873,-0.01769057574782895,-0.01144914887755739,-0.01769057574782895,-0.01769057574782895,0.0,-0.01144914887755739,0.0,1.0,0.0,0.0,0.0,0.0,0.9018248175182482,13.80090605651216,985500.627
20260317,300001.SZ,0.0,0.0,0.03623188405797156,-0.0006458633170535078,-0.04291707002258793,-0.01867704840271578,-0.04291707002258793,-0.04291707002258793,0.0,-0.01867704840271578,0.0,1.0,0.0,0.0,0.0,0.0,0.8811610076670318,13.576590004192282,787476.442
