ts_code,weight,volume,market_value,close_price
300003.SZ,0.006347065772032634,500,6335.0,12.67
300012.SZ,0.008668478778157277,600,8652.0,14.42
300033.SZ,0.09172236421437152,400,91548.0,228.87
300347.SZ,0.015806047295909523,400,15776.0,39.44
300383.SZ,0.03108609466595999,2300,31027.0,13.49
300498.SZ,0.02184953596787493,1600,21808.0,13.63
300529.SZ,0.0018294778373688385,100,1826.0000000000002,18.26
300548.SZ,0.08790310380032441,400,87736.0,219.34
300677.SZ,0.009035175869327592,200,9018.0,45.09
300724.SZ,0.09452368953380376,1200,94344.0,78.62
300750.SZ,0.08418002622986297,200,84020.0,420.1
300759.SZ,0.01475204363495004,600,14724.0,24.54
300857.SZ,0.0947641466427679,400,94584.0,236.46
300919.SZ,0.02079953992539818,400,20760.0,51.9
300972.SZ,0.019374831554785647,100,19338.0,193.38
301236.SZ,0.03972551821011743,1000,39650.0,39.65
301301.SZ,0.0018134473634378956,200,1810.0000000000002,9.05
301308.SZ,0.05067633571419268,100,50580.0,505.8
301358.SZ,0.09375522868973918,1100,93576.99999999999,85.07
