ts_code,weight,volume,market_value,close_price
300012.SZ,0.008613740828800918,600,8676.0,14.46
300033.SZ,0.08984262737204388,400,90492.0,226.23
300209.SZ,0.044641337324366585,1800,44964.0,24.98
300302.SZ,0.05090307815046702,1100,51271.0,46.61
300347.SZ,0.015563508671309727,400,15676.0,39.19
300383.SZ,0.03089568935586166,2300,31119.0,13.53
300548.SZ,0.09316660204871809,400,93840.0,234.6
300632.SZ,0.024760037174903885,900,24939.0,27.71
300672.SZ,0.09361932978245867,300,94296.0,314.32
300721.SZ,0.009519196296282065,300,9588.0,31.96
300724.SZ,0.09004516346345413,1200,90696.0,75.58
300750.SZ,0.0861552791196042,200,86778.0,433.89
300759.SZ,0.014320493051478152,600,14424.0,24.04
300835.SZ,0.0388988434384993,200,39180.0,195.9
300857.SZ,0.09353593256834855,400,94212.0,235.53
300919.SZ,0.020368776722415816,400,20516.0,51.29
300959.SZ,0.022338539493778314,100,22500.0,225.0
300972.SZ,0.01902945717676662,100,19167.0,191.67
301308.SZ,0.05157720563119037,100,51950.0,519.5
301358.SZ,0.09171509339361125,1100,92378.0,83.98
301387.SZ,0.009098238929821532,100,9164.0,91.64
