ts_code,weight,volume,market_value,close_price
300012.SZ,0.008570319179060875,600,8724.0,14.54
300033.SZ,0.021974950678176605,100,22369.0,223.69
300209.SZ,0.10393624130497943,4000,105800.0,26.45
300302.SZ,0.08615115895540149,1600,87696.0,54.81
300347.SZ,0.003867646332870548,100,3936.9999999999995,39.37
300383.SZ,0.005238072198848302,400,5332.0,13.33
300548.SZ,0.09623434969977113,400,97960.0,244.9
300632.SZ,0.02502132387559382,900,25470.0,28.3
300672.SZ,0.08956101428214612,300,91167.0,303.89
300721.SZ,0.025714887073715893,800,26176.0,32.72
300724.SZ,0.05879372561077892,800,59848.0,74.81
300750.SZ,0.04189082421291997,100,42642.0,426.42
300759.SZ,0.013845721974975236,600,14093.999999999998,23.49
300835.SZ,0.07375740072946933,400,75080.0,187.7
300857.SZ,0.09430887679846905,400,96000.0,240.0
300919.SZ,0.019954186515942742,400,20312.0,50.78
300959.SZ,0.06067007930541513,300,61758.00000000001,205.86
300972.SZ,0.01895215469995901,100,19292.0,192.92
301308.SZ,0.05231293748328412,100,53251.0,532.51
301358.SZ,0.08938909705881558,1100,90992.0,82.72
301387.SZ,0.009231463700783475,100,9397.0,93.97
