ts_code,weight,volume
300001.SZ,0.0,0
300002.SZ,0.0,0
300003.SZ,0.0,0
300012.SZ,0.0,0
300014.SZ,0.0,0
300015.SZ,0.0,0
300017.SZ,0.0,0
300024.SZ,0.0,0
300033.SZ,0.0,0
300037.SZ,0.0,0
300054.SZ,0.0,0
300058.SZ,0.0,0
300059.SZ,0.0,0
300073.SZ,0.0,0
300100.SZ,0.0,0
300115.SZ,0.0,0
300122.SZ,0.0,0
300124.SZ,0.0,0
300136.SZ,0.0,0
300142.SZ,0.0,0
300144.SZ,0.0,0
300146.SZ,0.0,0
300207.SZ,0.0,0
300223.SZ,0.0,0
300251.SZ,0.0,0
300253.SZ,0.0,0
300255.SZ,0.0,0
300274.SZ,0.0,0
300285.SZ,0.0,0
300308.SZ,0.0,0
300316.SZ,0.0,0
300339.SZ,0.0,0
300346.SZ,0.0,0
300347.SZ,0.0,0
300373.SZ,0.0,0
300383.SZ,0.0,0
300394.SZ,0.0,0
300395.SZ,0.0,0
300408.SZ,0.0,0
300413.SZ,0.0,0
300418.SZ,0.0,0
300432.SZ,0.0,0
300433.SZ,0.0,0
300442.SZ,0.0,0
300450.SZ,0.0,0
300454.SZ,0.0,0
300458.SZ,0.0,0
300474.SZ,0.0,0
300476.SZ,0.0,0
300487.SZ,0.0,0
300496.SZ,0.0,0
300498.SZ,0.0,0
300502.SZ,0.0,0
300529.SZ,0.0,0
300548.SZ,0.0,0
300558.SZ,0.0,0
300567.SZ,0.0,0
300601.SZ,0.0,0
300604.SZ,0.0,0
300627.SZ,0.0,0
300628.SZ,0.0,0
300661.SZ,0.0,0
300666.SZ,0.0,0
300676.SZ,0.0,0
300677.SZ,0.0,0
300679.SZ,0.0,0
300699.SZ,0.0,0
300718.SZ,0.0,0
300724.SZ,0.0,0
300735.SZ,0.0,0
300748.SZ,0.0,0
300750.SZ,0.0,0
300751.SZ,0.0,0
300759.SZ,0.0,0
300760.SZ,0.0,0
300763.SZ,0.0,0
300765.SZ,0.0,0
300782.SZ,0.0,0
300803.SZ,0.0,0
300832.SZ,0.0,0
300857.SZ,0.0,0
300866.SZ,0.0,0
300888.SZ,0.0,0
300896.SZ,0.0,0
300919.SZ,0.0,0
300957.SZ,0.0,0
300972.SZ,0.0,0
300979.SZ,0.0,0
300999.SZ,0.0,0
301165.SZ,0.0,0
301200.SZ,0.0,0
301236.SZ,0.0,0
301269.SZ,0.0,0
301301.SZ,0.0,0
301308.SZ,0.0,0
301358.SZ,0.0,0
301498.SZ,0.0,0
301536.SZ,0.0,0
301611.SZ,0.0,0
302132.SZ,0.0,0
