ts_code,weight,volume
300003.SZ,0.0063470657720326,500
300012.SZ,0.0086684787781572,600
300033.SZ,0.0917223642143715,400
300347.SZ,0.0158060472959095,400
300383.SZ,0.0310860946659599,2300
300498.SZ,0.0218495359678749,1600
300529.SZ,0.0018294778373688,100
300548.SZ,0.0879031038003244,400
300677.SZ,0.0090351758693275,200
300724.SZ,0.0945236895338037,1200
300750.SZ,0.0841800262298629,200
300759.SZ,0.01475204363495,600
300857.SZ,0.0947641466427679,400
300919.SZ,0.0207995399253981,400
300972.SZ,0.0193748315547856,100
301236.SZ,0.0397255182101174,1000
301301.SZ,0.0018134473634378,200
301308.SZ,0.0506763357141926,100
301358.SZ,0.0937552286897391,1100
