split,mode,k,signal_date,execution_date,ts_code,close_weight,pred_score
test,full_topk,10,20250205,20250206,300017.SZ,0.10546834838334403,0.003913856111466885
test,full_topk,10,20250205,20250206,300059.SZ,0.09936818151657478,0.003810752183198929
test,full_topk,10,20250205,20250206,300136.SZ,0.10028875531350655,0.0037832711823284626
test,full_topk,10,20250205,20250206,300251.SZ,0.10801413610294198,0.003912445157766342
test,full_topk,10,20250205,20250206,300253.SZ,0.09797953219410416,0.0037925969809293747
test,full_topk,10,20250205,20250206,300383.SZ,0.09853597259305422,0.003940842114388943
test,full_topk,10,20250205,20250206,300408.SZ,0.0987375904912717,0.003784597385674715
test,full_topk,10,20250205,20250206,300413.SZ,0.09761789825122201,0.00390611938200891
test,full_topk,10,20250205,20250206,300558.SZ,0.09937376148381989,0.003899435279890895
test,full_topk,10,20250205,20250206,300979.SZ,0.09461582367016072,0.0038111121393740177
test,full_topk,10,20250206,20250207,300017.SZ,0.10215844356209218,0.0039086900651454926
test,full_topk,10,20250206,20250207,300059.SZ,0.1026842922822959,0.0038112206384539604
test,full_topk,10,20250206,20250207,300070.SZ,0.10205922600401371,0.00377197889611125
test,full_topk,10,20250206,20250207,300136.SZ,0.10039499804955122,0.0037917587906122208
test,full_topk,10,20250206,20250207,300207.SZ,0.09748064876380297,0.0037649120204150677
test,full_topk,10,20250206,20250207,300383.SZ,0.10206191821012317,0.003934936132282019
test,full_topk,10,20250206,20250207,300408.SZ,0.09762035204171385,0.0037867773789912462
test,full_topk,10,20250206,20250207,300413.SZ,0.09913670076028168,0.003915123175829649
test,full_topk,10,20250206,20250207,300558.SZ,0.09761093753323768,0.0039012478664517403
test,full_topk,10,20250206,20250207,300979.SZ,0.0987924827928877,0.0037909424863755703
test,full_topk,10,20250207,20250210,300017.SZ,0.09750903227925944,0.0039025843143463135
test,full_topk,10,20250207,20250210,300059.SZ,0.10007046827059983,0.003807766130194068
test,full_topk,10,20250207,20250210,300136.SZ,0.09938856612282422,0.003795632626861334
test,full_topk,10,20250207,20250210,300207.SZ,0.0982640400866888,0.003770467359572649
test,full_topk,10,20250207,20250210,300253.SZ,0.10687017170212429,0.003792217932641506
test,full_topk,10,20250207,20250210,300383.SZ,0.09722721426689167,0.003928217105567455
test,full_topk,10,20250207,20250210,300408.SZ,0.10122306226332731,0.0037935422733426094
test,full_topk,10,20250207,20250210,300413.SZ,0.09985883724165379,0.003920360468327999
test,full_topk,10,20250207,20250210,300558.SZ,0.10140501753665904,0.003901643678545952
test,full_topk,10,20250207,20250210,300979.SZ,0.09818359022997167,0.00377518218010664
test,full_topk,10,20250210,20250211,300017.SZ,0.1018053801759298,0.003900320967659354
test,full_topk,10,20250210,20250211,300059.SZ,0.09836672771639274,0.003812714945524931
test,full_topk,10,20250210,20250211,300136.SZ,0.09992412642144792,0.003801679704338312
test,full_topk,10,20250210,20250211,300207.SZ,0.09907570917506531,0.0037756613455712795
test,full_topk,10,20250210,20250211,300251.SZ,0.11430639539553228,0.003907383419573307
test,full_topk,10,20250210,20250211,300253.SZ,0.09728451358459651,0.0037901736795902252
test,full_topk,10,20250210,20250211,300383.SZ,0.09730376188387004,0.0039274320006370544
test,full_topk,10,20250210,20250211,300408.SZ,0.10032764991200792,0.0038051402661949396
test,full_topk,10,20250210,20250211,300413.SZ,0.1016621609455323,0.0039230105467140675
test,full_topk,10,20250210,20250211,300558.SZ,0.08994357478962521,0.003908379934728146
test,full_topk,10,20250211,20250212,300017.SZ,0.09967161946024829,0.003902385476976633
test,full_topk,10,20250211,20250212,300059.SZ,0.09975957849748074,0.0038174581713974476
test,full_topk,10,20250211,20250212,300070.SZ,0.09834820055756668,0.0037681504618376493
test,full_topk,10,20250211,20250212,300136.SZ,0.09958545372121566,0.003808822715654969
test,full_topk,10,20250211,20250212,300207.SZ,0.0998161099415916,0.003779505379498005
test,full_topk,10,20250211,20250212,300253.SZ,0.10530235362544962,0.0037862826138734818
