run,engine,split,setting,net_ann,net_ir,net_mdd,excess_benchmark_ann,excess_exec_universe_ann,avg_filled_turnover,avg_position_count
clean_alpha_only,t1_fill_rank_buffer,test,top_10_keep_1x,1.4327701518288065,0.33449211438503634,-0.23563799093023707,0.5425915701933064,0.6556720019334477,0.08862869148335481,27.606060606060606
clean_alpha_only,t1_fill_rank_buffer,test,top_10_keep_1.5x,1.3414707234202954,0.3244755777907369,-0.23485390538086615,0.4837176733149964,0.5934625707071373,0.0858635991894491,28.78787878787879
clean_alpha_only,t1_fill_rank_buffer,test,top_10_keep_2x,1.2503517512477758,0.3100559439834203,-0.23341617889129396,0.42348803249601463,0.5289262845171974,0.07728823601553397,26.893939393939394
clean_alpha_only,t1_fill_rank_buffer,test,top_10_keep_3x,1.1983000936045318,0.30885879840190794,-0.2363604612753588,0.38864407669887546,0.4906726515142985,0.06584778901230766,24.772727272727273
clean_alpha_only,t1_fill_rank_buffer,test,top_20_keep_1x,0.8193113684035014,0.3030470222971465,-0.2261781834413279,0.15074910354563675,0.23369624317240612,0.15208085063740623,53.121212121212125
clean_alpha_only,t1_fill_rank_buffer,test,top_20_keep_1.5x,0.6275450045754702,0.26026004963259197,-0.22654690192190607,0.026551322236785913,0.099681272390586,0.1174677902011636,47.27272727272727
clean_alpha_only,t1_fill_rank_buffer,test,top_20_keep_2x,0.5205210325164782,0.2327854569940101,-0.21925031597168299,-0.043825472878946226,0.02336670438881283,0.0928964099307255,41.59090909090909
clean_alpha_only,t1_fill_rank_buffer,test,top_20_keep_3x,0.5992561741575728,0.25764395622925335,-0.2236136670501052,0.006477753602803782,0.07772340649174869,0.0720163424568463,31.560606060606062
clean_alpha_only,t1_fill_rank_buffer,test,top_30_keep_1x,0.39487969557830827,0.19603269412855504,-0.20870242890473512,-0.12428410355299713,-0.06199252142683975,0.1747817213339247,68.07575757575758
clean_alpha_only,t1_fill_rank_buffer,test,top_30_keep_1.5x,0.34801025937361385,0.18100249461760898,-0.2041563868657067,-0.15564654287514912,-0.0956705311320486,0.11381760581989708,56.621212121212125
clean_alpha_only,t1_fill_rank_buffer,test,top_30_keep_2x,0.43410495935968463,0.21720846549629402,-0.2052269771666999,-0.1017431266686104,-0.03779743565783544,0.09111266236890105,45.74242424242424
