split,risk_control,k,style_penalty,turnover_penalty,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z,avg_partial_fill_count,avg_position_count
test,industry_size,20,0.0,0.0,66,0.4699448533250936,0.2318874957429846,-0.15075508629399648,-0.07868430213424926,-0.014335722677960017,1.4022251060329372,0.13607486353937126,0.1889240628486258,0.16148736875688244,38.31818181818182,47.34848484848485
test,industry_size,20,0.0,0.02,66,0.4672001710442353,0.23178308111822116,-0.15076351840760593,-0.08088324463722596,-0.016479747256339383,1.3565864775901821,0.13062391129892664,0.189884988679699,0.1641526313545954,37.07575757575758,46.09090909090909
test,industry_size,20,0.1,0.0,66,0.41525635036023734,0.21312847776674534,-0.15442725550050151,-0.11338154978980908,-0.05151333202617692,1.359554308414974,0.12365587249650542,0.23179711494237748,0.18168488254487714,38.07575757575758,47.0
test,industry_size,20,0.1,0.02,66,0.39759677452385533,0.20525612405091778,-0.15421154162916817,-0.12435519350940061,-0.0632174781039695,1.3131794723122532,0.11842810302552545,0.23124551543408742,0.1843086535608687,37.15151515151515,45.92424242424242
test,none,20,0.0,0.0,66,0.4699448533250936,0.2318874957429846,-0.15075508629399648,-0.07868430213424926,-0.014335722677960017,1.4022251060329372,0.13607486353937126,0.0,0.16148736875688244,38.31818181818182,47.34848484848485
test,none,20,0.0,0.02,66,0.4672001710442353,0.23178308111822116,-0.15076351840760593,-0.08088324463722596,-0.016479747256339383,1.3565864775901821,0.13062391129892664,0.0,0.1641526313545954,37.07575757575758,46.09090909090909
test,none,20,0.1,0.0,66,0.4699448533250936,0.2318874957429846,-0.15075508629399648,-0.07868430213424926,-0.014335722677960017,1.4022251060329372,0.13607486353937126,0.0,0.16148736875688244,38.31818181818182,47.34848484848485
test,none,20,0.1,0.02,66,0.4672001710442353,0.23178308111822116,-0.15076351840760593,-0.08088324463722596,-0.016479747256339383,1.3565864775901821,0.13062391129892664,0.0,0.1641526313545954,37.07575757575758,46.09090909090909
validation,industry_size,20,0.0,0.0,97,-0.039045484776183303,0.004879914000793261,-0.36721460545670326,-0.03925617202737486,0.030627185677252866,1.6137899676265755,0.06314976817592968,0.16550637814396912,0.1929678948706917,41.44329896907217,49.649484536082475
validation,industry_size,20,0.0,0.02,97,-0.039761380569643956,0.00453507650268073,-0.3683037654551664,-0.039897881911907795,0.030029629509874978,1.57730684993386,0.06191773198463633,0.16096732359723265,0.18983645589921197,40.78350515463917,48.98969072164948
validation,industry_size,20,0.1,0.0,97,-0.058418905827173684,-0.00482270653739808,-0.3809644121779807,-0.05983950019597517,0.008482781937724226,1.531888012710727,0.05931971534441067,0.14914587274522334,0.19642005690770917,41.34020618556701,46.71134020618557
validation,industry_size,20,0.1,0.02,97,-0.056247515641697055,-0.003694541797612552,-0.3761292648196354,-0.05735572402684974,0.011175068144283706,1.4959963542421806,0.05789949768770433,0.1428673771866424,0.192746050616711,40.70103092783505,46.144329896907216
validation,none,20,0.0,0.0,97,-0.039045484776183303,0.004879914000793261,-0.36721460545670326,-0.03925617202737486,0.030627185677252866,1.6137899676265755,0.06314976817592968,0.0,0.1929678948706917,41.44329896907217,49.649484536082475
validation,none,20,0.0,0.02,97,-0.039761380569643956,0.00453507650268073,-0.3683037654551664,-0.039897881911907795,0.030029629509874978,1.57730684993386,0.06191773198463633,0.0,0.18983645589921197,40.78350515463917,48.98969072164948
validation,none,20,0.1,0.0,97,-0.039045484776183303,0.004879914000793261,-0.36721460545670326,-0.03925617202737486,0.030627185677252866,1.6137899676265755,0.06314976817592968,0.0,0.1929678948706917,41.44329896907217,49.649484536082475
validation,none,20,0.1,0.02,97,-0.039761380569643956,0.00453507650268073,-0.3683037654551664,-0.039897881911907795,0.030029629509874978,1.57730684993386,0.06191773198463633,0.0,0.18983645589921197,40.78350515463917,48.98969072164948
