split,style_set,k,exposure_cap,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_constraint_reject_count,fallback_rate,avg_max_abs_target_exposure_z,avg_abs_target_exposure_z,avg_partial_fill_count,avg_position_count
test,full_style,10,0.15,66,0.13327486058845994,0.07784190924898671,-0.206158148656454,-0.28231293734356633,-0.2080397763490417,1.9159390067647268,0.12632727385246598,80.0,1.0,0.520574383256859,0.22197693140183966,21.954545454545453,25.257575757575758
test,full_style,10,0.25,66,0.13327486058845994,0.07784190924898671,-0.206158148656454,-0.28231293734356633,-0.2080397763490417,1.9159390067647268,0.12632727385246598,80.0,1.0,0.520574383256859,0.22197693140183966,21.954545454545453,25.257575757575758
test,full_style,10,0.35,66,0.13327486058845994,0.07784190924898671,-0.206158148656454,-0.28231293734356633,-0.2080397763490417,1.9159390067647268,0.12632727385246598,80.0,1.0,0.520574383256859,0.22197693140183966,21.954545454545453,25.257575757575758
test,full_style,10,0.5,66,0.13202147870693604,0.0773598586154318,-0.2073491126481377,-0.2831664995466536,-0.2089996873531874,1.917857215642874,0.12538237847728576,79.45454545454545,0.9696969696969697,0.5148097572723007,0.22003140548784245,21.863636363636363,24.46969696969697
test,full_style,30,0.15,66,0.549124494630534,0.2553366498912175,-0.19202438059239302,-0.020943619952356607,0.08376351373553215,1.3860089083853468,0.23655730565872257,86.4090909090909,1.0,0.22130935153739437,0.09013861810685313,55.06060606060606,67.8030303030303
test,full_style,30,0.25,66,0.549124494630534,0.2553366498912175,-0.19202438059239302,-0.020943619952356607,0.08376351373553215,1.3860089083853468,0.23655730565872257,86.4090909090909,1.0,0.22130935153739437,0.09013861810685313,55.06060606060606,67.8030303030303
test,full_style,30,0.35,66,0.549124494630534,0.2553366498912175,-0.19202438059239302,-0.020943619952356607,0.08376351373553215,1.3860089083853468,0.23655730565872257,86.4090909090909,1.0,0.22130935153739437,0.09013861810685313,55.06060606060606,67.8030303030303
test,full_style,30,0.5,66,0.5525135584119811,0.25635535257648034,-0.19202438059239302,-0.018729722566421025,0.08620978145826386,1.387635434098705,0.23739456959110186,84.0,0.9696969696969697,0.22090386071058074,0.09041100748164091,55.22727272727273,67.92424242424242
test,industry_proxy,10,0.15,66,0.18405147996819338,0.09743054237503844,-0.20570048124721163,-0.24795040783826838,-0.17017073171674812,1.8901451281335078,0.13228015606968577,79.66666666666667,1.0,0.3733824141399592,0.22164898022841967,21.651515151515152,24.393939393939394
test,industry_proxy,10,0.25,66,0.15708861087935766,0.08717567926152421,-0.2211684318428374,-0.26601826187664135,-0.19019369516703188,1.8921019256522502,0.13468594473882214,76.66666666666667,0.9090909090909091,0.350350651070934,0.2087301515547753,21.333333333333332,23.727272727272727
test,industry_proxy,10,0.35,66,0.14084042521156803,0.07996201744796312,-0.21877343226335766,-0.2762419875321298,-0.20122369305290877,1.9049654152011817,0.13982377623888492,62.53030303030303,0.6818181818181818,0.3091017551927343,0.18174360133890088,20.833333333333332,23.28787878787879
test,industry_proxy,10,0.5,66,0.4481956121140731,0.17293565543321707,-0.25136072782062346,-0.07829632190021396,0.02534213318625378,1.6517441023438566,0.11265779876086465,25.939393939393938,0.25757575757575757,0.2882270142466812,0.17182361186066472,22.28787878787879,26.818181818181817
test,industry_proxy,30,0.15,66,0.5770658373417095,0.2607718888232739,-0.2054338372332466,-0.0012975413562761329,0.1050216261243988,1.3718893852310694,0.2262532382028846,85.37878787878788,1.0,0.14539670776604313,0.08284036947699502,53.95454545454545,67.07575757575758
test,industry_proxy,30,0.25,66,0.617992122843285,0.2751191577145019,-0.20588768908301835,0.024876113048386328,0.13338232321284926,1.3848794423877906,0.23289376333816345,76.07575757575758,0.8636363636363636,0.1409915546924779,0.08131496911472007,54.57575757575758,68.27272727272727
test,industry_proxy,30,0.35,66,0.5415475239660663,0.24228396587488554,-0.2105795973811403,-0.022806965688505598,0.08178785730188443,1.3560482345997784,0.21548844827819555,52.24242424242424,0.5909090909090909,0.1507714632857655,0.08841026914084267,53.28787878787879,68.21212121212122
test,industry_proxy,30,0.5,66,0.5163972046769132,0.2251653012788305,-0.21779399859807524,-0.0365513145444486,0.06753886362462191,1.2842161956060885,0.19055850477873632,19.606060606060606,0.21212121212121213,0.18038580968349144,0.10882782579100966,53.93939393939394,68.86363636363636
test,industry_size,10,0.15,66,0.19836460407353984,0.10281090935944588,-0.20611292501620448,-0.23847251738090158,-0.15983283543341342,1.8879515019692459,0.13521985318986623,80.0,1.0,0.4016051119581903,0.2158553959263374,21.924242424242426,24.666666666666668
