candidate,split,style_col,selected_mean,selected_std,daily_mean_ir,non_null_rate
k10_keep1.5,test,lag1_log_circ_mv,15.290464469410555,1.159497914215273,31.76431842571296,1.0
k10_keep1.5,test,lag1_log_total_mv,15.538055346406757,1.1000716537324708,33.88300166015094,1.0
k10_keep1.5,test,lag1_beta_20d,0.8147489416149128,0.5133667109250089,3.758447639934395,1.0
k10_keep1.5,test,lag1_beta_60d,0.8624059839515696,0.4741906193694343,3.8559157685195125,1.0
k10_keep1.5,test,lag1_ret_20d,0.0027083607972183325,0.11097995045785003,0.044804108099881744,1.0
k10_keep1.5,test,lag1_ret_5d_mean,0.0003152745880603026,0.011259897669895526,0.04920294698402659,1.0
k10_keep1.5,test,lag1_ret_20d_mean,0.0003095100105684332,0.005222694048649638,0.10532266053223213,1.0
k10_keep1.5,test,lag1_ret_60d_mean,0.0010611579784411337,0.004316055206379331,0.44364590282877675,1.0
k10_keep1.5,test,lag1_ret_20d_std,0.02406363393684645,0.012072150552042856,3.5591259396748414,1.0
k10_keep1.5,test,lag1_ret_60d_std,0.02713612580391388,0.011815911421313219,4.9588047924015095,1.0
k10_keep1.5,test,lag1_amplitude,0.03427593886159653,0.0206910995780085,3.4271341007125873,1.0
k10_keep1.5,test,lag1_vol_log,11.901604301461047,1.0455268185356552,28.8488925408172,1.0
k10_keep1.5,validation,lag1_log_circ_mv,14.831506754466984,0.9613397365695586,39.695068014485464,1.0
k10_keep1.5,validation,lag1_log_total_mv,15.130139835410201,0.9151742223443261,41.61502646427876,1.0
k10_keep1.5,validation,lag1_beta_20d,0.9531179065417106,0.4762076327352245,4.401347265262414,1.0
k10_keep1.5,validation,lag1_beta_60d,0.9976958758153207,0.3671869489124273,5.955971369717479,1.0
k10_keep1.5,validation,lag1_ret_20d,-0.019621753863768857,0.13461827511288865,-0.19673965496896179,1.0
k10_keep1.5,validation,lag1_ret_5d_mean,-0.0006745532680012641,0.013693861890471332,-0.06332549836440622,1.0
k10_keep1.5,validation,lag1_ret_20d_mean,-0.0007963266452270098,0.00622749675777909,-0.16679293919144017,1.0
k10_keep1.5,validation,lag1_ret_60d_mean,-0.00036408071004873923,0.0038770740667302714,-0.13634171257138014,1.0
k10_keep1.5,validation,lag1_ret_20d_std,0.023967450076621807,0.01321788088046435,2.216181826144772,1.0
k10_keep1.5,validation,lag1_ret_60d_std,0.026426042069169018,0.011455378591798718,3.1038633226238326,1.0
k10_keep1.5,validation,lag1_amplitude,0.03335783579302789,0.018548350066423358,2.783057654033248,1.0
k10_keep1.5,validation,lag1_vol_log,11.307407128507684,1.086595183066285,25.050245989994995,1.0
k30_keep1,test,lag1_log_circ_mv,15.15182607897697,1.0456697567317257,50.18909429725255,1.0
k30_keep1,test,lag1_log_total_mv,15.404851878375064,0.9901269920255727,54.24126362596903,1.0
k30_keep1,test,lag1_beta_20d,0.8221715698678604,0.5146220400124631,4.9277454282233695,1.0
k30_keep1,test,lag1_beta_60d,0.855986194997057,0.4498276478156624,6.043686702995548,1.0
k30_keep1,test,lag1_ret_20d,-0.010124322739295024,0.10813645521396259,-0.18960684048691978,1.0
k30_keep1,test,lag1_ret_5d_mean,-3.6129106519607356e-05,0.010907180417374152,-0.006517365727153836,1.0
k30_keep1,test,lag1_ret_20d_mean,-0.0002647176508464321,0.0051741086269832285,-0.09932891823213687,1.0
k30_keep1,test,lag1_ret_60d_mean,0.0008361549886537556,0.004001443588401704,0.44622807548341276,1.0
k30_keep1,test,lag1_ret_20d_std,0.0245625297536916,0.012128068995599532,4.146553052730118,1.0
k30_keep1,test,lag1_ret_60d_std,0.02775010896314972,0.011654812271100315,6.493538592866874,1.0
k30_keep1,test,lag1_amplitude,0.034593715358691365,0.02100271071019939,4.141968491251218,1.0
k30_keep1,test,lag1_vol_log,11.926848198922837,1.0441973382430338,37.44992769449656,1.0
k30_keep1,validation,lag1_log_circ_mv,14.757239095015963,0.9398216680611217,64.06006376380472,1.0
k30_keep1,validation,lag1_log_total_mv,15.06141706815999,0.8924680862802685,64.08484267061975,1.0
k30_keep1,validation,lag1_beta_20d,0.9694725350366887,0.45284503475420507,5.850103359789277,1.0
k30_keep1,validation,lag1_beta_60d,0.986646901983246,0.36134891674152475,7.856066878585012,1.0
k30_keep1,validation,lag1_ret_20d,-0.023928862787562927,0.13333936093504684,-0.242601712062696,1.0
k30_keep1,validation,lag1_ret_5d_mean,-0.0006364300086771639,0.013089395651386558,-0.062143748951203684,1.0
k30_keep1,validation,lag1_ret_20d_mean,-0.0010326429378927828,0.006117026437691018,-0.2176445117295568,1.0
k30_keep1,validation,lag1_ret_60d_mean,-0.0004379195823969667,0.0037602389353082015,-0.16718333967278481,1.0
k30_keep1,validation,lag1_ret_20d_std,0.023964072997411986,0.01298393210994463,2.2365865776987413,1.0
k30_keep1,validation,lag1_ret_60d_std,0.02652295752639906,0.011156916278971758,3.200522330567264,1.0
k30_keep1,validation,lag1_amplitude,0.03370540594829953,0.019419245424642934,2.8222572136085726,1.0
k30_keep1,validation,lag1_vol_log,11.272862120157955,1.0616681840492712,27.199412180116575,1.0
k30_keep3,test,lag1_log_circ_mv,15.284044970441183,1.1527794685070099,59.23480083529655,1.0
k30_keep3,test,lag1_log_total_mv,15.489457553055862,1.101922638068525,63.705329083466445,1.0
k30_keep3,test,lag1_beta_20d,0.8282861035306488,0.5941589972841927,8.450732639049614,1.0
k30_keep3,test,lag1_beta_60d,0.8437106986138349,0.47165756840153644,9.716302490712451,1.0
k30_keep3,test,lag1_ret_20d,0.027912639198993446,0.14384656071335192,0.39747327200196664,1.0
k30_keep3,test,lag1_ret_5d_mean,0.00170350966142426,0.013009273076431694,0.2784273953044391,1.0
k30_keep3,test,lag1_ret_20d_mean,0.001498792909511542,0.0066418374095624025,0.4511303123277879,1.0
k30_keep3,test,lag1_ret_60d_mean,0.0013564561129738608,0.004155429174012819,0.5979178386637973,1.0
k30_keep3,test,lag1_ret_20d_std,0.026776632568518297,0.012820658984078378,5.25331565674232,1.0
k30_keep3,test,lag1_ret_60d_std,0.027765264831639394,0.010741437377339331,8.56853131731588,1.0
k30_keep3,test,lag1_amplitude,0.03798914617574308,0.02444607621731501,3.828597344138676,1.0
k30_keep3,test,lag1_vol_log,11.987868780577857,1.1768762486923414,33.76348424045251,1.0
k30_keep3,validation,lag1_log_circ_mv,15.030876326653877,1.1241660597680934,93.36241858399498,1.0
k30_keep3,validation,lag1_log_total_mv,15.275448791778505,1.0552526314382058,97.70830488192459,1.0
k30_keep3,validation,lag1_beta_20d,1.019317645402532,0.4737533664363696,7.148405469075514,1.0
k30_keep3,validation,lag1_beta_60d,1.027669462946763,0.3450919911416534,11.308176077741486,1.0
k30_keep3,validation,lag1_ret_20d,-0.01103441417432093,0.13942255444904858,-0.11545156105897494,1.0
k30_keep3,validation,lag1_ret_5d_mean,-0.00023796642347494553,0.013412247766516118,-0.02349857571396264,1.0
k30_keep3,validation,lag1_ret_20d_mean,-0.00033062611439193114,0.006242447792322301,-0.07208973187879351,1.0
k30_keep3,validation,lag1_ret_60d_mean,-0.00040248387566251817,0.00339346382492386,-0.15858898177532899,1.0
k30_keep3,validation,lag1_ret_20d_std,0.025455554021213113,0.01301710404548535,2.3874738100760444,1.0
k30_keep3,validation,lag1_ret_60d_std,0.026616044130295547,0.010404781633240205,3.1244144613366327,1.0
k30_keep3,validation,lag1_amplitude,0.03514071821383564,0.01975425089228373,3.17425883302774,1.0
k30_keep3,validation,lag1_vol_log,11.40802924420995,1.1253378053317966,32.57160734684181,1.0
