candidate,split,feature,selected_mean,universe_mean,selected_minus_universe,diff_ir
k10_keep1.5,test,lag1_log_circ_mv,15.290464469410555,15.068688104716664,0.22177636469388956,0.5774845076611209
k10_keep1.5,test,lag1_log_total_mv,15.538055346406757,15.323295618717987,0.21475972768876872,0.5815968752181371
k10_keep1.5,test,lag1_beta_20d,0.8147489416149128,0.8568931878246617,-0.04214424620974905,-0.23241931820914039
k10_keep1.5,test,lag1_beta_60d,0.8624059839515696,0.8699426236540911,-0.007536639702521445,-0.040886400777019986
k10_keep1.5,test,lag1_ret_20d,0.002708360797218335,0.02676437462857277,-0.02405601383135443,-0.48857397392352947
k10_keep1.5,test,lag1_ret_5d_mean,0.0003152745880603023,0.0015371784457466533,-0.0012219038576863509,-0.30504908606254716
k10_keep1.5,test,lag1_ret_20d_mean,0.0003095100105684332,0.0013662061002808505,-0.0010566960897124172,-0.4639057347875454
k10_keep1.5,test,lag1_ret_60d_mean,0.001061157978441134,0.001256767828321113,-0.00019560984987997934,-0.137018168025738
k10_keep1.5,test,lag1_ret_20d_std,0.024063633936846452,0.027708689195750542,-0.0036450552589040943,-0.8785224121323102
k10_keep1.5,test,lag1_ret_60d_std,0.027136125803913877,0.0288577410780876,-0.0017216152741737203,-0.41908248812317794
k10_keep1.5,test,lag1_amplitude,0.034275938861596536,0.038329955422102456,-0.004054016560505922,-0.5228563033328448
k10_keep1.5,test,lag1_vol_log,11.901604301461047,12.082917748646807,-0.18131344718575815,-0.5245071930339893
k10_keep1.5,test,lag1_amount_log,13.515091355431947,13.565054067741977,-0.049962712310031215,-0.09851383264166493
k10_keep1.5,test,lag1_amount_rank_pct,0.4888437460024134,0.5150654727614365,-0.026221726759023154,-0.22205487704375135
k10_keep1.5,test,lag1_amount_20d_mean,2193328.8954422725,1763026.3077168013,430302.58772547153,0.2741206903189245
k10_keep1.5,test,lag1_amount_60d_mean,2294756.7974226554,1705618.8391804134,589137.9582422426,0.39553284991758697
k10_keep1.5,test,lag1_turnover_rate,2.305553636363636,3.138565485673942,-0.8330118493103048,-1.0390431652371155
k10_keep1.5,test,lag1_turnover_rate_f,3.295575909090909,4.368046611303902,-1.072470702212993,-1.0204625511974896
k10_keep1.5,test,lag1_turnover_20d_mean,2.350380651515151,3.059068161284681,-0.7086875097695299,-1.0939955390984224
k10_keep1.5,test,lag1_turnover_60d_mean,2.614810870077162,3.07199277336922,-0.45718190329205766,-0.706231923163036
k10_keep1.5,test,lag1_turnover_cost_proxy,0.16434316510228192,0.22140264751074382,-0.057059482408461884,-1.110492215808563
k10_keep1.5,test,lag1_illiquidity_proxy,3.282009250632616e-08,3.222500326433069e-08,5.950892419954761e-10,0.038454601070329955
