split,trade_date,style_set,k,exposure_cap,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,constraint_reject_count,used_fallback,max_abs_target_exposure_z,avg_abs_target_exposure_z,target_count,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count
test,20250102,industry_proxy,10,0.15,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.1943231554878938,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_proxy,10,0.25,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.1943231554878938,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_proxy,10,0.35,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.1943231554878938,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_proxy,10,0.5,-0.02022575752303887,-0.02025936552936837,-0.025088410239999304,-0.019141809913104164,0.004829044710630934,-0.0011175556162642056,3.3608006329499995e-05,37,False,0.4119756398492898,0.22066545703136975,10,0.9999999999999999,0.022405337552999997,0,0,10,10
test,20250102,industry_proxy,30,0.15,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.14588438539227694,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,industry_proxy,30,0.25,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.14588438539227694,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,industry_proxy,30,0.35,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.14588438539227694,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,industry_proxy,30,0.5,-0.026573175290430143,-0.026678083162837644,-0.025088410239999304,-0.019141809913104164,-0.0015896729228383408,-0.00753627324973348,0.00010490787240749999,37,False,0.3717086920214535,0.14180606278922156,30,0.9999999999999999,0.069938581605,0,0,30,30
test,20250102,industry_size,10,0.15,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.18439353930437039,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_size,10,0.25,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.18439353930437039,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_size,10,0.35,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.18439353930437039,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_size,10,0.5,-0.039484182164833216,-0.03958281775879772,-0.025088410239999304,-0.019141809913104164,-0.014494407518798415,-0.020441007845693554,9.863559396450001e-05,80,True,0.3976887126010419,0.18439353930437039,10,0.9999999999999999,0.065757062643,0,0,10,10
test,20250102,industry_size,30,0.15,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.1244260307867802,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,industry_size,30,0.25,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.1244260307867802,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,industry_size,30,0.35,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.1244260307867802,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,industry_size,30,0.5,-0.022471175159389373,-0.022608425138860872,-0.025088410239999304,-0.019141809913104164,0.0024799851011384315,-0.0034666152257567077,0.0001372499794715,90,True,0.23008504438850644,0.1244260307867802,30,0.9999999999999999,0.09149998631433333,0,0,29,30
test,20250102,full_style,10,0.15,-0.04286134182182743,-0.04295403870429043,-0.025088410239999304,-0.019141809913104164,-0.017865628464291128,-0.023812228791186267,9.269688246300001e-05,80,True,0.6456663310861719,0.2978966693838379,10,0.9999999999999999,0.061797921642,0,0,10,10
test,20250102,full_style,10,0.25,-0.04286134182182743,-0.04295403870429043,-0.025088410239999304,-0.019141809913104164,-0.017865628464291128,-0.023812228791186267,9.269688246300001e-05,80,True,0.6456663310861719,0.2978966693838379,10,0.9999999999999999,0.061797921642,0,0,10,10
test,20250102,full_style,10,0.35,-0.04286134182182743,-0.04295403870429043,-0.025088410239999304,-0.019141809913104164,-0.017865628464291128,-0.023812228791186267,9.269688246300001e-05,80,True,0.6456663310861719,0.2978966693838379,10,0.9999999999999999,0.061797921642,0,0,10,10
test,20250102,full_style,10,0.5,-0.04286134182182743,-0.04295403870429043,-0.025088410239999304,-0.019141809913104164,-0.017865628464291128,-0.023812228791186267,9.269688246300001e-05,80,True,0.6456663310861719,0.2978966693838379,10,0.9999999999999999,0.061797921642,0,0,10,10
test,20250102,full_style,30,0.15,-0.023331583374888026,-0.023464452256622026,-0.025088410239999304,-0.019141809913104164,0.0016239579833772777,-0.0043226423435178615,0.00013286888173399998,90,True,0.17731648599959798,0.09575128123859014,30,0.9999999999999999,0.08857925448933332,0,0,29,30
test,20250102,full_style,30,0.25,-0.023331583374888026,-0.023464452256622026,-0.025088410239999304,-0.019141809913104164,0.0016239579833772777,-0.0043226423435178615,0.00013286888173399998,90,True,0.17731648599959798,0.09575128123859014,30,0.9999999999999999,0.08857925448933332,0,0,29,30
test,20250102,full_style,30,0.35,-0.023331583374888026,-0.023464452256622026,-0.025088410239999304,-0.019141809913104164,0.0016239579833772777,-0.0043226423435178615,0.00013286888173399998,90,True,0.17731648599959798,0.09575128123859014,30,0.9999999999999999,0.08857925448933332,0,0,29,30
test,20250102,full_style,30,0.5,-0.023331583374888026,-0.023464452256622026,-0.025088410239999304,-0.019141809913104164,0.0016239579833772777,-0.0043226423435178615,0.00013286888173399998,90,True,0.17731648599959798,0.09575128123859014,30,0.9999999999999999,0.08857925448933332,0,0,29,30
test,20250109,industry_proxy,10,0.15,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.29633405401364815,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_proxy,10,0.25,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.29633405401364815,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_proxy,10,0.35,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.29633405401364815,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_proxy,10,0.5,0.0856691481142221,0.0856043389505436,0.022325852692530734,0.02298160973493929,0.06327848625801287,0.06262272921560431,6.48091636785e-05,80,True,0.5324481230074299,0.29633405401364815,10,1.929769866654417,0.043206109119000004,0,0,19,19
test,20250109,industry_proxy,30,0.15,0.018325225504579937,0.018148430924181325,0.022325852692530734,0.02298160973493929,-0.004177421768349409,-0.004833178810757965,0.0001767945803986114,90,True,0.11187376522629554,0.07497177669865115,30,1.626153147716224,0.11786305359907426,0,0,46,47
test,20250109,industry_proxy,30,0.25,0.018325225504579937,0.018148430924181325,0.022325852692530734,0.02298160973493929,-0.004177421768349409,-0.004833178810757965,0.0001767945803986114,90,True,0.11187376522629554,0.07497177669865115,30,1.626153147716224,0.11786305359907426,0,0,46,47
test,20250109,industry_proxy,30,0.35,0.018325225504579937,0.018148430924181325,0.022325852692530734,0.02298160973493929,-0.004177421768349409,-0.004833178810757965,0.0001767945803986114,90,True,0.11187376522629554,0.07497177669865115,30,1.626153147716224,0.11786305359907426,0,0,46,47
test,20250109,industry_proxy,30,0.5,0.057456702544014304,0.057269699509673755,0.022325852692530734,0.02298160973493929,0.03494384681714302,0.034288089774734465,0.00018700303434055062,90,True,0.11187376522629554,0.07497177669865115,30,1.5821003220930285,0.12466868956036709,0,0,50,51
test,20250109,industry_size,10,0.15,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.3505130110631481,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_size,10,0.25,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.3505130110631481,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_size,10,0.35,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.3505130110631481,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_size,10,0.5,0.029643575634624976,0.029555714869653978,0.022325852692530734,0.02298160973493929,0.007229862177123243,0.0065741051347146875,8.786076497099999e-05,80,True,0.5324481230074299,0.3505130110631481,10,1.950417772404147,0.05857384331399999,0,0,18,18
test,20250109,industry_size,30,0.15,0.018325225504579937,0.018148430924181325,0.022325852692530734,0.02298160973493929,-0.004177421768349409,-0.004833178810757965,0.0001767945803986114,90,True,0.1341293810305829,0.09331295242849715,30,1.626153147716224,0.11786305359907426,0,0,46,47
test,20250109,industry_size,30,0.25,0.018325225504579937,0.018148430924181325,0.022325852692530734,0.02298160973493929,-0.004177421768349409,-0.004833178810757965,0.0001767945803986114,90,True,0.1341293810305829,0.09331295242849715,30,1.626153147716224,0.11786305359907426,0,0,46,47
