run,engine,split,setting,net_ann,net_ir,net_mdd,excess_benchmark_ann,excess_exec_universe_ann,avg_filled_turnover,avg_position_count
clean_alpha_only,t1_fill_rank_buffer,test,top_20_keep_2x,0.5205210325164782,0.2327854569940101,-0.21925031597168299,-0.043825472878946226,0.02336670438881283,0.0928964099307255,41.59090909090909
clean_alpha_only,t1_fill_rank_buffer,validation,top_20_keep_2x,-0.048281421916846146,0.0015455370169993633,-0.40296034163431627,-0.04801665308418335,0.023809936566337564,0.049639713505366896,40.01030927835052
clean_alpha_only,barra_lite_optimizer,test,industry_size_k20_style0_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,industry_size_k20_style0_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,test,industry_size_k20_style0.1_turn0,0.7785887779111207,0.292745713834773,-0.2243672117860227,0.1250570520555525,0.2064159239875327,0.149301226585195,52.80303030303031
clean_alpha_only,barra_lite_optimizer,test,industry_size_k20_style0.1_turn0.02,0.7901340817897304,0.2954428774288083,-0.2242747653788147,0.1322934576809444,0.2140776390260195,0.1477328259741196,52.60606060606061
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.1_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.1_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0_turn0,-0.0382901609047742,0.0086641291231484,-0.4280622378791858,-0.033057531750834,0.0404156011449883,0.0677223453204817,50.43298969072165
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0_turn0.02,-0.0375777978073024,0.0089264921903507,-0.4277620717548855,-0.0323718587280792,0.0411458712611638,0.0673072804305114,50.29896907216495
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.1_turn0,-0.0403355436413528,0.0078995771265003,-0.4285824070839696,-0.0348774669228637,0.0384377788517682,0.0662628184397614,49.44329896907217
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.1_turn0.02,-0.0414760156629007,0.0074696579511572,-0.428256045720873,-0.0358250334813217,0.0374328484687902,0.0659985467410782,49.48453608247423
clean_alpha_only,barra_lite_optimizer,validation,none_k20_style0_turn0,-0.0382901609047742,0.0086641291231484,-0.4280622378791858,-0.033057531750834,0.0404156011449883,0.0677223453204817,50.43298969072165
clean_alpha_only,barra_lite_optimizer,validation,none_k20_style0_turn0.02,-0.0375777978073024,0.0089264921903507,-0.4277620717548855,-0.0323718587280792,0.0411458712611638,0.0673072804305114,50.29896907216495
clean_alpha_only,barra_lite_optimizer,validation,none_k20_style0.1_turn0,-0.0382901609047742,0.0086641291231484,-0.4280622378791858,-0.033057531750834,0.0404156011449883,0.0677223453204817,50.43298969072165
clean_alpha_only,barra_lite_optimizer,validation,none_k20_style0.1_turn0.02,-0.0375777978073024,0.0089264921903507,-0.4277620717548855,-0.0323718587280792,0.0411458712611638,0.0673072804305114,50.29896907216495
clean_alpha_resid_style,t1_fill_rank_buffer,test,top_20_keep_2x,0.4129364950012713,0.2147712314897543,-0.15225434926741388,-0.11675954582834525,-0.054846647048859776,0.09056956706440832,38.10606060606061
clean_alpha_resid_style,t1_fill_rank_buffer,validation,top_20_keep_2x,0.0021818528874837373,0.022242763813135672,-0.326765513932066,-0.0007321680179674939,0.0725642146176868,0.04317002185820675,38.49484536082474
clean_alpha_resid_style,barra_lite_optimizer,test,industry_size_k20_style0_turn0,0.4699448533250936,0.2318874957429846,-0.1507550862939964,-0.0786843021342492,-0.01433572267796,0.1360748635393712,47.34848484848485
clean_alpha_resid_style,barra_lite_optimizer,test,industry_size_k20_style0_turn0.02,0.4672001710442353,0.2317830811182211,-0.1507635184076059,-0.0808832446372259,-0.0164797472563393,0.1306239112989266,46.09090909090909
