split,risk_control,k,style_penalty,turnover_penalty,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_filled_desired_ratio,avg_position_count,avg_cash_weight,avg_invested_weight,optimal_rate,feasible_rate,solver_error_rate,fallback_rate,avg_max_abs_exposure_z,avg_abs_exposure_z,avg_max_exposure_slack,avg_exposure_slack,avg_total_exposure_slack,avg_buy_capacity_slack,avg_min_invested_shortfall,min_invested_rule_pass_rate
test,industry_proxy,20,0.0,0.0,63,0.3124122039581978,0.16540245173354992,-0.1883245648803542,-0.240620038988414,-0.05638343498850862,0.17030866264623667,0.4937169335848705,3.157438749921584,55.12698412698413,0.015061937656002963,0.9849380623439972,1.0,1.0,0.0,0.0,0.35955348820223487,0.27059045642387747,0.012769837787555022,0.004571615837149683,0.018286463348598733,0.006296422961115693,0.0,1.0
test,industry_proxy,20,0.0,0.02,63,0.32839075917009164,0.17256037647836195,-0.18552766728858994,-0.2311267987273724,-0.04511662059023469,0.16645839990455805,0.16520718039362184,0.9919815876279399,54.98412698412698,0.015983120486401582,0.9840168795135984,1.0,1.0,0.0,0.0,0.35511804809397746,0.2680828302703025,0.009216404307066191,0.0035681229490719456,0.014272491796287782,0.0062964229662773995,0.0,1.0
test,industry_proxy,20,0.05,0.0,63,0.34476972441753273,0.18125813057029183,-0.1842074111817451,-0.22210929033933602,-0.03342349588074622,0.17411462878727038,0.4945011610087167,3.0492640144203365,56.6031746031746,0.016955834492604824,0.9830441655073952,1.0,1.0,0.0,0.0,0.296366840047967,0.13112280454932188,0.01989056931704602,0.0062609474885012536,0.025043789954005014,0.006296422622777577,0.0,1.0
test,industry_proxy,20,0.05,0.02,63,0.37906349325116406,0.19517336740462557,-0.18229540370199337,-0.20173140959447988,-0.008806432566743738,0.17134607372971591,0.17017881583191988,0.992493176758084,56.285714285714285,0.018037395579298687,0.9819626044207012,1.0,1.0,0.0,0.0,0.2926117292698456,0.13170248927356584,0.01850825958909662,0.005905182640491076,0.023620730561964304,0.0062964225956717605,0.0,1.0
test,industry_proxy,20,0.1,0.0,63,0.34697817177237233,0.1853958513476792,-0.18215830223419494,-0.22107106677778043,-0.03267459575532472,0.1814136823113817,0.49262393916044994,2.8551764190633993,57.65079365079365,0.014025044190250661,0.9859749558097493,1.0,1.0,0.0,0.0,0.20046816963340958,0.0762144050841621,0.016492170541224253,0.005050648874596903,0.020202595498387613,0.006296422650180714,0.0,1.0
test,industry_proxy,20,0.1,0.02,63,0.3664598684082281,0.1946179300108593,-0.1823637376501187,-0.20982585361921424,-0.01878614697340253,0.17641219259095772,0.17512350579621097,0.9918390143612392,57.38095238095238,0.014135752058128115,0.9858642479418717,1.0,1.0,0.0,0.0,0.20104165801584736,0.07498201759055972,0.016591500853052193,0.005145637139047841,0.020582548556191363,0.006296422651944283,0.0,1.0
test,industry_proxy,20,0.2,0.0,63,0.33386271312455396,0.17735230655228632,-0.18462203284852963,-0.22824487108521185,-0.041531264670015555,0.19351075267155457,0.49469621096795136,2.6412041904794084,59.87301587301587,0.015897512337482086,0.984102487662518,1.0,1.0,0.0,0.0,0.10824496572015477,0.04081564877825405,0.011249465445856477,0.003935466769729832,0.01574186707891933,0.006296422621084812,0.0,1.0
test,industry_proxy,20,0.2,0.02,63,0.3666703211390776,0.19192493312486672,-0.18288083952459433,-0.20863355225907332,-0.017980229461526887,0.1889737490982336,0.1876233982030152,0.9931078945977503,59.58730158730159,0.016385678656275486,0.9836143213437245,1.0,1.0,0.0,0.0,0.12278652286390641,0.04352972176102111,0.010611660538188631,0.003789177683489779,0.015156710733959116,0.006296422651253565,0.0,1.0
test,industry_size,20,0.0,0.0,63,0.3071973334306215,0.18769161546185653,-0.1535690638656586,-0.2503826515913361,-0.06434306594441441,0.1736064929708098,0.4976846649670413,3.0770837888207194,56.57142857142857,0.0349477552415661,0.9650522447584339,1.0,1.0,0.0,0.0,0.3703351474128007,0.27071977749533416,0.02091975882968895,0.004418331874261597,0.026509991245569582,0.006667117670928297,0.0,1.0
test,industry_size,20,0.0,0.02,63,0.33531609568457843,0.20112886995429344,-0.15028756067985494,-0.2340674786347674,-0.04410330225297632,0.1724925181740208,0.17116176782505457,0.9921772886308402,56.476190476190474,0.03506118893348155,0.9649388110665184,1.0,1.0,0.0,0.0,0.3721677871389735,0.2708256533254683,0.022401516169954068,0.004859697542512885,0.02915818525507731,0.006667117488985656,0.0,1.0
test,industry_size,20,0.05,0.0,63,0.31273877451171117,0.1869230669587085,-0.1460252492163464,-0.24660984423329257,-0.05972074737820132,0.17146041031413287,0.4971723890246441,3.075903642310319,56.80952380952381,0.028332745595155265,0.9716672544048448,1.0,1.0,0.0,0.0,0.33852121457581147,0.15885980399973687,0.0213044389722494,0.004061678404448632,0.02437007042669179,0.006667117670967666,0.0,1.0
test,industry_size,20,0.05,0.02,63,0.3296990539394211,0.19717815312951947,-0.14537004423182287,-0.2369127339048589,-0.04791599841438554,0.16873192718211302,0.16714715200427693,0.9902676531558096,56.96825396825397,0.0294517811624235,0.9705482188375765,1.0,1.0,0.0,0.0,0.3452067438613809,0.1601862326795503,0.024443648411473364,0.004613331607169859,0.027679989643019143,0.006667117488466385,0.0,1.0
test,industry_size,20,0.1,0.0,63,0.3007706871561522,0.18418499593322332,-0.1490656741736165,-0.2545409299138933,-0.06916100494103183,0.17235283865808973,0.49527714050778665,3.000129891702913,59.317460317460316,0.03474163967894742,0.9652583603210526,1.0,1.0,0.0,0.0,0.28536364275699566,0.11527974934314232,0.02198942784596228,0.004738035297771244,0.028428211786627484,0.006706253411455751,0.0,1.0
test,industry_size,20,0.1,0.02,63,0.33663987402967765,0.20232607577434553,-0.14234301808866556,-0.23380620046421252,-0.04353627088634926,0.16974968432677984,0.1683270236337874,0.9909984344841016,58.857142857142854,0.03370315185554352,0.9662968481444568,1.0,1.0,0.0,0.0,0.28073664348812644,0.11181719340892826,0.022938224592055658,0.004440319591833024,0.02664191755099815,0.00679126628656354,0.0,1.0
test,industry_size,20,0.2,0.0,63,0.31630615753925184,0.188530723492807,-0.1461395010985137,-0.244985346605453,-0.05782457653333706,0.1783102647858855,0.49929670372278784,2.886509929457965,61.20634920634921,0.038231910943799734,0.9617680890562004,1.0,1.0,0.0,0.0,0.20849556522798443,0.07177284514656967,0.011314607520959943,0.002676040173274078,0.016056241039644464,0.006865412540761225,0.0,1.0
test,industry_size,20,0.2,0.02,63,0.34074763590248747,0.19832856658954157,-0.14478030167926115,-0.2304718693082084,-0.040030537419393886,0.17254726168448037,0.17105566157528665,0.9914866375982048,61.03174603174603,0.037506770760515944,0.962493229239484,1.0,1.0,0.0,0.0,0.20011371651573648,0.0714070485110041,0.01141854261666284,0.00243171321823409,0.014590279309404548,0.006877289580682297,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.0,0.0,63,0.2725355288983995,0.21763772700493453,-0.09354943968832785,-0.27807189380491093,-0.09610897439790611,0.21049094991744846,0.5077353013997499,2.428533108370903,63.492063492063494,0.18531460598326946,0.8146853940167303,1.0,1.0,0.0,0.0,0.6991736816153985,0.3016179165499443,0.3491736812372799,0.038760367683754765,0.6201658829400762,0.008133369400662265,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.0,0.02,63,0.29742820239595336,0.2316351274730173,-0.0981897615732732,-0.2636369369938417,-0.07797008057342247,0.20327895432806162,0.2025003017949911,0.9959131492307721,63.41269841269841,0.18514752865927872,0.8148524713407213,1.0,1.0,0.0,0.0,0.7024466054545299,0.3019106625127201,0.3524466056008381,0.03898903328793645,0.6238245326069832,0.00813336912455097,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.05,0.0,63,0.28747609522074646,0.22466309723370026,-0.09588601860964974,-0.26988046421079614,-0.08506512312617542,0.2104951356372772,0.5076397615467515,2.4128184252684775,63.93650793650794,0.19002598950104582,0.8099740104989541,1.0,1.0,0.0,0.0,0.6843425641827872,0.2797641305699115,0.3343425644070704,0.03782778369788706,0.6052445391661929,0.008133369013438405,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.05,0.02,63,0.3180065334855353,0.24367725140439006,-0.08784484541924231,-0.2523997946529263,-0.06316534356723602,0.2076674289608975,0.20658108506330222,0.9949552043919266,63.44444444444444,0.18932818317654898,0.810671816823451,1.0,1.0,0.0,0.0,0.6897152599744997,0.28432803689531183,0.3397152602648196,0.03842894747447539,0.6148631595916062,0.008150899078138922,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.1,0.0,63,0.24238125793033327,0.19341310530109262,-0.11107592239958108,-0.2956702350012814,-0.1169099841388801,0.20163545419109818,0.5088449539832889,2.5208261236127627,63.22222222222222,0.19180027713399136,0.8081997228660087,1.0,1.0,0.0,0.0,0.6729278581414495,0.25987823678160926,0.3229278582973037,0.03614505305909557,0.5783208489455292,0.00813336926803345,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.1,0.02,63,0.2704611789356881,0.213790283363853,-0.1066200244658404,-0.27959917124617495,-0.09718302085695041,0.20241891013160207,0.20136607679240398,0.9949807059845936,63.12698412698413,0.19328127196213835,0.8067187280378617,1.0,1.0,0.0,0.0,0.6735367832867446,0.26354676430341134,0.32353678345577236,0.036535607389215435,0.584569718227447,0.008133369061987174,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.2,0.0,63,0.24992783445612665,0.19996640804521773,-0.11223845464485349,-0.2912978125088521,-0.11173036740635178,0.19886964966604687,0.5109073147319815,2.5823142203872167,63.42857142857143,0.19805882200661606,0.8019411779933838,1.0,1.0,0.0,0.0,0.6659770942750779,0.24798948699692183,0.31603844302315587,0.03589185328488191,0.5742696525581106,0.008133369238189588,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.2,0.02,63,0.28752275350489565,0.22736849947663595,-0.1016181991460744,-0.2700013382426941,-0.08523207413733236,0.2001728743001317,0.199110401436286,0.9948978289311473,63.93650793650794,0.1982751837711227,0.8017248162288774,1.0,1.0,0.0,0.0,0.6627557024919851,0.2451360930559391,0.313345624593161,0.03567430109707651,0.5707888175532242,0.00813336886922937,0.0,1.0
test,none,20,0.0,0.0,63,0.3575361847284253,0.18838009789205168,-0.1825166642141055,-0.21446168834491242,-0.024179683915859118,0.1305448645654871,0.48053234129818473,4.162690345023473,45.23809523809524,0.009303308796050163,0.9906966912039499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00629642319097069,0.0,1.0
test,none,20,0.0,0.02,63,0.38511464068328305,0.2004559645414553,-0.18044628100459936,-0.19842910435469618,-0.0044200377759963105,0.1274135777492967,0.12599872282060023,0.9877836002623476,45.25396825396825,0.009339633490988269,0.9906603665090117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296423191864414,0.0,1.0
test,none,20,0.05,0.0,63,0.3575361847284253,0.18838009789205168,-0.1825166642141055,-0.21446168834491242,-0.024179683915859118,0.1305448645654871,0.48053234129818473,4.162690345023473,45.23809523809524,0.009303308796050163,0.9906966912039499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00629642319097069,0.0,1.0
test,none,20,0.05,0.02,63,0.38511464068328305,0.2004559645414553,-0.18044628100459936,-0.19842910435469618,-0.0044200377759963105,0.1274135777492967,0.12599872282060023,0.9877836002623476,45.25396825396825,0.009339633490988269,0.9906603665090117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296423191864414,0.0,1.0
test,none,20,0.1,0.0,63,0.3575361847284253,0.18838009789205168,-0.1825166642141055,-0.21446168834491242,-0.024179683915859118,0.1305448645654871,0.48053234129818473,4.162690345023473,45.23809523809524,0.009303308796050163,0.9906966912039499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00629642319097069,0.0,1.0
test,none,20,0.1,0.02,63,0.38511464068328305,0.2004559645414553,-0.18044628100459936,-0.19842910435469618,-0.0044200377759963105,0.1274135777492967,0.12599872282060023,0.9877836002623476,45.25396825396825,0.009339633490988269,0.9906603665090117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296423191864414,0.0,1.0
test,none,20,0.2,0.0,63,0.3575361847284253,0.18838009789205168,-0.1825166642141055,-0.21446168834491242,-0.024179683915859118,0.1305448645654871,0.48053234129818473,4.162690345023473,45.23809523809524,0.009303308796050163,0.9906966912039499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00629642319097069,0.0,1.0
test,none,20,0.2,0.02,63,0.38511464068328305,0.2004559645414553,-0.18044628100459936,-0.19842910435469618,-0.0044200377759963105,0.1274135777492967,0.12599872282060023,0.9877836002623476,45.25396825396825,0.009339633490988269,0.9906603665090117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296423191864414,0.0,1.0
validation,industry_proxy,20,0.0,0.0,94,-0.04980233997493866,-0.0016919752674076543,-0.35049714877089333,0.08846435565168709,-0.054740916066701284,0.09386609453793143,0.18695779630516993,2.1248494952704746,63.180851063829785,0.018487965660779763,0.9815120343393641,1.0,1.0,0.0,0.0,0.4604322591271812,0.29402266921766207,0.11741403492128459,0.03875790360877976,0.15503161443511904,0.006641332614639428,0.0,1.0
validation,industry_proxy,20,0.0,0.02,94,-0.04130288296663276,0.0021366415563762583,-0.34707111130296353,0.09808234198622445,-0.046637304385397926,0.09334006118611096,0.09334157915859934,1.0000218159792882,63.0,0.018010390070072872,0.9819896099312699,1.0,1.0,0.0,0.0,0.4639989375759096,0.29099505599386155,0.12313317320457509,0.03901202510812351,0.15604810043249404,0.006641332613505327,0.0,1.0
validation,industry_proxy,20,0.05,0.0,94,-0.056872308073146915,-0.005366413624211671,-0.35197442889455777,0.0802671093143068,-0.0621435203858709,0.09574575617898998,0.18724798455861597,2.0533173807039122,62.43617021276596,0.017625229533977535,0.9823747704667645,1.0,1.0,0.0,0.0,0.40307158884126854,0.21088291608428913,0.09988014064595648,0.030779504865376544,0.12311801946150618,0.006641332183742299,0.0,1.0
validation,industry_proxy,20,0.05,0.02,94,-0.051623229843192675,-0.0029694566271409265,-0.34984160146420096,0.08595113392194853,-0.05702225182060783,0.09477782523269981,0.09477901756898552,1.0000166234727244,62.202127659574465,0.017751965798454925,0.9822480342020842,1.0,1.0,0.0,0.0,0.41066635240683547,0.21495228852222398,0.10442499385231678,0.03204893602791111,0.12819574411164444,0.00664133212662826,0.0,1.0
validation,industry_proxy,20,0.1,0.0,94,-0.051504562109024765,-0.0030542479881404505,-0.3530303216824002,0.0857010626279806,-0.057157959518341905,0.09945660656924613,0.1873476100422093,1.9447637974998366,64.38297872340425,0.018220087831320654,0.981779912169194,1.0,1.0,0.0,0.0,0.35522583747569936,0.1741491974194365,0.0846506842112078,0.02650225436262486,0.10600901745049944,0.006641332378775021,0.0,1.0
validation,industry_proxy,20,0.1,0.02,94,-0.04785174176098628,-0.0011780374937926741,-0.3517937158357536,0.0903353936414153,-0.0533397379778916,0.0990218917218827,0.09902255621722365,1.000008086032025,65.03191489361703,0.01804470690840465,0.9819552930917302,1.0,1.0,0.0,0.0,0.3576086285196688,0.17358916787617631,0.08469274340753821,0.026153669354957578,0.10461467741983031,0.006641332378851149,0.0,1.0
