split,trade_date,k,num_buckets,k_per_bucket,rotated_bucket,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,filled_turnover,desired_turnover,position_count,buy_rejects,sell_rejects,active_buckets,portfolio_nav
test,20250205,50,5,10,0,86,0.26751273088600763,0.2673891767508296,0.062453273221866556,0.07877092480395399,0.20493590352896307,0.18861825194687565,0.000123554135178,0.082369423452,0.9999999999999999,10,0,0,1,10000000.0
test,20250206,50,5,10,1,83,0.026703668663415274,0.026535213133443272,0.0261279868099189,0.01359107163309298,0.0004072263235243706,0.012944141500350292,0.000168455529972,0.11230368664799999,0.9999999999999999,20,0,0,2,10000000.0
test,20250207,50,5,10,2,85,0.020911722614915095,0.020791536793029596,0.018832056960079502,0.007521357919549188,0.0019594798329500944,0.013270178873480408,0.00012018582188549998,0.08012388125699998,0.9999999999999999,30,0,0,3,10000000.0
test,20250210,50,5,10,3,87,0.09925977141303707,0.09912389040976907,0.01957001510204326,0.018876028578312512,0.07955387530772581,0.08024786183145656,0.000135881003268,0.09058733551199999,0.9999999999999999,40,0,0,4,10000000.0
test,20250211,50,5,10,4,86,-0.005363004078921682,-0.005486780146040182,0.013862196713349206,0.0028022112229283904,-0.01934897685938939,-0.008288991368968572,0.00012377606711849997,0.08251737807899998,0.9999999999999999,50,0,0,5,10000000.0
test,20250212,50,5,10,0,86,-0.013694714242400232,-0.013860978242469731,0.016070513944185683,0.009214541812112396,-0.029931492186655414,-0.023075520054582126,0.00016626400006950002,0.11084266671300001,1.2135708927895,52,0,1,5,10000000.0
test,20250213,50,5,10,1,86,0.006129154262409788,0.005981304849403968,0.022713400266956896,0.029589471214679714,-0.01673209541755293,-0.023608166365275747,0.00014784941300582014,0.09856627533721342,1.2112193225601686,54,0,0,5,10000000.0
test,20250214,50,5,10,2,85,0.037336520529993054,0.03718263678587543,0.029889156241885928,0.031776255173635484,0.007293480543989504,0.005406381612239948,0.00015388374411762402,0.10258916274508267,1.006554082343011,55,0,0,5,10000000.0
test,20250217,50,5,10,3,83,0.04530007288794781,0.045147400004375816,0.017797821554438098,0.030769861133263344,0.02734957844993772,0.014377538871112473,0.000152672883571995,0.10178192238132999,1.0298236641085674,56,0,1,5,10000000.0
test,20250218,50,5,10,4,86,0.08079326182743538,0.08070376869651809,0.02658086277945193,0.04707932044146434,0.05412290591706616,0.03362444825505375,8.949313091728869e-05,0.05966208727819246,0.9415551842718166,57,0,0,5,10000000.0
test,20250219,50,5,10,0,87,0.05852646692220929,0.058377065735316286,0.018515326189644687,0.03465011447356169,0.0398617395456716,0.023726951261754593,0.00014940118689300003,0.09960079126200003,0.9600327983662188,57,0,0,5,10000000.0
test,20250220,50,5,10,1,87,0.018869475210355487,0.018640761864126606,0.013895050817677612,0.018406462920700153,0.004745711046448994,0.00023429894342645238,0.0002287133462288817,0.1524755641525878,1.168582045642565,58,0,0,5,10000000.0
test,20250221,50,5,10,2,87,-0.0835941006287904,-0.08376703967164069,-0.048704503741773375,-0.04449380451881604,-0.035062535929867314,-0.03927323515282465,0.00017293904285028432,0.11529269523352288,1.0607899577047157,59,0,0,5,10000000.0
test,20250224,50,5,10,3,85,-0.040404293423799656,-0.04052692949555915,-0.030764249976425684,-0.01317281186396255,-0.009762679519133469,-0.027354117631596602,0.0001226360717595,0.081757381173,1.085411244952803,61,0,1,5,10000000.0
test,20250225,50,5,10,4,87,-0.05583137964242888,-0.05598278806517766,-0.022543361037212994,-0.014797697795461194,-0.033439427027964666,-0.041185090269716465,0.00015140842274878141,0.10093894849918761,1.2025198294555943,64,0,0,5,10000000.0
test,20250226,50,5,10,0,87,-0.045816596532904284,-0.04597864463520103,-0.03432345975607076,-0.028359081240983765,-0.011655184879130268,-0.017619563394217264,0.0001620481022967435,0.108032068197829,0.9045987476826313,64,0,0,5,10000000.0
test,20250227,50,5,10,1,87,0.009341860436967091,0.009214875370997988,-0.009669540782564878,0.006210464066275986,0.018884416153562865,0.003004411304722002,0.0001269850659691023,0.08465671064606821,1.1407472144174455,64,0,0,5,10000000.0
test,20250228,50,5,10,2,87,0.029836300020366628,0.029725990326528097,0.016086864312385263,0.027513796445918982,0.013639126014142834,0.0022121938806091146,0.00011030969383853038,0.07353979589235358,1.1895642266204458,65,0,0,5,10000000.0
test,20250303,50,5,10,3,87,0.0317571428302261,0.031668285907045596,0.0015261835422937242,0.03261071473933281,0.03014210236475187,-0.0009424288322872135,8.885692318049999e-05,0.05923794878699999,1.1648624683272149,65,0,1,5,10000000.0
test,20250304,50,5,10,4,87,0.02539451883556611,0.02530056627025911,0.006370502826314572,0.01686989000176044,0.018930063443944538,0.00843067626849867,9.3952565307e-05,0.062635043538,1.2561740319838242,65,0,2,5,10000000.0
test,20250305,50,5,10,0,87,0.00862937362502272,0.008467493334947144,0.0004133562555677095,0.0023306236171185915,0.008054137079379435,0.006136869717828553,0.00016188029007557672,0.10792019338371782,1.209172915549,67,0,0,5,10000000.0
test,20250306,50,5,10,1,87,-0.02650275123312005,-0.026609296743561446,-0.030735954757015294,-0.023108144938328364,0.0041266580134538475,-0.0035011518052330826,0.00010654551044139644,0.07103034029426429,1.298583305088786,69,0,1,5,10000000.0
test,20250307,50,5,10,2,86,0.007577328823116805,0.0075118719763597715,0.009708218816004033,0.0023026645845852685,-0.0021963468396442613,0.005209207391774503,6.545684675703385e-05,0.04363789783802257,1.1621920732009814,70,0,0,5,10000000.0
test,20250310,50,5,10,3,86,0.026740966635952528,0.026660487089761528,0.006931978154597784,0.01367053769777398,0.019728508935163744,0.012989949391987549,8.047954619099998e-05,0.05365303079399999,1.0923520174813628,71,0,1,5,10000000.0
test,20250311,50,5,10,4,86,-0.0034699528395802045,-0.003585393843913066,0.011167723563860532,-0.0007794239049096266,-0.014753117407773597,-0.0028059699390034394,0.00011544100433286146,0.07696066955524097,1.1560538472883597,73,0,2,5,10000000.0
test,20250312,50,5,10,0,87,-0.011416095607972975,-0.011513611787731238,0.014183067902517443,0.001487857018171965,-0.02569667969024868,-0.013001468805903202,9.75161797582621e-05,0.06501078650550807,1.049194901604351,73,0,0,5,10000000.0
test,20250313,50,5,10,1,86,-0.005462051539634487,-0.0056372568608369835,0.01571022247099574,0.0070044754432188735,-0.021347479331832724,-0.012641732304055856,0.00017520532120249597,0.11680354746833065,1.2399818409358498,73,0,1,5,10000000.0
test,20250314,50,5,10,2,86,-0.061219327570904106,-0.06130904827171648,-0.033429090180909005,-0.03660928954803166,-0.027879958090807476,-0.024699758723684823,8.972070081237562e-05,0.05981380054158375,1.1355273339884056,74,0,0,5,10000000.0
test,20250317,50,5,10,3,85,-0.06015015057686453,-0.0602417794509138,-0.02824750513130947,-0.042261308500796714,-0.03199427431960433,-0.017980470950117088,9.162887404927452e-05,0.061085916032849685,1.1171889736045884,75,0,0,5,10000000.0
test,20250318,50,5,10,4,84,-0.06796898401327033,-0.0680565744882964,-0.037316678902805656,-0.04438895863871132,-0.030739895585490742,-0.02366761584958508,8.759047502607931e-05,0.05839365001738621,1.186258875865217,75,0,2,5,10000000.0
test,20250319,50,5,10,0,84,-0.057795541454104704,-0.057871655388185464,-0.03709821694337789,-0.03754313325652977,-0.02077343844480757,-0.020328522131655695,7.611393408076157e-05,0.05074262272050771,1.2661278125817683,76,0,0,5,10000000.0
test,20250320,50,5,10,1,84,-0.045508664847003354,-0.045592666957117854,-0.024970999286783035,-0.026053730214038145,-0.02062166767033482,-0.01953893674307971,8.400211011450001e-05,0.056001406743000005,1.3325400977975788,78,0,1,5,10000000.0
test,20250321,50,5,10,2,83,-0.028668318324929932,-0.028743611078975096,-0.011183493293992819,-0.01805788853628486,-0.017560117784982277,-0.010685722542690235,7.529275404516416e-05,0.05019516936344277,1.3703094966528944,80,0,1,5,10000000.0
test,20250324,50,5,10,3,83,-0.02893717756392027,-0.029006416106837407,-0.022696797312663053,-0.024240654918848085,-0.006309618794174354,-0.004765761187989322,6.923854291713593e-05,0.04615902861142395,1.4431082203660568,82,0,1,5,10000000.0
test,20250325,50,5,10,4,83,-0.021063849789732435,-0.021117151853479933,-0.020322178930146317,-0.009133296992300083,-0.0007949729233336159,-0.01198385486117985,5.330206374750001e-05,0.035534709165000004,1.4395545069057896,85,0,3,5,10000000.0
test,20250326,50,5,10,0,83,-0.009243943030481278,-0.009297754954138635,-0.01648515053215538,-0.004872417219530245,0.007187395578016745,-0.004425337734608389,5.381192365735668e-05,0.03587461577157112,1.4017373744772745,87,0,1,5,10000000.0
test,20250327,50,5,10,1,85,-0.021654486423354782,-0.021715871517206282,-0.03715103353692806,-0.025098810678604474,0.015435162019721775,0.0033829391613981914,6.138509385150001e-05,0.040923395901000005,1.4981045272473759,90,0,2,5,10000000.0
test,20250328,50,5,10,2,85,-0.16524953008683801,-0.16531649973185303,-0.15083249334698845,-0.13916518055289331,-0.014484006384864578,-0.026151319178959714,6.696964501501548e-05,0.04464643001001032,1.5136300186759941,93,0,3,5,10000000.0
test,20250331,50,5,10,3,86,-0.15113006499334403,-0.15120681005202652,-0.12520157948474264,-0.11533671829567547,-0.026005230567283877,-0.035870091756351044,7.674505868250002e-05,0.05116337245500001,1.5221191293566734,95,0,2,5,10000000.0
test,20250401,50,5,10,4,86,-0.111154123048712,-0.111227614101158,-0.11585911416924444,-0.09978211796628579,0.004631500068086436,-0.01144549613487221,7.349105244600001e-05,0.048994034964000004,1.4983226155499811,98,0,2,5,10000000.0
test,20250402,50,5,10,0,86,-0.09295892415536323,-0.09302927262796273,-0.09697566074716402,-0.07224406362950515,0.003946388119201283,-0.02078520899845758,7.034847259949999e-05,0.04689898173299999,1.4850284024021283,100,0,2,5,10000000.0
test,20250403,50,5,10,1,86,-0.014644159022494677,-0.014817350736525549,-0.06731491477739004,0.006111300847385285,0.052497564040864496,-0.020928651583910836,0.00017319171403087187,0.11546114268724791,1.4808736660154354,100,0,1,5,10000000.0
test,20250407,50,5,10,2,86,0.0733445934908457,0.07321620977831156,0.06955853015325708,0.06957228792758383,0.0036576796250544774,0.0036439218507277327,0.0001283837125341431,0.08558914168942874,1.4965459684287215,101,0,2,5,10000000.0
test,20250408,50,5,10,3,67,0.0617102541575552,0.061593867935325196,0.04895207188475559,0.07228545985944947,0.012641796050569608,-0.01069159192412427,0.00011638622223,0.07759081481999999,1.9141376990640673,105,0,7,5,10000000.0
test,20250409,50,5,10,4,86,-0.010189927962080816,-0.01033724985480088,0.02623469204852613,-0.00654195113132331,-0.036571941903327014,-0.003795298723477571,0.00014732189272006468,0.09821459514670978,1.4911468474638725,104,0,2,5,10000000.0
test,20250410,50,5,10,0,86,0.0012091007115575965,0.0011194608013825273,0.004340268460189645,0.0035932344827785453,-0.0032208076588071174,-0.002473773681396018,8.963991017506921e-05,0.059759940116712804,1.4816998626624194,103,0,1,5,10000000.0
test,20250411,50,5,10,1,86,-0.013289373933751092,-0.013375347450076092,-0.0064371842961441494,-0.0265776638905611,-0.0069381631539319425,0.013202316440485007,8.5973516325e-05,0.057315677550000006,1.4625112945728607,104,0,1,5,10000000.0
test,20250414,50,5,10,2,87,0.014719200277195107,0.014659276081442607,0.005900525150463354,-0.002279395094713115,0.008758750930979253,0.01693867117615572,5.9924195752499995e-05,0.039949463835,1.4664851620793067,105,0,2,5,10000000.0
test,20250415,50,5,10,3,87,0.0006121723059785424,0.0005423533042430424,-0.0010194263425485905,-0.0031356131726473072,0.001561779646791633,0.0036779664768903497,6.981900173549999e-05,0.04654600115699999,1.474130437599928,105,0,2,5,10000000.0
test,20250416,50,5,10,4,87,0.019091532257972325,0.019029238548673413,0.02205064785215516,0.022409993556961737,-0.003021409303481746,-0.003380755008288324,6.229370929891127e-05,0.04152913953260751,1.6671120624648517,107,0,3,5,10000000.0
test,20250417,50,5,10,0,87,3.3353442368692225e-05,-3.081228704580777e-05,0.014187780192588262,0.005753048852801133,-0.014218592479634069,-0.005783861139846941,6.41657294145e-05,0.042777152942999996,1.6727270580518199,110,0,1,5,10000000.0
test,20250418,50,5,10,1,88,0.0027410568788727918,0.002653932588716792,0.017354767039688968,0.005520331447868409,-0.014700834450972176,-0.002866398859151617,8.712429015600002e-05,0.05808286010400001,1.6367722025358098,112,0,1,5,10000000.0
test,20250421,50,5,10,2,88,-0.02167121297468076,-0.021753932541803092,-0.005071804358741994,-0.014753991831325752,-0.0166821281830611,-0.00699994071047734,8.271956712233196e-05,0.055146378081554634,1.6498807611842283,114,0,2,5,10000000.0
test,20250422,50,5,10,3,88,-0.008855104110910393,-0.008937153929868163,0.0018201839163072275,-0.01729222312361065,-0.01075733784617539,0.008355069193742485,8.204981895777096e-05,0.05469987930518064,1.653663028219144,113,0,2,5,10000000.0
test,20250423,50,5,10,4,88,0.010165671657902099,0.010106914321190099,-0.000581275291310912,-0.005537035127669995,0.01068818961250101,0.015643949448860092,5.8757336711999984e-05,0.03917155780799999,1.635414039176085,113,0,2,5,10000000.0
test,20250424,50,5,10,0,88,0.04260418472729028,0.04253089014986628,0.026113231359929046,0.028114028050141102,0.016417658789937235,0.014416862099725179,7.329457742399999e-05,0.04886305161599999,1.8485836348365332,114,0,1,5,10000000.0
test,20250425,50,5,10,1,88,0.04457008092997997,0.04450507634909897,0.025330755459813892,0.026653435247644384,0.019174320889285078,0.017851641101454586,6.500458088100001e-05,0.04333638725400001,1.8143816082804063,116,0,2,5,10000000.0
test,20250428,50,5,10,2,87,0.05283161927239984,0.052761906441062684,0.049106862924354955,0.0503117398958287,0.003655043516707729,0.0024501665452339866,6.971283133716167e-05,0.046475220891441106,1.82064745314944,117,0,2,5,10000000.0
test,20250429,50,5,10,3,87,0.012976126132397542,0.012911216294440041,0.041318795557795385,0.029403078506950533,-0.028407579263355343,-0.01649186221251049,6.49098379575e-05,0.043273225305,1.8292752607275526,119,0,2,5,10000000.0
test,20250430,50,5,10,4,87,0.012234470337312432,0.012147527693980932,0.05989857956463163,0.030583475004462617,-0.04775105187065069,-0.018435947310481683,8.694264333150002e-05,0.05796176222100001,1.903901817260239,121,0,3,5,10000000.0
test,20250506,50,5,10,0,87,-0.025151685050937567,-0.025278888614651066,0.038185334622896416,-0.002708333162643568,-0.06346422323754748,-0.022570555452007496,0.0001272035637135,0.084802375809,1.902405831556701,122,0,1,5,10000000.0
test,20250507,50,5,10,1,87,0.019704395553579803,0.019631439230995255,0.04339176863627037,0.01912943264047355,-0.023760329405275112,0.0005020065905217037,7.295632258454698e-05,0.048637548389697985,1.9011148663526527,122,0,2,5,10000000.0
test,20250508,50,5,10,2,87,-0.0160804834278891,-0.01614439164770668,0.006797352861496853,-0.01172573857351783,-0.022941744509203534,-0.004418653074188851,6.390821981758369e-05,0.04260547987838913,1.8862902997688773,121,0,1,5,10000000.0
test,20250509,50,5,10,3,87,-0.014588537708939212,-0.014685867747707212,0.013758103510093322,-0.012510542824428572,-0.028443971257800536,-0.0021753249232786404,9.733003876800002e-05,0.06488669251200001,1.8720034353737467,122,0,1,5,10000000.0
test,20250512,50,5,10,4,87,-0.03395920794931022,-0.03404251548140328,-0.015477981281375564,-0.033238375143386636,-0.018564534200027717,-0.0008041403380166443,8.330753209305966e-05,0.055538354728706434,1.8778476813781753,122,0,2,5,10000000.0
test,20250513,50,5,10,0,87,-0.02091584380640732,-0.02104680711664913,-0.006692751630019256,-0.01072681946847753,-0.014354055486629873,-0.010319987648171599,0.0001309633102418109,0.08730887349454058,1.8766788354887816,122,0,1,5,10000000.0
test,20250514,50,5,10,1,86,-0.03641044397525313,-0.03648826115846763,-0.008521790232169035,-0.011589876627142812,-0.027966470926298594,-0.024898384531324817,7.78171832145e-05,0.051878122143,1.8642353764932804,123,0,2,5,10000000.0
test,20250515,50,5,10,2,87,-0.017574774446952292,-0.017628252681762293,0.0011348605139065437,-0.00521332813299106,-0.018763113195668837,-0.012414924548771234,5.3478234809999995e-05,0.03565215653999999,1.8681829263126941,124,0,1,5,10000000.0
test,20250516,50,5,10,3,87,-0.036979046312540405,-0.03702776486174046,-0.008799500962320628,-0.014392982954729475,-0.028228263899419834,-0.022634781907010987,4.871854920005571e-05,0.03247903280003714,1.8697944686637429,124,0,1,5,10000000.0
test,20250519,50,5,10,4,87,-0.02999404124823618,-0.03005116131428862,-0.013527151634177836,-0.012831174084788958,-0.016524009680110783,-0.01721998722949966,5.712006605243798e-05,0.038080044034958654,1.8705018848964428,123,0,2,5,10000000.0
test,20250520,50,5,10,0,87,-0.03838998789142897,-0.03843525211931713,-0.027735780076991623,-0.02434688651820614,-0.010699472042325506,-0.01408836560111099,4.526422788815602e-05,0.030176151925437343,1.862580803318543,122,0,1,5,10000000.0
test,20250521,50,5,10,1,87,-0.03809356762264847,-0.038144998681471316,-0.03873699398176611,-0.030459952792513397,0.0005919953002947939,-0.007685045888957919,5.143105882284812e-05,0.03428737254856541,1.8645661730340102,121,0,2,5,10000000.0
test,20250522,50,5,10,2,87,-0.005108138053375727,-0.005176846331190228,-0.016140915556113966,-0.0008199977208994501,0.01096406922492374,-0.004356848610290778,6.87082778145e-05,0.045805518542999996,1.8701525127211487,121,0,1,5,10000000.0
