run,split,k,periods,top_ann,top_cum,max_drawdown,excess_bench_ann,excess_universe_ann,long_short_ann,long_short_cum,avg_turnover,avg_ls_turnover
legacy62_strictmask,test,10,66,0.6185133587102862,0.8786365107560747,-0.19527540235717333,-0.020000679490786655,0.08310729960744645,0.04926846401150953,0.06500470523804958,1.4545454545454548,2.7757575757575763
legacy62_strictmask,test,20,66,0.5410305240294773,0.7617459911354336,-0.17898565992947013,-0.06775078267231138,0.0297116188682367,0.003685656767850931,0.00482920596606129,1.1909090909090914,2.3045454545454547
legacy62_strictmask,test,30,66,0.5440769087642245,0.7663080720957336,-0.1884392547248085,-0.06381792726956081,0.03339356315275266,0.0412037754543606,0.054298191308422616,0.9696969696969697,1.9191919191919191
legacy62_strictmask,validation,10,97,-0.17026470203029964,-0.3017823367817929,-0.45408739914692897,-0.09995791238882401,-0.04203895230282084,-0.14357630870823657,-0.25791713137142613,1.443298969072165,2.760824742268041
legacy62_strictmask,validation,20,97,-0.14619311629667997,-0.2622748859840637,-0.47304693204774206,-0.07061655509076536,-0.012396167757770749,-0.1030541214982218,-0.18886385785281412,1.2206185567010315,2.3814432989690726
legacy62_strictmask,validation,30,97,-0.12921083217511642,-0.2337748484958453,-0.47650575697464126,-0.052416704130827996,0.007346226114422594,-0.032205619778982286,-0.06105943713252815,1.0013745704467354,1.9780068728522338
new_alpha13,test,10,66,0.33861817863593413,0.46507544149916424,-0.21140090914380993,-0.19339299994210735,-0.11074353128535674,-0.24093963903776772,-0.3030221428917744,1.3757575757575757,2.3363636363636364
new_alpha13,test,20,66,0.5415756521392139,0.7625621370299558,-0.20240132184211668,-0.07287687132378107,0.026239201911472554,-0.10226647516766851,-0.13174866046605793,1.0863636363636369,1.8954545454545455
new_alpha13,test,30,66,0.3941945151257531,0.5452362546363898,-0.2099149422919917,-0.15921986756136253,-0.07118486189441275,-0.18638920663564862,-0.23671181944694353,0.8262626262626263,1.5272727272727271
new_alpha13,validation,10,97,-0.1197372883397867,-0.2176507564154072,-0.47650273291669987,-0.04441905905952337,0.01282784484054078,0.060897638051165215,0.12049846506572814,1.3793814432989693,2.350515463917526
new_alpha13,validation,20,97,-0.15882242682417158,-0.2831329800664424,-0.4848895096541864,-0.09014823815804218,-0.035316027925543,-0.08690407534352185,-0.1605211737317438,1.167010309278351,2.0144329896907225
new_alpha13,validation,30,97,-0.17301751949412758,-0.3062338041944108,-0.5129327158823909,-0.10422397189224097,-0.050355245145144556,-0.0858270391009982,-0.15861438924922833,0.9326460481099658,1.6886597938144328
new_alpha18_resid,test,10,66,0.3304591286275993,0.45339267149878104,-0.20173473410972154,-0.19791888142630143,-0.11226139525128842,-0.33066114686758075,-0.4088749934143976,1.1636363636363638,2.0757575757575757
new_alpha18_resid,test,20,66,0.4127107637935603,0.5721656710818932,-0.19831839029462406,-0.14921912837640094,-0.06089006450175227,-0.28015431076652875,-0.34979305192704635,0.9772727272727275,1.7363636363636368
new_alpha18_resid,test,30,66,0.40131811880787316,0.5555835667451801,-0.20479936007285615,-0.15573575070448653,-0.06685548532747454,-0.2569410185978612,-0.3221994379614268,0.7757575757575756,1.4262626262626261
new_alpha18_resid,validation,10,97,-0.13467120542968158,-0.24299516663093135,-0.5124270536644879,-0.06573303561280308,-0.008378001016792758,-0.055845125522302363,-0.10470091672248283,1.2144329896907216,2.129896907216495
new_alpha18_resid,validation,20,97,-0.1342514997028701,-0.24228835944112836,-0.47203501636532275,-0.06285517557469822,-0.005598877915552913,-0.05857109205519884,-0.1096692018293931,0.9896907216494846,1.7577319587628868
new_alpha18_resid,validation,30,97,-0.15419469679198183,-0.27552335715378495,-0.4976714412325274,-0.08434493231268181,-0.028762368164924612,-0.06664694436199903,-0.12431008677682331,0.8103092783505156,1.4790378006872853
old_full62,test,10,66,0.8846836470667634,1.293143958793158,-0.15576308136078554,0.13638134240922173,0.2871390287883804,0.49001580884416596,0.6857671088410844,1.5272727272727273,2.736363636363637
old_full62,test,20,66,0.6414514892545453,0.9135783949003813,-0.15363580462355553,-0.01184836676563561,0.11860455924185276,0.25932630438194937,0.3524881079388029,1.1636363636363642,2.215151515151516
old_full62,test,30,66,0.6172892424536269,0.8767760878032727,-0.15450915602344417,-0.025129719180656984,0.1051750381869827,0.24559613917291445,0.33321068071673277,0.9585858585858587,1.8333333333333335
old_full62,validation,10,97,-0.11553045355981151,-0.21043896164303844,-0.4747627520186182,-0.03519435982070729,0.03148387642733619,0.020800464802026797,0.04041739785606402,1.6061855670103098,2.826804123711341
old_full62,validation,20,97,-0.2124142640615021,-0.36844017248422223,-0.5389149890052356,-0.14370174459729002,-0.08387083729817257,-0.07038044032263557,-0.1310391922356149,1.2783505154639179,2.323711340206186
old_full62,validation,30,97,-0.19385609837152007,-0.339487043914651,-0.5398877595074926,-0.12458285041543349,-0.06287852817235329,-0.10244504532062204,-0.1878034409556878,1.0460481099656358,1.9470790378006875
