split,risk_control,k,style_penalty,turnover_penalty,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z,avg_partial_fill_count,avg_position_count
test,industry_proxy,10,0.0,0.0,66,1.4327701518288065,0.33449211438503634,-0.23563799093023707,0.5425915701933062,0.6556720019334483,1.8348337352809863,0.08862869148335481,0.1562332957308653,0.21268012829004654,23.545454545454547,27.606060606060606
test,industry_proxy,10,0.0,0.02,66,1.406985471954719,0.3310866063666024,-0.23563799093023707,0.5253132984583944,0.6375112584270952,1.8339770478092854,0.08802678474666499,0.1559854475727097,0.2120061180568712,23.575757575757574,27.636363636363637
test,industry_proxy,10,0.05,0.0,66,1.4254343193503956,0.3333344337928995,-0.23563799093023707,0.5380262488335288,0.6507486661642381,1.8406283822918197,0.08896375372487571,0.15621677661829944,0.21261510991414545,23.62121212121212,27.681818181818183
test,industry_proxy,10,0.05,0.02,66,1.4035486954600227,0.3305968282874511,-0.23563799093023707,0.523137908624006,0.6351791738515995,1.840062389787355,0.08842151530748331,0.15591953590269383,0.21196986241064603,23.666666666666668,27.727272727272727
test,industry_proxy,10,0.1,0.0,66,1.6881925945249332,0.3608888024527075,-0.2427298526528454,0.7101214011853758,0.8348749372430859,1.8346302154267387,0.08772162613986546,0.25164449979832976,0.22992257461817497,23.439393939393938,27.545454545454547
test,industry_proxy,10,0.1,0.02,66,1.6860877093380626,0.3606713270786758,-0.2427298526528454,0.7087499216200261,0.8334061760926041,1.8339924263718497,0.08784457432711183,0.250990667914297,0.2295644034099683,23.5,27.606060606060606
test,industry_proxy,10,0.2,0.0,66,1.6926369604613911,0.3609940389277683,-0.24295488319839198,0.7133304834367962,0.838246417727855,1.8388850748135692,0.08817177056674537,0.25275035556591763,0.23069290156467795,23.575757575757574,27.681818181818183
test,industry_proxy,10,0.2,0.02,66,1.6843277416704927,0.36035293200622204,-0.2428230742874753,0.7078712674245908,0.8323893176871258,1.837275446971865,0.08823688854691296,0.25173953462284643,0.22954604808038756,23.606060606060606,27.71212121212121
test,industry_proxy,20,0.0,0.0,66,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.15074910354563698,0.23369624317240612,1.613437188332767,0.15208085063740623,0.10713442542311773,0.1564083004261465,43.621212121212125,53.121212121212125
test,industry_proxy,20,0.0,0.02,66,0.8128280855472474,0.30076009481236293,-0.22516561112849376,0.14675436082888949,0.22949426131229145,1.6026981866198662,0.14945036620703833,0.10725865622505444,0.15655524801459333,43.36363636363637,52.84848484848485
test,industry_proxy,20,0.05,0.0,66,0.7612740760976222,0.2883959589527057,-0.22562372558711197,0.11423073188523203,0.1945611807986518,1.6126691145458893,0.15288168579688638,0.11287296641841849,0.16112874008810038,43.75757575757576,53.196969696969695
test,industry_proxy,20,0.05,0.02,66,0.7689542747917528,0.2909355243881227,-0.2250139394278199,0.11914211762924332,0.1997101809937436,1.5970242932774539,0.15134395890595087,0.11303468982164451,0.16273296795315903,43.46969696969697,52.93939393939394
test,industry_proxy,20,0.1,0.0,66,0.7481220887157849,0.28444941197657564,-0.22472278759478848,0.10630566247567352,0.1858485752761898,1.6119805334724926,0.15342827244670193,0.11456435241470471,0.16373892407471205,44.03030303030303,53.10606060606061
test,industry_proxy,20,0.1,0.02,66,0.7522407744462669,0.2855186749365909,-0.22458385995557673,0.10908239585650392,0.1887575503549095,1.602829687556194,0.15115017560660032,0.11499766957273531,0.1633749252933665,43.696969696969695,52.78787878787879
test,industry_proxy,20,0.2,0.0,66,0.7351049286875437,0.27969553631813887,-0.2244884044187513,0.09821012274941077,0.17714026720455522,1.6131796490075516,0.15273499746558558,0.12155071413591201,0.16492270279485566,44.06060606060606,52.303030303030305
test,industry_proxy,20,0.2,0.02,66,0.718947569770497,0.2753563502066412,-0.22443897815841307,0.08775137002611144,0.16602228131449714,1.6027208707637648,0.15126110314987332,0.1212043405539938,0.16793667185646827,43.878787878787875,52.06060606060606
test,industry_proxy,30,0.0,0.0,66,0.39487969557830715,0.1960326941285551,-0.20870242890473512,-0.12428410355299713,-0.06199252142683942,1.2893814924729938,0.17478172133392472,0.08377155822847193,0.1898109301758837,54.34848484848485,68.07575757575758
test,industry_proxy,30,0.0,0.02,66,0.3969451475768291,0.19709776588286462,-0.20870242890473512,-0.1229815342907381,-0.06066291067550411,1.2868448846238434,0.1742757663873966,0.08313705018982394,0.190644751780384,54.25757575757576,68.04545454545455
test,industry_proxy,30,0.05,0.0,66,0.375662155975935,0.18889089731266748,-0.20897390423076367,-0.13642271888369772,-0.07512352287827251,1.28333685398321,0.17410966304270445,0.07719530129962941,0.18680962961932157,54.15151515151515,67.93939393939394
test,industry_proxy,30,0.05,0.02,66,0.3926430174930351,0.19560977900283477,-0.20813531452871847,-0.12571467193525232,-0.06377267818363042,1.280364763699591,0.17310070286104398,0.07706133042312245,0.1880583985282793,53.878787878787875,67.07575757575758
test,industry_proxy,30,0.1,0.0,66,0.3872167759410039,0.19511709753125667,-0.20712359723148988,-0.1293521772969064,-0.06789457866082316,1.2640694477441068,0.17441981681242735,0.07964302822475687,0.1923818944133075,53.78787878787879,67.18181818181819
test,industry_proxy,30,0.1,0.02,66,0.39240754371295195,0.19684565269398743,-0.20758431349927808,-0.12594880836967448,-0.06423658417129008,1.2592210907195929,0.17438784426484819,0.07950888451767747,0.19350585917154445,53.86363636363637,67.3030303030303
test,industry_proxy,30,0.2,0.0,66,0.3970598306459894,0.19875514014067044,-0.205991740348474,-0.12290193546207595,-0.06110769098151514,1.2586274153075638,0.1735644973044672,0.08281360639051262,0.19213673331409478,53.74242424242424,66.72727272727273
test,industry_proxy,30,0.2,0.02,66,0.39502964208852975,0.19775270497165975,-0.206320631313461,-0.12417082130110468,-0.06244056123405051,1.2551368709462845,0.17297585270155028,0.0832863890585953,0.19409944548018998,53.63636363636363,66.65151515151516
test,industry_size,10,0.0,0.0,66,1.4327701518288065,0.33449211438503634,-0.23563799093023707,0.5425915701933062,0.6556720019334483,1.8348337352809863,0.08862869148335481,0.18921362997267457,0.21268012829004654,23.545454545454547,27.606060606060606
test,industry_size,10,0.0,0.02,66,1.406985471954719,0.3310866063666024,-0.23563799093023707,0.5253132984583944,0.6375112584270952,1.8339770478092854,0.08802678474666499,0.18887497283979923,0.2120061180568712,23.575757575757574,27.636363636363637
test,industry_size,10,0.05,0.0,66,1.443868249071853,0.33442292822710984,-0.23563799093023707,0.5507047583816573,0.6638653738599414,1.8395416121601436,0.08851339638378183,0.19236341213444277,0.21460264068420534,23.515151515151516,27.560606060606062
test,industry_size,10,0.05,0.02,66,1.4447864696729802,0.33454677504391134,-0.23563799093023707,0.5512908417630205,0.6645237888823703,1.8390080623577392,0.0885561367330579,0.19251983403874226,0.21494628765690527,23.53030303030303,27.575757575757574
test,industry_size,10,0.1,0.0,66,1.4438392704948235,0.33450173352682017,-0.23563799093023707,0.5506686746400313,0.6638594899802843,1.8422470394205357,0.08843688950618672,0.19237269787177366,0.21452700535901004,23.545454545454547,27.59090909090909
