split,risk_control,k,style_penalty,turnover_penalty,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z,avg_partial_fill_count,avg_position_count
test,industry_proxy,10,0.0,0.0,66,0.6898193315254879,0.2589827716767468,-0.19757079952382273,0.07226761221070443,0.18130216341824923,1.7653710062374455,0.14468327005295215,0.3487671905909474,0.40592989449298744,23.242424242424242,25.242424242424242
test,industry_proxy,10,0.0,0.02,66,0.6897198214796116,0.25895744237883683,-0.19757079952382273,0.0722000154966782,0.1812293469292645,1.7653405088844236,0.14463304755999426,0.3487528918514827,0.4059464366804639,23.242424242424242,25.242424242424242
test,industry_proxy,10,0.05,0.0,66,0.6893354155670701,0.2588477409517133,-0.19757079952382273,0.07196070182807723,0.18095590905576997,1.7684009758406536,0.14493871417382295,0.3486862335049187,0.40586198242211835,23.303030303030305,25.303030303030305
test,industry_proxy,10,0.05,0.02,66,0.7083955481592468,0.2620226627062909,-0.19757079952382273,0.08497373441097378,0.19501570582696548,1.766872631512642,0.14545774929336222,0.34766275802186836,0.4063723220084436,23.28787878787879,25.303030303030305
test,industry_proxy,10,0.1,0.0,66,0.7104467380863668,0.2622338606950791,-0.19757079952382273,0.08634671790733406,0.19651972387154348,1.769402597925418,0.1464483280595147,0.34785431915495596,0.4066653401768085,23.242424242424242,25.257575757575758
test,industry_proxy,10,0.1,0.02,66,0.7105837052895574,0.2622639965997181,-0.19757079952382273,0.08643584828189521,0.19661873876495295,1.7663329676956268,0.14624725948573097,0.3479447699727521,0.40675951461486365,23.21212121212121,25.227272727272727
test,industry_proxy,10,0.2,0.0,66,0.6982839791569522,0.25791159832666205,-0.19808103719424297,0.07883713620273602,0.188198012105266,1.777520651726326,0.14907093081988274,0.35601855004317046,0.412516718250366,23.393939393939394,25.424242424242426
test,industry_proxy,10,0.2,0.02,66,0.7133599736743104,0.2615589814843991,-0.19808103719424297,0.08907790435216612,0.199146198185286,1.7735698281995491,0.15093147922344588,0.35485508402116167,0.41118464926759307,23.318181818181817,25.37878787878788
test,industry_proxy,30,0.0,0.0,66,0.5420458208788876,0.25514998885042744,-0.19071697876852534,-0.02483947705022127,0.07840792681894726,1.3438902915088042,0.22005334143911576,0.2528662215311013,0.29282589708594414,53.31818181818182,64.5909090909091
test,industry_proxy,30,0.0,0.02,66,0.5252612382587936,0.2504415944422974,-0.19071697876852534,-0.03608471577954542,0.06611739209553202,1.338187765549234,0.21705812396818733,0.25104564985237915,0.2926808323491774,53.27272727272727,64.51515151515152
