code,price
300001.SZ,37.83
300002.SZ,8.1
300003.SZ,12.67
300004.SZ,13.55
300005.SZ,14.95
300006.SZ,5.26
300007.SZ,41.59
300008.SZ,6.62
300009.SZ,8.35
300011.SZ,6.58
300012.SZ,14.42
300013.SZ,4.72
300014.SZ,64.99
300015.SZ,9.2
300016.SZ,8.3
300017.SZ,15.1
300018.SZ,12.99
300019.SZ,17.69
300020.SZ,3.57
300021.SZ,4.08
300022.SZ,8.46
300024.SZ,14.92
300025.SZ,5.1
300026.SZ,3.29
300030.SZ,7.09
300031.SZ,24.51
300032.SZ,4.46
300033.SZ,228.87
300034.SZ,18.38
300035.SZ,16.89
300036.SZ,13.25
300037.SZ,70.96
300039.SZ,5.4
300040.SZ,7.97
300041.SZ,14.01
300042.SZ,57.17
300043.SZ,4.91
300045.SZ,18.69
300046.SZ,31.19
300047.SZ,12.24
300048.SZ,5.92
300049.SZ,45.31
300050.SZ,7.21
300051.SZ,11.41
300053.SZ,15.6
300054.SZ,65.82
300055.SZ,8.77
300056.SZ,9.9
300057.SZ,8.84
300058.SZ,17.96
300059.SZ,18.97
300061.SZ,9.63
300062.SZ,7.18
300063.SZ,11.1
300065.SZ,20.27
300066.SZ,5.38
300070.SZ,3.59
300071.SZ,4.56
300072.SZ,3.94
300073.SZ,55.48
300074.SZ,4.23
300075.SZ,12.96
300077.SZ,22.65
300078.SZ,3.4
300079.SZ,5.21
300080.SZ,4.13
300082.SZ,9.78
300083.SZ,9.98
300084.SZ,11.76
300085.SZ,41.6
300086.SZ,6.76
300087.SZ,7.74
300088.SZ,7.16
300091.SZ,2.97
300092.SZ,14.09
300093.SZ,23.6
300094.SZ,3.05
300095.SZ,9.08
300096.SZ,9.0
300098.SZ,5.39
300099.SZ,7.73
300100.SZ,30.16
300101.SZ,17.11
300102.SZ,24.23
300103.SZ,9.58
300105.SZ,6.33
300106.SZ,13.81
300107.SZ,6.58
300109.SZ,17.48
300110.SZ,2.87
300111.SZ,3.4
300112.SZ,7.25
300113.SZ,21.95
300115.SZ,32.82
300118.SZ,13.82
300119.SZ,16.49
300120.SZ,8.54
300121.SZ,11.35
300122.SZ,13.7
300124.SZ,74.5
300125.SZ,10.6
300126.SZ,7.05
300127.SZ,28.23
300128.SZ,8.09
300129.SZ,10.6
300130.SZ,24.06
300131.SZ,16.79
300132.SZ,7.67
300133.SZ,8.36
300134.SZ,10.05
300135.SZ,3.61
300136.SZ,91.53
300137.SZ,18.61
300138.SZ,10.62
300139.SZ,43.61
300140.SZ,6.18
300141.SZ,11.52
300143.SZ,10.29
300144.SZ,6.81
300145.SZ,4.54
300146.SZ,10.08
300148.SZ,3.7
300149.SZ,8.63
300150.SZ,4.46
300151.SZ,23.01
300153.SZ,26.4
300154.SZ,9.47
300155.SZ,4.98
300157.SZ,4.68
300158.SZ,5.12
300159.SZ,3.92
300160.SZ,5.02
300161.SZ,32.08
300162.SZ,9.65
300163.SZ,6.2
300164.SZ,10.1
300166.SZ,16.55
300167.SZ,5.34
300168.SZ,5.43
300169.SZ,5.76
300170.SZ,20.2
300171.SZ,11.84
300172.SZ,4.93
300173.SZ,3.95
300174.SZ,27.39
300175.SZ,6.41
300176.SZ,6.19
300177.SZ,7.43
300179.SZ,44.85
300180.SZ,5.11
300181.SZ,14.19
300182.SZ,6.13
300183.SZ,12.32
300184.SZ,15.86
300185.SZ,2.84
300187.SZ,6.0
300188.SZ,11.36
300189.SZ,5.24
300190.SZ,4.21
300191.SZ,32.9
300192.SZ,16.93
300193.SZ,7.87
300194.SZ,3.9
300195.SZ,6.1
300196.SZ,26.42
300197.SZ,1.93
300199.SZ,22.19
300200.SZ,9.36
300201.SZ,19.39
300203.SZ,12.34
300204.SZ,24.75
300205.SZ,5.99
300206.SZ,13.56
300207.SZ,22.81
300209.SZ,26.5
300210.SZ,11.6
300211.SZ,8.65
300213.SZ,7.62
300214.SZ,7.74
300215.SZ,7.78
300217.SZ,5.16
300218.SZ,13.66
300219.SZ,8.03
300220.SZ,12.91
300221.SZ,13.38
300222.SZ,16.27
300223.SZ,144.11
300224.SZ,12.18
300225.SZ,9.08
300226.SZ,22.17
300227.SZ,11.01
300228.SZ,8.5
300229.SZ,17.37
300230.SZ,4.98
300231.SZ,9.4
300232.SZ,5.92
300233.SZ,13.44
300234.SZ,8.42
300235.SZ,13.65
300236.SZ,89.81
300237.SZ,2.31
300238.SZ,12.0
300239.SZ,5.4
300240.SZ,6.18
300241.SZ,7.43
300242.SZ,5.15
300243.SZ,18.63
300244.SZ,18.19
300246.SZ,16.72
300247.SZ,4.26
300248.SZ,8.97
300249.SZ,14.9
300250.SZ,17.08
300251.SZ,12.9
300252.SZ,14.13
300253.SZ,8.15
300254.SZ,10.75
300255.SZ,39.2
300256.SZ,3.15
300257.SZ,28.71
300258.SZ,12.69
300259.SZ,6.17
300260.SZ,54.25
300261.SZ,5.17
300263.SZ,11.68
300264.SZ,8.8
300265.SZ,23.71
300266.SZ,2.14
300267.SZ,3.77
300269.SZ,5.46
300270.SZ,12.57
300271.SZ,5.77
