split,mode,k,period_count,cumulative_return,benchmark_cumulative_return,excess_cumulative_return,annualized_return,annualized_vol,sharpe_like,max_drawdown,win_rate,mean_daily_return,mean_excess_return,avg_turnover,avg_transaction_cost,avg_position_count
test,full_topk,10,311,0.10031034341229139,0.8946112921029408,-0.7943009486906494,0.08053620319912991,0.22960212887361028,0.3507641832165367,-0.1547989895216081,0.5241157556270096,0.00041330489363317763,-0.0018076124555077395,0.16905188636676766,0.0002535778295501515,10.0
test,full_topk,20,311,0.2128035522373508,0.8946112921029408,-0.68180773986559,0.16921538380600887,0.23374549431393757,0.7239300346843907,-0.16817010258187237,0.5305466237942122,0.0007308236638917665,-0.0014900936852491507,0.12610127160616574,0.00018915190740924858,20.0
test,full_topk,30,311,0.3301859790924946,0.8946112921029408,-0.5644253130104462,0.26009960431783696,0.2434469495697479,1.0684036287064589,-0.17076769797746094,0.5209003215434084,0.0010370761662624132,-0.001183841182878504,0.09487421397841385,0.00014231132096762078,30.0
