split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,portfolio_nav,participation_cap,turnover_cap,exposure_cap,exposure_slack_penalty,buy_capacity_slack_penalty,cash_penalty,min_invested_shortfall_penalty,single_name_cap,min_invested,optimizer_status,solver_message,fallback_used,invested_weight,cash_weight,desired_turnover,filled_turnover,filled_desired_ratio,buy_turnover,sell_turnover,position_count,max_abs_exposure_z,avg_abs_exposure_z,max_exposure_slack,avg_exposure_slack,total_exposure_slack,buy_capacity_slack,min_invested_shortfall,min_invested_rule_ok,objective_value
test,20250205,none,20,0.0,0.0,0.05264930562240532,0.05144930565373757,0.062453273221866556,0.07052425095655465,-0.011003967568128985,-0.01907494530281708,0.0011999999686677471,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997571318,0.20000000024286824,0.7999999997571317,0.7999999791118314,0.9999999741933747,0.7999999791118314,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073994198819,0.0,1.0,-413.6556860153793
test,20250205,none,20,0.0,0.02,0.05264933145653821,0.05144933148801308,0.062453273221866556,0.07052425095655465,-0.011003941733853474,-0.01907491946854157,0.0011999999685251292,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997560293,0.2000000002439707,0.7999999997560291,0.7999999790167528,0.9999999740759046,0.7999999790167528,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073992311332,0.0,1.0,-413.67168588246386
test,20250205,none,20,0.05,0.0,0.05264930562240532,0.05144930565373757,0.062453273221866556,0.07052425095655465,-0.011003967568128985,-0.01907494530281708,0.0011999999686677471,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997571318,0.20000000024286824,0.7999999997571317,0.7999999791118314,0.9999999741933747,0.7999999791118314,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073994198819,0.0,1.0,-413.6556860153793
test,20250205,none,20,0.05,0.02,0.05264933145653821,0.05144933148801308,0.062453273221866556,0.07052425095655465,-0.011003941733853474,-0.01907491946854157,0.0011999999685251292,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997560293,0.2000000002439707,0.7999999997560291,0.7999999790167528,0.9999999740759046,0.7999999790167528,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073992311332,0.0,1.0,-413.67168588246386
test,20250205,none,20,0.1,0.0,0.05264930562240532,0.05144930565373757,0.062453273221866556,0.07052425095655465,-0.011003967568128985,-0.01907494530281708,0.0011999999686677471,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997571318,0.20000000024286824,0.7999999997571317,0.7999999791118314,0.9999999741933747,0.7999999791118314,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073994198819,0.0,1.0,-413.6556860153793
test,20250205,none,20,0.1,0.02,0.05264933145653821,0.05144933148801308,0.062453273221866556,0.07052425095655465,-0.011003941733853474,-0.01907491946854157,0.0011999999685251292,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997560293,0.2000000002439707,0.7999999997560291,0.7999999790167528,0.9999999740759046,0.7999999790167528,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073992311332,0.0,1.0,-413.67168588246386
test,20250205,none,20,0.2,0.0,0.05264930562240532,0.05144930565373757,0.062453273221866556,0.07052425095655465,-0.011003967568128985,-0.01907494530281708,0.0011999999686677471,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997571318,0.20000000024286824,0.7999999997571317,0.7999999791118314,0.9999999741933747,0.7999999791118314,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073994198819,0.0,1.0,-413.6556860153793
test,20250205,none,20,0.2,0.02,0.05264933145653821,0.05144933148801308,0.062453273221866556,0.07052425095655465,-0.011003941733853474,-0.01907491946854157,0.0011999999685251292,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997560293,0.2000000002439707,0.7999999997560291,0.7999999790167528,0.9999999740759046,0.7999999790167528,0.0,85,0.0,0.0,0.0,0.0,0.0,0.4142073992311332,0.0,1.0,-413.67168588246386
test,20250205,industry_proxy,20,0.0,0.0,0.05237555733424493,0.05117555733607,0.062453273221866556,0.07052425095655465,-0.011277715885796555,-0.01934869362048465,0.0011999999981749244,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999919396,0.2000000000080604,0.7999999999919398,0.799999998783283,0.999999998489179,0.799999998783283,0.0,85,0.3499998387961992,0.29396638716274825,4.110589350999067e-10,4.108371198475774e-10,1.6433484793903095e-09,0.41420743852867403,0.0,1.0,-413.68928244080837
test,20250205,industry_proxy,20,0.0,0.02,0.05237555733812972,0.05117555733995456,0.062453273221866556,0.07052425095655465,-0.011277715881911995,-0.01934869361660009,0.0011999999981751604,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999919406,0.2000000000080594,0.7999999999919407,0.7999999987834402,0.9999999984893744,0.7999999987834402,0.0,85,0.34999983881418173,0.29396638882954956,4.1101225112738855e-10,4.107904628141139e-10,1.6431618512564556e-09,0.41420743852900693,0.0,1.0,-413.7052824410527
test,20250205,industry_proxy,20,0.05,0.0,0.05232820883999957,0.05112820884514755,0.062453273221866556,0.07052425095655465,-0.011325064376719006,-0.0193960421114071,0.00119999999485202,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999771279,0.2000000000228721,0.799999999977128,0.7999999965680133,0.9999999957386067,0.7999999965680133,0.0,85,3.20897336075765e-06,1.1029443147715645e-06,1.1253929754765496e-09,1.1253326672471226e-09,4.5013306689884906e-09,0.4142074341128845,0.0,1.0,-413.7067421411301
test,20250205,industry_proxy,20,0.05,0.02,0.05232821462694838,0.05112821463208773,0.062453273221866556,0.07052425095655465,-0.011325058589778829,-0.019396036324466924,0.0011999999948606528,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999771662,0.2000000000228338,0.7999999999771663,0.7999999965737685,0.9999999957457527,0.7999999965737685,0.0,85,3.2039136539374624e-06,1.1011929033771795e-06,1.1235225438081263e-09,1.12346252900124e-09,4.49385011600496e-09,0.4142074341244092,0.0,1.0,-413.72274215003944
test,20250205,industry_proxy,20,0.1,0.0,0.0523250037916286,0.05112500381637736,0.062453273221866556,0.07052425095655465,-0.0113282694054892,-0.019399247140177295,0.0011999999752512391,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999998900827,0.20000000010991725,0.7999999998900825,0.7999999835008261,0.9999999795134294,0.7999999835008261,0.0,85,1.5527828594597004e-06,5.632707695060746e-07,5.412172779886931e-09,5.412108168086019e-09,2.1648432672344077e-08,0.41420740806712947,0.0,1.0,-413.70672233881965
test,20250205,industry_proxy,20,0.1,0.02,0.05232500270698308,0.05112500273172375,0.062453273221866556,0.07052425095655465,-0.01132827049014281,-0.019399248224830905,0.0011999999752593314,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999998901199,0.20000000010988006,0.7999999998901199,0.7999999835062209,0.9999999795201262,0.7999999835062209,0.0,85,1.5523266678751924e-06,5.631109239838394e-07,5.410488098375103e-09,5.410423651041376e-09,2.1641694604165504e-08,0.41420740807813394,0.0,1.0,-413.7227223470347
test,20250205,industry_proxy,20,0.2,0.0,0.05232855984450896,0.051128559910737816,0.062453273221866556,0.07052425095655465,-0.011324713311128741,-0.019395691045816836,0.0011999999337711413,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.799999999705801,0.20000000029419895,0.7999999997058013,0.7999999558474276,0.9999999451770328,0.7999999558474276,0.0,85,9.441701752099796e-07,4.0209361105991714e-07,1.4477266825238141e-08,1.4477257262983117e-08,5.790902905193247e-08,0.41420735294439565,0.0,1.0,-413.7066816529406
test,20250205,industry_proxy,20,0.2,0.02,0.05232854813553377,0.05112854820160833,0.062453273221866556,0.07052425095655465,-0.011324725020258226,-0.01939570275494632,0.0011999999339254357,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997064883,0.20000000029351173,0.7999999997064887,0.7999999559502904,0.9999999453047521,0.7999999559502904,0.0,85,9.419724631976045e-07,4.0117219046384434e-07,1.444377058792979e-08,1.4443761007863588e-08,5.777504403145435e-08,0.4142073531501079,0.0,1.0,-413.7226818044444
test,20250205,industry_size,20,0.0,0.0,0.06410075223052146,0.0628706378090871,0.062453273221866556,0.07052425095655465,0.0004173645872205395,-0.007653613147467556,0.0012301144214343662,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.799999999895211,0.20000000010478902,0.7999999991065411,0.8200762809562441,1.0250953523401558,0.8100381315924572,0.010038149363786886,84,0.6433707732327393,0.39889432472889946,0.2933707776069221,0.0488951359344563,0.29337081560673783,0.4351351735976603,0.0,1.0,-442.5485652221752
test,20250205,industry_size,20,0.0,0.02,0.06410076873067373,0.06290073958596148,0.062453273221866556,0.07052425095655465,0.00044746636409492835,-0.007623511370593167,0.0012000291447122405,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999998638744,0.20000000013612562,0.7999999988726538,0.8000194298081603,1.0000242886694173,0.8000097033602643,9.726447895934498e-06,84,0.6433708344673625,0.39889417300941243,0.2933708401662942,0.048895148259730514,0.2933708895583831,0.43513516448648826,0.0,1.0,-442.56455834421877
test,20250205,industry_size,20,0.05,0.0,0.06415992711792547,0.0629298070888496,0.062453273221866556,0.07052425095655465,0.0004765338669830421,-0.007594443867705053,0.0012301200290758733,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999661311,0.20000000003386886,0.799999999703692,0.8200800193839156,1.0251000246095763,0.8100400068410195,0.01004001254289615,84,0.6435988764806266,0.3985209006164148,0.29359887782624544,0.04893314826613385,0.2935988895968031,0.4351295490368967,0.0,1.0,-442.6681746952162
test,20250205,industry_size,20,0.05,0.02,0.06415953627458754,0.06295946808503385,0.062453273221866556,0.07052425095655465,0.0005061948631672891,-0.007564782871520806,0.0012000681895536919,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999996417868,0.2000000003582132,0.7999999971538635,0.8000454597024612,1.0000568281859494,0.8000226997555433,2.2759946917951033e-05,84,0.6435973292311659,0.3985229119232092,0.29359734343171895,0.04893291123922334,0.29359746743534004,0.4351295085433416,0.0,1.0,-442.6841018305282
test,20250205,industry_size,20,0.1,0.0,0.06415981925733327,0.06292961120947885,0.062453273221866556,0.07052425095655465,0.00047633798761229085,-0.007594639747075804,0.001230208047854428,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997911423,0.20000000020885766,0.799999998342637,0.8201386985696187,1.025173375335879,0.810069331758024,0.010069366811594798,84,0.6435984062556979,0.39852126540066424,0.2935984144849763,0.04893308105579624,0.2935984863347774,0.4351295181926544,0.0,1.0,-442.78769112668004
test,20250205,industry_size,20,0.1,0.02,0.06415980964028585,0.06295975898976482,0.062453273221866556,0.07052425095655465,0.0005064857678982598,-0.007564491966789835,0.0012000506505210349,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999997310062,0.20000000026899378,0.7999999978770281,0.8000337670140232,1.0000422114213559,0.8000168609408425,1.6906073180750106e-05,84,0.643598354054006,0.3985212202432797,0.2935983646463124,0.048933076190537474,0.29359845714322486,0.4351295049179213,0.0,1.0,-442.80367805489516
