split,trade_date,style_set,k,exposure_cap,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,constraint_reject_count,used_fallback,max_abs_target_exposure_z,avg_abs_target_exposure_z,target_count,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count
test,20250102,industry_proxy,10,0.15,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.13246048798713386,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_proxy,10,0.25,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.13246048798713386,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_proxy,10,0.35,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.13246048798713386,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_proxy,10,0.5,0.02461754425052978,0.024594402959831778,-0.025088410239999304,-0.019141809913104164,0.04968281319983108,0.04373621287293594,2.3141290698e-05,59,False,0.36289933063524993,0.171392936188557,10,0.9999999999999999,0.015427527132000001,0,0,10,10
test,20250102,industry_proxy,30,0.15,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11429380887154984,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,industry_proxy,30,0.25,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11429380887154984,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,industry_proxy,30,0.35,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11429380887154984,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,industry_proxy,30,0.5,-0.011666738618187147,-0.011757981053544147,-0.025088410239999304,-0.019141809913104164,0.013330429186455156,0.007383828859560017,9.124243535699997e-05,59,False,0.25257086135214923,0.17469694472815733,30,0.9999999999999999,0.06082829023799998,0,0,30,30
test,20250102,industry_size,10,0.15,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.11182718033111116,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_size,10,0.25,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.11182718033111116,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_size,10,0.35,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.11182718033111116,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_size,10,0.5,-0.01454638555342143,-0.01457587133906193,-0.025088410239999304,-0.019141809913104164,0.010512538900937373,0.004565938574042234,2.9485785640500006e-05,80,True,0.19727152796729558,0.11182718033111116,10,0.9999999999999999,0.019657190427000003,0,0,10,10
test,20250102,industry_size,30,0.15,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11494027316442368,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,industry_size,30,0.25,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11494027316442368,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,industry_size,30,0.35,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11494027316442368,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,industry_size,30,0.5,-0.03135274903224392,-0.03148614060849892,-0.025088410239999304,-0.019141809913104164,-0.006397730368499617,-0.012344330695394756,0.000133391576255,90,True,0.33029050860676795,0.11494027316442368,30,0.9999999999999999,0.08892771750333332,0,0,29,30
test,20250102,full_style,10,0.15,-0.01176009043460259,-0.011793282493989091,-0.025088410239999304,-0.019141809913104164,0.013295127746010212,0.007348527419115073,3.31920593865e-05,80,True,0.41858524064247427,0.1801771416060896,10,0.9999999999999999,0.022128039591,0,0,10,10
test,20250102,full_style,10,0.25,-0.01176009043460259,-0.011793282493989091,-0.025088410239999304,-0.019141809913104164,0.013295127746010212,0.007348527419115073,3.31920593865e-05,80,True,0.41858524064247427,0.1801771416060896,10,0.9999999999999999,0.022128039591,0,0,10,10
test,20250102,full_style,10,0.35,-0.01176009043460259,-0.011793282493989091,-0.025088410239999304,-0.019141809913104164,0.013295127746010212,0.007348527419115073,3.31920593865e-05,80,True,0.41858524064247427,0.1801771416060896,10,0.9999999999999999,0.022128039591,0,0,10,10
test,20250102,full_style,10,0.5,-0.01176009043460259,-0.011793282493989091,-0.025088410239999304,-0.019141809913104164,0.013295127746010212,0.007348527419115073,3.31920593865e-05,80,True,0.41858524064247427,0.1801771416060896,10,0.9999999999999999,0.022128039591,0,0,10,10
test,20250102,full_style,30,0.15,-0.03104625629270084,-0.03118191480390034,-0.025088410239999304,-0.019141809913104164,-0.0060935045639010366,-0.012040104890796176,0.00013565851119949997,90,True,0.33029050860676795,0.11164966195786118,30,0.9999999999999999,0.09043900746633332,0,0,29,30
test,20250102,full_style,30,0.25,-0.03104625629270084,-0.03118191480390034,-0.025088410239999304,-0.019141809913104164,-0.0060935045639010366,-0.012040104890796176,0.00013565851119949997,90,True,0.33029050860676795,0.11164966195786118,30,0.9999999999999999,0.09043900746633332,0,0,29,30
test,20250102,full_style,30,0.35,-0.03104625629270084,-0.03118191480390034,-0.025088410239999304,-0.019141809913104164,-0.0060935045639010366,-0.012040104890796176,0.00013565851119949997,90,True,0.33029050860676795,0.11164966195786118,30,0.9999999999999999,0.09043900746633332,0,0,29,30
test,20250102,full_style,30,0.5,-0.03104625629270084,-0.03118191480390034,-0.025088410239999304,-0.019141809913104164,-0.0060935045639010366,-0.012040104890796176,0.00013565851119949997,90,True,0.33029050860676795,0.11164966195786118,30,0.9999999999999999,0.09043900746633332,0,0,29,30
test,20250109,industry_proxy,10,0.15,0.01939694807146289,0.01934463207597089,0.022325852692530734,0.02298160973493929,-0.0029812206165598445,-0.0036369776589684003,5.2315995492000014e-05,80,True,0.48195708459594994,0.15886128794601007,10,1.9868104776741704,0.03487733032800001,0,0,19,19
test,20250109,industry_proxy,10,0.25,0.01939694807146289,0.01934463207597089,0.022325852692530734,0.02298160973493929,-0.0029812206165598445,-0.0036369776589684003,5.2315995492000014e-05,80,True,0.48195708459594994,0.15886128794601007,10,1.9868104776741704,0.03487733032800001,0,0,19,19
test,20250109,industry_proxy,10,0.35,0.01939694807146289,0.01934463207597089,0.022325852692530734,0.02298160973493929,-0.0029812206165598445,-0.0036369776589684003,5.2315995492000014e-05,80,True,0.48195708459594994,0.15886128794601007,10,1.9868104776741704,0.03487733032800001,0,0,19,19
test,20250109,industry_proxy,10,0.5,-0.0028368378010129973,-0.002898001432093997,0.022325852692530734,0.02298160973493929,-0.02522385412462473,-0.025879611167033287,6.116363108100001e-05,80,True,0.48195708459594994,0.15886128794601007,10,2.0,0.040775754054,0,0,20,20
test,20250109,industry_proxy,30,0.15,0.04233164161332763,0.04217183969643613,0.022325852692530734,0.02298160973493929,0.019845987003905392,0.019190229961496837,0.00015980191689149995,90,True,0.17671697542512574,0.12809071878827655,30,1.5885202449385625,0.10653461126099997,0,0,45,45
test,20250109,industry_proxy,30,0.25,0.04233164161332763,0.04217183969643613,0.022325852692530734,0.02298160973493929,0.019845987003905392,0.019190229961496837,0.00015980191689149995,90,True,0.17671697542512574,0.12809071878827655,30,1.5885202449385625,0.10653461126099997,0,0,45,45
test,20250109,industry_proxy,30,0.35,0.04233164161332763,0.04217183969643613,0.022325852692530734,0.02298160973493929,0.019845987003905392,0.019190229961496837,0.00015980191689149995,90,True,0.17671697542512574,0.12809071878827655,30,1.5885202449385625,0.10653461126099997,0,0,45,45
test,20250109,industry_proxy,30,0.5,0.025008328226244228,0.02481536702140073,0.022325852692530734,0.02298160973493929,0.0024895143288699954,0.0018337572864614397,0.00019296120484349995,90,True,0.17671697542512574,0.12809071878827655,30,1.8332670484158367,0.12864080322899996,0,0,57,57
test,20250109,industry_size,10,0.15,0.01939694807146289,0.01934463207597089,0.022325852692530734,0.02298160973493929,-0.0029812206165598445,-0.0036369776589684003,5.2315995492000014e-05,80,True,0.48195708459594994,0.19541920535472815,10,1.9868104776741704,0.03487733032800001,0,0,19,19
test,20250109,industry_size,10,0.25,0.01939694807146289,0.01934463207597089,0.022325852692530734,0.02298160973493929,-0.0029812206165598445,-0.0036369776589684003,5.2315995492000014e-05,80,True,0.48195708459594994,0.19541920535472815,10,1.9868104776741704,0.03487733032800001,0,0,19,19
test,20250109,industry_size,10,0.35,0.01939694807146289,0.01934463207597089,0.022325852692530734,0.02298160973493929,-0.0029812206165598445,-0.0036369776589684003,5.2315995492000014e-05,80,True,0.48195708459594994,0.19541920535472815,10,1.9868104776741704,0.03487733032800001,0,0,19,19
