split,style_set,candidate_count,exposure_cap,min_invested,turnover_cap,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,solver_success_rate,avg_invested_weight,avg_cash_weight,avg_turnover,avg_max_abs_exposure_z,avg_abs_exposure_z,avg_nonzero_names
test,full_style,80,0.15,0.0,0.3,66,0.28214305727189926,0.2409827626524183,-0.09667124956242468,-0.21598910606592014,-0.12988033938004373,1.0,0.5782015754754871,0.4217984245245129,0.20231374406513192,0.15000000000000002,0.08209100284248518,58.10606060606061
test,full_style,80,0.15,0.0,0.6,66,0.3095482220369281,0.2593084834878318,-0.08921509094780355,-0.19898065120202302,-0.1110863139999092,1.0,0.5734238441752766,0.4265761558247234,0.21509203061583862,0.15000000000000002,0.08274847863041522,58.03030303030303
test,full_style,80,0.15,0.0,1.0,66,0.3095482220369281,0.2593084834878318,-0.08921509094780355,-0.19898065120202302,-0.1110863139999092,1.0,0.5734238441752766,0.4265761558247234,0.21509203061583862,0.15000000000000002,0.08274847863041522,58.03030303030303
test,full_style,80,0.15,0.2,0.3,66,0.28064623021199697,0.24160665802525505,-0.09526162171328945,-0.217541652911439,-0.1317973036252048,0.9393939393939394,0.5642352083269555,0.4357647916730446,0.19776246848317738,0.15000000000000005,0.08191702319386295,59.354838709677416
test,full_style,80,0.15,0.2,0.6,66,0.29580145868909025,0.25020523233644376,-0.09078137389974761,-0.20806117910068633,-0.12124737014689568,0.9393939393939394,0.5635053557091113,0.43649464429088863,0.20846169891814323,0.15000000000000002,0.08219846227079347,59.29032258064516
test,full_style,80,0.15,0.2,1.0,66,0.29580145868909025,0.25020523233644376,-0.09078137389974761,-0.20806117910068633,-0.12124737014689568,0.9393939393939394,0.5635053557091113,0.43649464429088863,0.20846169891814323,0.15000000000000002,0.08219846227079347,59.29032258064516
test,full_style,80,0.15,0.4,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.4,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.4,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.0,0.3,66,0.34677696970546035,0.2581206268365892,-0.10325631016943837,-0.1720503102966412,-0.0819735346420184,1.0,0.6209673734995871,0.3790326265004128,0.2125636554133378,0.24719826238698606,0.13668284615177553,57.72727272727273
test,full_style,80,0.25,0.0,0.6,66,0.3591606610684701,0.2625254435696457,-0.10405479599689516,-0.16403955795959002,-0.07320490635679477,1.0,0.6233937348264806,0.3766062651735195,0.22983768847720912,0.24665226156462333,0.13740346977135098,57.77272727272727
test,full_style,80,0.25,0.0,1.0,66,0.3591606610684701,0.2625254435696457,-0.10405479599689516,-0.16403955795959002,-0.07320490635679477,1.0,0.6233937348264806,0.3766062651735195,0.22983768847720912,0.24665226156462333,0.13740346977135098,57.77272727272727
test,full_style,80,0.25,0.2,0.3,66,0.3530277897674905,0.2621306393991176,-0.10273337551126116,-0.1681860703401421,-0.07776593219259109,0.9696969696969697,0.6168205812561883,0.3831794187438117,0.211226733334564,0.24947125828755268,0.13791511438649243,58.609375
test,full_style,80,0.25,0.2,0.6,66,0.37067417691010274,0.269070280341816,-0.10481786118988201,-0.15697372227990591,-0.06535959443190165,0.9696969696969697,0.6209478588784826,0.37905214112151747,0.22758859700158063,0.24883404044803462,0.13864902386314412,58.640625
test,full_style,80,0.25,0.2,1.0,66,0.37067417691010274,0.269070280341816,-0.10481786118988201,-0.15697372227990591,-0.06535959443190165,0.9696969696969697,0.6209478588784826,0.37905214112151747,0.22758859700158063,0.24883404044803462,0.13864902386314412,58.640625
test,full_style,80,0.25,0.4,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.4,0.6,66,0.14142433952972167,0.14621465199275374,-0.09206394246022276,-0.3109162257932252,-0.23516036921831374,0.5303030303030303,0.4084318081888975,0.5915681918111027,0.1592421648699437,0.25,0.14912749184635643,60.57142857142857
test,full_style,80,0.25,0.4,1.0,66,0.14142433952972167,0.14621465199275374,-0.09206394246022276,-0.3109162257932252,-0.23516036921831374,0.5303030303030303,0.4084318081888975,0.5915681918111027,0.1592421648699437,0.25,0.14912749184635643,60.57142857142857
test,full_style,80,0.35,0.0,0.3,66,0.3801571902639629,0.2552894871511105,-0.11604048235998066,-0.14780299037595213,-0.05590719481298412,1.0,0.6614952371990029,0.33850476280099717,0.21934407945938394,0.3328543838435754,0.18866928983732764,58.015151515151516
test,full_style,80,0.35,0.0,0.6,66,0.392493985903587,0.25828478707096736,-0.1134371435330217,-0.13968674593615105,-0.046983295023018234,1.0,0.6621781054929411,0.337821894507059,0.24328203687638242,0.3332299184227705,0.18956540992202933,58.0
test,full_style,80,0.35,0.0,1.0,66,0.392493985903587,0.25828478707096736,-0.1134371435330217,-0.13968674593615105,-0.046983295023018234,1.0,0.6621781054929411,0.337821894507059,0.24328203687638242,0.3332299184227705,0.18956540992202933,58.0
test,full_style,80,0.35,0.2,0.3,66,0.3903466990966056,0.25959447971797894,-0.11645010650898457,-0.1412137490559422,-0.0486636012828614,0.9696969696969697,0.6590646689752795,0.3409353310247204,0.21807999932335112,0.33776850034909434,0.19255305315409202,58.953125
test,full_style,80,0.35,0.2,0.6,66,0.40393502200478304,0.26382447945183674,-0.1138799842247562,-0.13243505645351106,-0.03895812762746542,0.9696969696969697,0.6597583384925239,0.34024166150747615,0.24157554662598382,0.33792273287880326,0.1931047992270015,58.84375
test,full_style,80,0.35,0.2,1.0,66,0.40393502200478304,0.26382447945183674,-0.1138799842247562,-0.13243505645351106,-0.03895812762746542,0.9696969696969697,0.6597583384925239,0.34024166150747615,0.24157554662598382,0.33792273287880326,0.1931047992270015,58.84375
test,full_style,80,0.35,0.4,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.4,0.6,66,0.2176049032139722,0.18691719442406668,-0.10223822263979232,-0.26161351194846216,-0.1810087869514584,0.5454545454545454,0.44310960563730695,0.556890394362693,0.17469441011549935,0.3446616182839496,0.20814581258201206,60.05555555555556
test,full_style,80,0.35,0.4,1.0,66,0.2176049032139722,0.18691719442406668,-0.10223822263979232,-0.26161351194846216,-0.1810087869514584,0.5454545454545454,0.44310960563730695,0.556890394362693,0.17469441011549935,0.3446616182839496,0.20814581258201206,60.05555555555556
test,full_style,80,0.5,0.0,0.3,66,0.39710238392215547,0.24836520390628167,-0.12133169617735395,-0.13410214958032063,-0.04164660795709796,1.0,0.675105908587484,0.3248940914125161,0.22454071383528318,0.42299693679787564,0.24283941727073732,58.04545454545455
test,full_style,80,0.5,0.0,0.6,66,0.4165016943947242,0.25709705407069694,-0.11946773863063642,-0.12189840508700989,-0.028127068262673638,1.0,0.6886750620555322,0.31132493794446786,0.24772424652143038,0.42562693646667615,0.24527215371801603,58.03030303030303
test,full_style,80,0.5,0.0,1.0,66,0.4165016943947242,0.25709705407069694,-0.11946773863063642,-0.12189840508700989,-0.028127068262673638,1.0,0.6886750620555322,0.31132493794446786,0.24772424652143038,0.42562693646667615,0.24527215371801603,58.03030303030303
test,full_style,80,0.5,0.2,0.3,66,0.40471068295700174,0.2517741571018058,-0.12186558671619563,-0.12920515154339773,-0.036273813172487124,0.9696969696969697,0.6729494911252456,0.32705050887475445,0.22272963946259283,0.43009404966149006,0.2476752384600959,58.84375
test,full_style,80,0.5,0.2,0.6,66,0.42416552884075154,0.2604462555751706,-0.11949609336306977,-0.11697188349653576,-0.022718755577564753,0.9696969696969697,0.6863259103773945,0.31367408962260546,0.24599413001769352,0.4327116221935913,0.24997887188849258,58.84375
test,full_style,80,0.5,0.2,1.0,66,0.42416552884075154,0.2604462555751706,-0.11949609336306977,-0.11697188349653576,-0.022718755577564753,0.9696969696969697,0.6863259103773945,0.31367408962260546,0.24599413001769352,0.4327116221935913,0.24997887188849258,58.84375
test,full_style,80,0.5,0.4,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.5,0.4,0.6,66,0.40401151596988116,0.24832386660403663,-0.12261827046738938,-0.1297856198869486,-0.036764476310405136,0.9242424242424242,0.6895913602215162,0.31040863977848376,0.24245873476656488,0.43462326138954294,0.24941458825477364,60.459016393442624
test,full_style,80,0.5,0.4,1.0,66,0.40401151596988116,0.24832386660403663,-0.12261827046738938,-0.1297856198869486,-0.036764476310405136,0.9242424242424242,0.6895913602215162,0.31040863977848376,0.24245873476656488,0.43462326138954294,0.24941458825477364,60.459016393442624
test,full_style,120,0.15,0.0,0.3,66,0.38676512039251887,0.2480763205407529,-0.11587040323744524,-0.14185699473902935,-0.048125904628965044,1.0,0.7776035083947404,0.22239649160525957,0.2187495451740377,0.1490322398317917,0.07744837025675928,67.13636363636364
test,full_style,120,0.15,0.0,0.6,66,0.4043401379296594,0.25726210264279775,-0.11218933770362172,-0.13088546385819877,-0.03593411630187515,1.0,0.7783376785015086,0.2216623214984915,0.23671487229449206,0.14805683658181532,0.07808098466871372,66.78787878787878
test,full_style,120,0.15,0.0,1.0,66,0.4043401379296594,0.25726210264279775,-0.11218933770362172,-0.13088546385819877,-0.03593411630187515,1.0,0.7783376785015086,0.2216623214984915,0.23671487229449206,0.14805683658181532,0.07808098466871372,66.78787878787878
test,full_style,120,0.15,0.2,0.3,66,0.35247943128250414,0.23630526645210467,-0.11773581060722027,-0.16522104285997086,-0.0739862361872754,0.9393939393939394,0.7401986390562443,0.2598013609437558,0.21242605355778868,0.1487831532218971,0.07801567679706842,67.93548387096774
test,full_style,120,0.15,0.2,0.6,66,0.3645004102574292,0.24322892487315295,-0.11358123506148243,-0.1579194391879546,-0.0658256318766739,0.9393939393939394,0.7411669079807411,0.25883309201925886,0.23101891435483682,0.14815015533282264,0.0784734039857381,67.64516129032258
test,full_style,120,0.15,0.2,1.0,66,0.3645004102574292,0.24322892487315295,-0.11358123506148243,-0.1579194391879546,-0.0658256318766739,0.9393939393939394,0.7411669079807411,0.25883309201925886,0.23101891435483682,0.14815015533282264,0.0784734039857381,67.64516129032258
test,full_style,120,0.15,0.4,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.4,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.4,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.0,0.3,66,0.4377859206242831,0.2573318405144529,-0.12466689542696252,-0.10644034888905185,-0.00937560355028133,1.0,0.7990709092309222,0.20092909076907783,0.22959850917365285,0.24197417384743752,0.12986974145127167,67.16666666666667
test,full_style,120,0.25,0.0,0.6,66,0.4483667972454748,0.2617918504486722,-0.12480453934090008,-0.09986721641079699,-0.0019994050025947674,1.0,0.800121135806476,0.19987886419352413,0.25121695491894064,0.2382582519187687,0.1278717755670349,66.21212121212122
test,full_style,120,0.25,0.0,1.0,66,0.4483667972454748,0.2617918504486722,-0.12480453934090008,-0.09986721641079699,-0.0019994050025947674,1.0,0.800121135806476,0.19987886419352413,0.25121695491894064,0.2382582519187687,0.1278717755670349,66.21212121212122
test,full_style,120,0.25,0.2,0.3,66,0.4382843060094255,0.25759207824658026,-0.12502281730992781,-0.10599470377904929,-0.008866597470346349,1.0,0.8016949223234747,0.19830507767652522,0.23020080245787464,0.24208212009610963,0.13024231025589547,67.98484848484848
test,full_style,120,0.25,0.2,0.6,66,0.4509387637251314,0.2629770815738058,-0.1247708972794731,-0.09809592047266114,-2.0967735835819568e-05,1.0,0.8027194274428343,0.19728057255716572,0.25235838806523914,0.2389321398694599,0.12874322407714212,67.25757575757575
