run,dropped_feature,split,k,top_mean,bottom_mean,spread,spread_ir,spread_positive_rate,quantile_high_minus_low,base_spread,base_spread_ir,base_quantile_high_minus_low,delta_spread,delta_spread_ir,delta_quantile_high_minus_low
base_alpha18_resid,none,test,10,-0.0012800679230518671,0.003841705364789948,-0.005121773287841815,-0.12386226083005254,0.425531914893617,-0.006118368701457763,-0.005121773287841815,-0.12386226083005254,-0.006118368701457763,0.0,0.0,0.0
base_alpha18_resid,none,test,20,-0.001790059908912042,0.0022183970425936634,-0.0040084569515057055,-0.14126449863529214,0.4194528875379939,-0.006118368701457763,-0.0040084569515057055,-0.14126449863529214,-0.006118368701457763,0.0,0.0,0.0
base_alpha18_resid,none,test,30,-0.002390043566197648,0.0011309869092202935,-0.003521030475417941,-0.15102908029876366,0.44984802431610943,-0.006118368701457763,-0.003521030475417941,-0.15102908029876366,-0.006118368701457763,0.0,0.0,0.0
base_alpha18_resid,none,validation,10,0.0008381916056035055,-0.0019345844354597642,0.0027727760410632698,0.08702633529599382,0.5495867768595041,0.002569485109609762,0.0027727760410632698,0.08702633529599382,0.002569485109609762,0.0,0.0,0.0
base_alpha18_resid,none,validation,20,0.0008055757350481776,-0.0017756887552445545,0.002581264490292732,0.11588670885765907,0.5681818181818182,0.002569485109609762,0.002581264490292732,0.11588670885765907,0.002569485109609762,0.0,0.0,0.0
base_alpha18_resid,none,validation,30,2.7091744560636492e-05,-0.0016604677025479158,0.0016875594471085524,0.09394295443333255,0.5723140495867769,0.002569485109609762,0.0016875594471085524,0.09394295443333255,0.002569485109609762,0.0,0.0,0.0
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,10,-0.0005667005406916786,0.0008201642194431096,-0.001386864760134788,-0.03310819287424793,0.5258358662613982,-0.0014847111969393265,-0.005121773287841815,-0.12386226083005254,-0.006118368701457763,0.003734908527707027,0.09075406795580461,0.004633657504518437
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,20,-0.002903201866739799,0.0015027662673696173,-0.004405968134109416,-0.14287504646949575,0.44072948328267475,-0.0014847111969393265,-0.0040084569515057055,-0.14126449863529214,-0.006118368701457763,-0.0003975111826037105,-0.0016105478342036128,0.004633657504518437
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,30,-0.004029625655581783,0.0007100464678143001,-0.004739672123396083,-0.19191565659169163,0.3981762917933131,-0.0014847111969393265,-0.003521030475417941,-0.15102908029876366,-0.006118368701457763,-0.0012186416479781415,-0.04088657629292797,0.004633657504518437
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,10,0.0003810266369981953,-0.002053671267471942,0.0024346979044701372,0.07191780318091018,0.5475206611570248,0.0021988251639097956,0.0027727760410632698,0.08702633529599382,0.002569485109609762,-0.00033807813659313254,-0.015108532115083645,-0.00037065994569996643
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,20,7.068606872369044e-05,-0.002243445734162258,0.0023141318028859484,0.09206273452737457,0.53099173553719,0.0021988251639097956,0.002581264490292732,0.11588670885765907,0.002569485109609762,-0.0002671326874067836,-0.023823974330284506,-0.00037065994569996643
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,30,-0.000463137812711323,-0.001700780958536952,0.0012376431458256288,0.062487905599599734,0.506198347107438,0.0021988251639097956,0.0016875594471085524,0.09394295443333255,0.002569485109609762,-0.0004499163012829236,-0.03145504883373281,-0.00037065994569996643
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,10,-0.0004376494724105861,0.0010925242712494414,-0.0015301737436600273,-0.03636074445391191,0.48936170212765956,-0.0019361616125804307,-0.005121773287841815,-0.12386226083005254,-0.006118368701457763,0.0035915995441817877,0.08750151637614063,0.004182207088877333
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,20,-0.001243352531024788,0.0005384134043766735,-0.0017817659354014614,-0.06138364978718874,0.46200607902735563,-0.0019361616125804307,-0.0040084569515057055,-0.14126449863529214,-0.006118368701457763,0.002226691016104244,0.0798808488481034,0.004182207088877333
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,30,-0.0019372880610129962,-0.0010698418771361805,-0.0008674461838768158,-0.03926802770910418,0.47416413373860183,-0.0019361616125804307,-0.003521030475417941,-0.15102908029876366,-0.006118368701457763,0.0026535842915411255,0.11176105258965949,0.004182207088877333
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,10,-4.398563992592154e-05,-0.004744042888395304,0.004700057248469383,0.15331490421822455,0.5702479338842975,0.004446616700935115,0.0027727760410632698,0.08702633529599382,0.002569485109609762,0.001927281207406113,0.06628856892223073,0.001877131591325353
