run,dropped_feature,split,k,top_ann,top_cum,excess_bench_ann,excess_universe_ann,long_short_ann,long_short_cum,avg_turnover,avg_ls_turnover,base_top_ann,base_excess_universe_ann,base_long_short_ann,base_avg_turnover,delta_top_ann,delta_excess_universe_ann,delta_long_short_ann,delta_avg_turnover
base_alpha18_resid,none,test,10,0.3304591286275993,0.45339267149878104,-0.19791888142630143,-0.11226139525128842,-0.33066114686758075,-0.4088749934143976,1.1636363636363638,2.0757575757575757,0.3304591286275993,-0.11226139525128842,-0.33066114686758075,1.1636363636363638,0.0,0.0,0.0,0.0
base_alpha18_resid,none,test,20,0.4127107637935603,0.5721656710818932,-0.14921912837640094,-0.06089006450175227,-0.28015431076652875,-0.34979305192704635,0.9772727272727275,1.7363636363636368,0.4127107637935603,-0.06089006450175227,-0.28015431076652875,0.9772727272727275,0.0,0.0,0.0,0.0
base_alpha18_resid,none,test,30,0.40131811880787316,0.5555835667451801,-0.15573575070448653,-0.06685548532747454,-0.2569410185978612,-0.3221994379614268,0.7757575757575756,1.4262626262626261,0.40131811880787316,-0.06685548532747454,-0.2569410185978612,0.7757575757575756,0.0,0.0,0.0,0.0
base_alpha18_resid,none,validation,10,-0.13467120542968158,-0.24299516663093135,-0.06573303561280308,-0.008378001016792758,-0.055845125522302363,-0.10470091672248283,1.2144329896907216,2.129896907216495,-0.13467120542968158,-0.008378001016792758,-0.055845125522302363,1.2144329896907216,0.0,0.0,0.0,0.0
base_alpha18_resid,none,validation,20,-0.1342514997028701,-0.24228835944112836,-0.06285517557469822,-0.005598877915552913,-0.05857109205519884,-0.1096692018293931,0.9896907216494846,1.7577319587628868,-0.1342514997028701,-0.005598877915552913,-0.05857109205519884,0.9896907216494846,0.0,0.0,0.0,0.0
base_alpha18_resid,none,validation,30,-0.15419469679198183,-0.27552335715378495,-0.08434493231268181,-0.028762368164924612,-0.06664694436199903,-0.12431008677682331,0.8103092783505156,1.4790378006872853,-0.15419469679198183,-0.028762368164924612,-0.06664694436199903,0.8103092783505156,0.0,0.0,0.0,0.0
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,10,0.5545989601260017,0.7820866696835964,-0.06456065582584691,0.030751951934119948,-0.18662038080711973,-0.236995811015263,1.1121212121212123,1.9363636363636363,0.3304591286275993,-0.11226139525128842,-0.33066114686758075,1.1636363636363638,0.22413983149840244,0.14301334718540837,0.144040766060461,-0.051515151515151514
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,20,0.3871222971511581,0.5349797570817625,-0.16782498622776665,-0.08158581048843827,-0.31475337671964865,-0.39041031086978906,0.8939393939393941,1.5409090909090915,0.4127107637935603,-0.06089006450175227,-0.28015431076652875,0.9772727272727275,-0.02558846664240222,-0.020695745986686,-0.0345990659531199,-0.08333333333333337
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,30,0.2942665400181872,0.40183769373586076,-0.22390370905119206,-0.1428921353090844,-0.3395319784017592,-0.419113028234012,0.6686868686868686,1.2242424242424241,0.40131811880787316,-0.06685548532747454,-0.2569410185978612,0.7757575757575756,-0.10705157878968596,-0.07603664998160986,-0.08259095980389797,-0.1070707070707071
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,10,-0.17466860835551312,-0.3088971491140283,-0.11316682944588896,-0.05985146194500479,-0.10441935925141521,-0.19123835298365277,1.1711340206185565,2.0061855670103093,-0.13467120542968158,-0.008378001016792758,-0.055845125522302363,1.2144329896907216,-0.03999740292583154,-0.051473460928212034,-0.04857423372911285,-0.04329896907216502
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,20,-0.11790076702475205,-0.2145063100419593,-0.04900064295983886,0.007937054889457285,-0.00635381100731558,-0.012192639185747867,0.9381443298969075,1.6082474226804124,-0.1342514997028701,-0.005598877915552913,-0.05857109205519884,0.9896907216494846,0.01635073267811804,0.013535932805010198,0.05221728104788326,-0.051546391752577025
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,30,-0.12346970647364042,-0.2240226367917748,-0.054765196790881654,0.0025140554111864333,-0.0032730807677630036,-0.006289848939524778,0.7463917525773195,1.361512027491409,-0.15419469679198183,-0.028762368164924612,-0.06664694436199903,0.8103092783505156,0.030724990318341416,0.031276423576111045,0.06337386359423602,-0.0639175257731961
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,10,0.4630358386952138,0.6459070710408275,-0.12186149722402573,-0.030435702826594246,-0.2453336062803363,-0.3083007959249311,1.1606060606060606,2.106060606060606,0.3304591286275993,-0.11226139525128842,-0.33066114686758075,1.1636363636363638,0.1325767100676145,0.08182569242469417,0.08532754058724445,-0.003030303030303161
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,20,0.5235500161499875,0.7356223079497541,-0.08351945854378773,0.011482476844392187,-0.16586571110437887,-0.21140025400893603,0.9666666666666668,1.7863636363636366,0.4127107637935603,-0.06089006450175227,-0.28015431076652875,0.9772727272727275,0.11083925235642722,0.07237254134614446,0.11428859966214988,-0.01060606060606073
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,30,0.4706208809604304,0.657090362791146,-0.114682212894195,-0.022616011103098743,-0.12304056069567904,-0.15796468374527484,0.8272727272727272,1.5646464646464646,0.40131811880787316,-0.06685548532747454,-0.2569410185978612,0.7757575757575756,0.06930276215255726,0.0442394742243758,0.1339004579021822,0.051515151515151514
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,10,-0.13513438261057875,-0.24377481426975822,-0.07131596393400419,-0.015804581302071408,0.11565682188019322,0.2344616210955106,1.158762886597938,2.2082474226804125,-0.13467120542968158,-0.008378001016792758,-0.055845125522302363,1.2144329896907216,-0.0004631771808971674,-0.00742658028527865,0.17150194740249558,-0.05567010309278353
