split,trade_date,k,keep_multiplier,keep_rank,cost_bps,daily_count,top_turnover,bottom_turnover,long_short_turnover,top_transaction_cost,bottom_transaction_cost,long_short_transaction_cost,top_return_gross,top_return_net,bottom_return_gross,bottom_short_return_net,long_short_gross,long_short_net,benchmark_return,universe_equal_return,top_excess_vs_benchmark_net,top_excess_vs_universe_net
test,20250102,20,2.0,40,10.0,84,1.0000000000000002,1.0000000000000002,2.0000000000000004,0.001,0.001,0.002,-0.0121319130962268,-0.0131319130962268,-0.0328820393293207,0.0318820393293207,0.0207501262330939,0.0187501262330939,-0.0241608815816332,-0.0173568764094781,0.0110289684854063,0.0042249633132512
test,20250109,20,2.0,40,10.0,84,0.4999999999999999,0.3,0.7999999999999999,0.0004999999999999,0.0003,0.0007999999999999,0.0063357076328157,0.0058357076328157,0.0273749635436274,-0.0276749635436274,-0.0210392559108117,-0.0218392559108117,0.020237433467745,0.0219160009898183,-0.0144017258349293,-0.0160802933570025
test,20250116,20,2.0,40,10.0,83,1.0000000000000002,0.7000000000000001,1.7000000000000002,0.001,0.0007,0.0017,0.0093431661656266,0.0083431661656266,0.0256421004046827,-0.0263421004046827,-0.0162989342390561,-0.0179989342390561,0.0204558879181409,0.0132356773329876,-0.0121127217525142,-0.0048925111673609
test,20250123,20,2.0,40,10.0,84,0.7000000000000001,0.4999999999999999,1.2,0.0007,0.0004999999999999,0.0012,0.0398098228786516,0.0391098228786516,0.0597281319992208,-0.0602281319992208,-0.0199183091205692,-0.0211183091205692,0.0387127982634607,0.0605275809878894,0.0003970246151908,-0.0214177581092378
test,20250207,20,2.0,40,10.0,84,0.7000000000000001,0.4999999999999999,1.2,0.0007,0.0004999999999999,0.0012,-0.0137698199297293,-0.0144698199297293,0.0278641856108592,-0.0283641856108592,-0.0416340055405886,-0.0428340055405886,0.0188320569600795,0.0274419824063808,-0.0333018768898088,-0.0419118023361101
test,20250214,20,2.0,40,10.0,82,0.2,0.3,0.5,0.0002,0.0003,0.0005,0.0490603744284928,0.0488603744284928,0.0362584600924848,-0.0365584600924848,0.0128019143360079,0.0123019143360079,0.0298891562418859,0.0375689021137091,0.0189712181866068,0.0112914723147837
test,20250221,20,2.0,40,10.0,82,0.4999999999999999,0.3999999999999999,0.8999999999999999,0.0004999999999999,0.0003999999999999,0.0008999999999999,-0.0202154588587611,-0.0207154588587611,-0.06962871585438,0.06922871585438,0.0494132569956188,0.0485132569956188,-0.0487045037417733,-0.0430875506945869,0.0279890448830122,0.0223720918358258
test,20250228,20,2.0,40,10.0,84,0.6,0.6,1.2,0.0006,0.0006,0.0012,0.0146776975181769,0.0140776975181769,0.0426138966239472,-0.0432138966239472,-0.0279361991057702,-0.0291361991057702,0.0160868643123852,0.0305267873796218,-0.0020091667942082,-0.0164490898614448
test,20250307,20,2.0,40,10.0,84,0.3,0.3,0.6,0.0003,0.0003,0.0006,0.0262628079966269,0.0259628079966269,-0.0115208733516954,0.0112208733516954,0.0377836813483224,0.0371836813483224,0.009708218816004,0.0059647851278568,0.0162545891806229,0.0199980228687701
test,20250314,20,2.0,40,10.0,84,1.0000000000000002,1.0000000000000002,2.0000000000000004,0.001,0.001,0.002,-0.0296901760113955,-0.0306901760113955,-0.0287140448920472,0.0277140448920472,-0.0009761311193483,-0.0029761311193483,-0.033429090180909,-0.0359217936870403,0.0027389141695134,0.0052316176756447
