strategy,k,trade_date,ts_code,close_weight
daily,20,20260601,300001.SZ,0.04813302536645108
daily,20,20260601,300012.SZ,0.05053822949117386
daily,20,20260601,300017.SZ,0.050091983469245774
daily,20,20260601,300024.SZ,0.05118410487273185
daily,20,20260601,300037.SZ,0.04827148219298868
daily,20,20260601,300054.SZ,0.04863949052289565
daily,20,20260601,300142.SZ,0.049277018587826994
daily,20,20260601,300207.SZ,0.05030195614273271
daily,20,20260601,300253.SZ,0.05224508741811773
daily,20,20260601,300285.SZ,0.051505563252264866
daily,20,20260601,300383.SZ,0.04920017485535185
daily,20,20260601,300432.SZ,0.05135041294165917
daily,20,20260601,300442.SZ,0.04976738278006882
daily,20,20260601,300498.SZ,0.05055457628352275
daily,20,20260601,300601.SZ,0.05061683561392118
daily,20,20260601,300628.SZ,0.05281920149540922
daily,20,20260601,300677.SZ,0.052154810126001004
daily,20,20260601,300748.SZ,0.04831096764035389
daily,20,20260601,300782.SZ,0.04589476152748355
daily,20,20260601,301358.SZ,0.04914293541979933
daily,20,20260602,300001.SZ,0.048807683385051905
daily,20,20260602,300012.SZ,0.049812585774367944
daily,20,20260602,300017.SZ,0.04944677618589092
daily,20,20260602,300024.SZ,0.050573130118371966
daily,20,20260602,300037.SZ,0.04992528784058498
daily,20,20260602,300054.SZ,0.05082020550735568
daily,20,20260602,300142.SZ,0.04852784181626975
daily,20,20260602,300207.SZ,0.04884869005537856
daily,20,20260602,300253.SZ,0.0483322296870956
daily,20,20260602,300285.SZ,0.056444237370829715
daily,20,20260602,300383.SZ,0.049419112548318885
daily,20,20260602,300432.SZ,0.050029909981800486
daily,20,20260602,300442.SZ,0.050061657227749225
daily,20,20260602,300498.SZ,0.04828681950397456
daily,20,20260602,300601.SZ,0.048772327004107725
daily,20,20260602,300628.SZ,0.051635638660592266
daily,20,20260602,300677.SZ,0.0509742640790186
daily,20,20260602,300748.SZ,0.05051345693596128
daily,20,20260602,300782.SZ,0.05026013468371265
daily,20,20260602,301358.SZ,0.048508011633567404
daily,20,20260603,300001.SZ,0.04967123133816172
daily,20,20260603,300012.SZ,0.050437310098251
daily,20,20260603,300017.SZ,0.051227740697961675
daily,20,20260603,300024.SZ,0.049359910315211135
daily,20,20260603,300037.SZ,0.0498510819518735
daily,20,20260603,300054.SZ,0.052167971313370656
daily,20,20260603,300142.SZ,0.050077773351955825
daily,20,20260603,300207.SZ,0.04888568823888896
daily,20,20260603,300253.SZ,0.04920376904477572
daily,20,20260603,300285.SZ,0.0510805516334219
daily,20,20260603,300383.SZ,0.04993503696940714
daily,20,20260603,300432.SZ,0.04938391761996576
daily,20,20260603,300442.SZ,0.051599279308107836
daily,20,20260603,300498.SZ,0.049629810478375856
daily,20,20260603,300601.SZ,0.048824902901506206
daily,20,20260603,300628.SZ,0.05037783115505251
daily,20,20260603,300677.SZ,0.04996542484936432
daily,20,20260603,300748.SZ,0.05022421148590135
daily,20,20260603,300782.SZ,0.048111992444357966
daily,20,20260603,301358.SZ,0.0499845648040889
daily,20,20260604,300001.SZ,0.05355479149155823
daily,20,20260604,300012.SZ,0.04847228734137268
daily,20,20260604,300017.SZ,0.05056283070805814
daily,20,20260604,300024.SZ,0.050634801507118736
daily,20,20260604,300037.SZ,0.05521500505713569
daily,20,20260604,300054.SZ,0.052397734192667474
daily,20,20260604,300142.SZ,0.048323873873969865
daily,20,20260604,300207.SZ,0.04821167350681282
daily,20,20260604,300253.SZ,0.0479076897270674
daily,20,20260604,300285.SZ,0.052919305814149845
daily,20,20260604,300383.SZ,0.05011390158541031
daily,20,20260604,300432.SZ,0.04847074459252124
daily,20,20260604,300442.SZ,0.05054178191895263
daily,20,20260604,300498.SZ,0.04805675307626163
daily,20,20260604,300601.SZ,0.04843672527514569
daily,20,20260604,300628.SZ,0.04928172022004723
daily,20,20260604,300677.SZ,0.050006176003917116
daily,20,20260604,300748.SZ,0.04908106499071182
daily,20,20260604,300782.SZ,0.04862100174086401
daily,20,20260604,301358.SZ,0.04919013737625738
daily,20,20260605,300001.SZ,0.04894595678123214
daily,20,20260605,300012.SZ,0.05092497015764201
daily,20,20260605,300017.SZ,0.049531387814952296
daily,20,20260605,300037.SZ,0.04831807299573338
daily,20,20260605,300054.SZ,0.048945860888027486
daily,20,20260605,300122.SZ,0.04976124313206809
daily,20,20260605,300142.SZ,0.049649747435931056
daily,20,20260605,300207.SZ,0.04923092371315019
daily,20,20260605,300253.SZ,0.050321257122300365
daily,20,20260605,300285.SZ,0.05280855802981063
daily,20,20260605,300383.SZ,0.04929969776718599
daily,20,20260605,300432.SZ,0.04997119620318871
daily,20,20260605,300498.SZ,0.05020441209802259
daily,20,20260605,300558.SZ,0.0498824386156569
daily,20,20260605,300601.SZ,0.05015295860349668
daily,20,20260605,300628.SZ,0.05147086008874959
daily,20,20260605,300677.SZ,0.050234887232367215
daily,20,20260605,300748.SZ,0.050728782690184236
daily,20,20260605,300782.SZ,0.05066946764731773
daily,20,20260605,301358.SZ,0.048947320982982684
daily,20,20260608,300001.SZ,0.04844712670913725
daily,20,20260608,300012.SZ,0.05051101040599575
daily,20,20260608,300017.SZ,0.051385124749185516
daily,20,20260608,300037.SZ,0.04885511141921664
daily,20,20260608,300054.SZ,0.051278117291636546
daily,20,20260608,300122.SZ,0.04980456498716742
daily,20,20260608,300142.SZ,0.049413170351130305
daily,20,20260608,300207.SZ,0.04960384875897474
daily,20,20260608,300253.SZ,0.05085750004572081
daily,20,20260608,300285.SZ,0.04766723083547814
daily,20,20260608,300383.SZ,0.05098243609062397
daily,20,20260608,300432.SZ,0.049469468113114444
daily,20,20260608,300498.SZ,0.05063104535035051
daily,20,20260608,300558.SZ,0.051879573737951545
daily,20,20260608,300601.SZ,0.05034150974499577
daily,20,20260608,300628.SZ,0.047905226166239746
daily,20,20260608,300677.SZ,0.0516380694347192
daily,20,20260608,300782.SZ,0.048201509252932526
daily,20,20260608,300999.SZ,0.050743444878742675
daily,20,20260608,301301.SZ,0.0503849116766865
daily,20,20260609,300001.SZ,0.047578597065514774
daily,20,20260609,300012.SZ,0.04961313537307198
daily,20,20260609,300015.SZ,0.048588953373855825
daily,20,20260609,300017.SZ,0.04947238888974411
daily,20,20260609,300037.SZ,0.04931301475103889
daily,20,20260609,300054.SZ,0.051038251303095215
daily,20,20260609,300122.SZ,0.0501353354745313
daily,20,20260609,300142.SZ,0.05035189802556178
daily,20,20260609,300207.SZ,0.049869159928458855
daily,20,20260609,300253.SZ,0.05001381038238154
daily,20,20260609,300285.SZ,0.05529315977577866
daily,20,20260609,300383.SZ,0.04923792259168845
daily,20,20260609,300432.SZ,0.050572773390696206
daily,20,20260609,300498.SZ,0.04900749565037298
daily,20,20260609,300558.SZ,0.051059578121679
daily,20,20260609,300601.SZ,0.049687486232742994
daily,20,20260609,300628.SZ,0.04863247357600228
daily,20,20260609,300677.SZ,0.04976218531001877
daily,20,20260609,300782.SZ,0.0512211514336401
daily,20,20260609,300999.SZ,0.04955122935012618
daily,20,20260610,300001.SZ,0.046830277614081484
daily,20,20260610,300012.SZ,0.05021650465442803
daily,20,20260610,300015.SZ,0.05071873737429357
daily,20,20260610,300017.SZ,0.04968550324247823
daily,20,20260610,300037.SZ,0.0497028467492274
daily,20,20260610,300054.SZ,0.0525365837132105
daily,20,20260610,300122.SZ,0.052629336063643645
daily,20,20260610,300142.SZ,0.05108662508935097
daily,20,20260610,300207.SZ,0.04952951734840134
daily,20,20260610,300253.SZ,0.04926070454428498
daily,20,20260610,300285.SZ,0.046297133772086205
daily,20,20260610,300383.SZ,0.05028839657232986
daily,20,20260610,300432.SZ,0.05019859586416498
daily,20,20260610,300498.SZ,0.051247031614217
daily,20,20260610,300558.SZ,0.050051047207976686
daily,20,20260610,300601.SZ,0.051556538746762526
daily,20,20260610,300628.SZ,0.050331748638340494
daily,20,20260610,300677.SZ,0.04905752521876526
daily,20,20260610,300782.SZ,0.04826603391947695
daily,20,20260610,300999.SZ,0.050509312052479875
daily,20,20260611,300001.SZ,0.04931574083132581
daily,20,20260611,300012.SZ,0.04994526844530296
daily,20,20260611,300015.SZ,0.05107440217408738
daily,20,20260611,300017.SZ,0.05052061809761406
daily,20,20260611,300037.SZ,0.05255330537341479
daily,20,20260611,300054.SZ,0.052985743063207184
daily,20,20260611,300142.SZ,0.048971086165144034
daily,20,20260611,300207.SZ,0.048907486039017616
