strategy,k,period_count,start_date,end_date,cumulative_return,benchmark_cumulative_return,excess_cumulative_return,annualized_return,annualized_vol,sharpe_like,max_drawdown,win_rate,avg_turnover,avg_transaction_cost,avg_position_count
5d,20,10,20260601,20260612,-0.03781853500730725,0.0,-0.03781853500730725,-0.6214911289644773,0.3005519315668691,-2.0678327559715024,-0.054638786889280255,0.4,0.14441196139176538,0.00021661794208764808,20.0
daily,20,10,20260601,20260612,-0.04107255460594894,0.0,-0.04107255460594894,-0.6524631442197691,0.2844231152187972,-2.2939877573517578,-0.05386829922083425,0.4,0.1910359035346761,0.00028655385530201416,20.0
