split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z
test,20250102,none,20,0.0,0.0,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.0,0.2052168289445712
test,20250102,none,20,0.0,0.02,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.0,0.2052168289445712
test,20250102,none,20,0.1,0.0,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.0,0.2052168289445712
test,20250102,none,20,0.1,0.02,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.0,0.2052168289445712
test,20250102,industry_size,20,0.0,0.0,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.13030369938433714,0.2052168289445712
test,20250102,industry_size,20,0.0,0.02,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.13030369938433714,0.2052168289445712
test,20250102,industry_size,20,0.1,0.0,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.13030369938433714,0.2052168289445712
test,20250102,industry_size,20,0.1,0.02,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240458,0.009623538099530765,0.003926021836771919,4.359286923749999e-05,1.0000000000000002,0.029061912824999994,0,0,20,20,0.13030369938433714,0.2052168289445712
test,20250109,none,20,0.0,0.0,0.027653367572420623,0.027580413423652535,0.022325852692530734,0.024659542717886906,0.0052545607311218,0.002920870705765629,7.29541487680874e-05,1.2114211898232126,0.04863609917872493,0,0,27,28,0.0,0.23579885445423243
test,20250109,none,20,0.0,0.02,0.027653367572420623,0.027580413423652535,0.022325852692530734,0.024659542717886906,0.0052545607311218,0.002920870705765629,7.29541487680874e-05,1.2114211898232126,0.04863609917872493,0,0,27,28,0.0,0.23579885445423243
test,20250109,none,20,0.1,0.0,0.027653367572420623,0.027580413423652535,0.022325852692530734,0.024659542717886906,0.0052545607311218,0.002920870705765629,7.29541487680874e-05,1.2114211898232126,0.04863609917872493,0,0,27,28,0.0,0.23579885445423243
test,20250109,none,20,0.1,0.02,0.027653367572420623,0.027580413423652535,0.022325852692530734,0.024659542717886906,0.0052545607311218,0.002920870705765629,7.29541487680874e-05,1.2114211898232126,0.04863609917872493,0,0,27,28,0.0,0.23579885445423243
test,20250109,industry_size,20,0.0,0.0,0.027653367572420623,0.027580413423652535,0.022325852692530734,0.024659542717886906,0.0052545607311218,0.002920870705765629,7.29541487680874e-05,1.2114211898232126,0.04863609917872493,0,0,27,28,0.19345854747889837,0.23579885445423243
test,20250109,industry_size,20,0.0,0.02,0.027653367572420623,0.027580413423652535,0.022325852692530734,0.024659542717886906,0.0052545607311218,0.002920870705765629,7.29541487680874e-05,1.2114211898232126,0.04863609917872493,0,0,27,28,0.19345854747889837,0.23579885445423243
test,20250109,industry_size,20,0.1,0.0,0.02763356095396189,0.0275595837798153,0.022325852692530734,0.024659542717886906,0.005233731087284567,0.0029000410619283955,7.397717414658741e-05,1.2114211898232126,0.049318116097724934,0,0,27,28,0.19305431197241077,0.2356237105312558
test,20250109,industry_size,20,0.1,0.02,0.02763356095396189,0.0275595837798153,0.022325852692530734,0.024659542717886906,0.005233731087284567,0.0029000410619283955,7.397717414658741e-05,1.2114211898232126,0.049318116097724934,0,0,27,28,0.19305431197241077,0.2356237105312558
test,20250116,none,20,0.0,0.0,0.0022824027029445513,0.0021728535403649197,0.025274152494888513,0.014374691503525336,-0.023101298954523595,-0.012201837963160416,0.00010954916257963155,1.4240185339195368,0.0730327750530877,1,0,32,32,0.0,0.2196457175790228
test,20250116,none,20,0.0,0.02,0.0022824027029445513,0.0021728535403649197,0.025274152494888513,0.014374691503525336,-0.023101298954523595,-0.012201837963160416,0.00010954916257963155,1.4240185339195368,0.0730327750530877,1,0,32,32,0.0,0.2196457175790228
test,20250116,none,20,0.1,0.0,0.0022824027029445513,0.0021728535403649197,0.025274152494888513,0.014374691503525336,-0.023101298954523595,-0.012201837963160416,0.00010954916257963155,1.4240185339195368,0.0730327750530877,1,0,32,32,0.0,0.2196457175790228
test,20250116,none,20,0.1,0.02,0.0022824027029445513,0.0021728535403649197,0.025274152494888513,0.014374691503525336,-0.023101298954523595,-0.012201837963160416,0.00010954916257963155,1.4240185339195368,0.0730327750530877,1,0,32,32,0.0,0.2196457175790228
test,20250116,industry_size,20,0.0,0.0,0.0022824027029445513,0.0021728535403649197,0.025274152494888513,0.014374691503525336,-0.023101298954523595,-0.012201837963160416,0.00010954916257963155,1.4240185339195368,0.0730327750530877,1,0,32,32,0.1958939724512684,0.2196457175790228
test,20250116,industry_size,20,0.0,0.02,0.0022824027029445513,0.0021728535403649197,0.025274152494888513,0.014374691503525336,-0.023101298954523595,-0.012201837963160416,0.00010954916257963155,1.4240185339195368,0.0730327750530877,1,0,32,32,0.1958939724512684,0.2196457175790228
test,20250116,industry_size,20,0.1,0.0,0.0019328514257460022,0.0018098235670165634,0.025274152494888513,0.014374691503525336,-0.02346432892787195,-0.012564867936508774,0.00012302785872943874,1.4864743922254848,0.08201857248629249,1,0,33,33,0.19658458217559335,0.2196086028273352
test,20250116,industry_size,20,0.1,0.02,0.0019328514257460022,0.0018098235670165634,0.025274152494888513,0.014374691503525336,-0.02346432892787195,-0.012564867936508774,0.00012302785872943874,1.4864743922254848,0.08201857248629249,1,0,33,33,0.19658458217559335,0.2196086028273352
test,20250123,none,20,0.0,0.0,0.11168523816831336,0.11152141225983792,0.04328757587444709,0.06644509910568432,0.06823383638539082,0.0450763131541536,0.00016382590847543468,1.5633988402066825,0.10921727231695645,0,0,38,38,0.0,0.15110768457181134
test,20250123,none,20,0.0,0.02,0.11168523816831336,0.11152141225983792,0.04328757587444709,0.06644509910568432,0.06823383638539082,0.0450763131541536,0.00016382590847543468,1.5633988402066825,0.10921727231695645,0,0,38,38,0.0,0.15110768457181134
test,20250123,none,20,0.1,0.0,0.11168523816831336,0.11152141225983792,0.04328757587444709,0.06644509910568432,0.06823383638539082,0.0450763131541536,0.00016382590847543468,1.5633988402066825,0.10921727231695645,0,0,38,38,0.0,0.15110768457181134
test,20250123,none,20,0.1,0.02,0.11168523816831336,0.11152141225983792,0.04328757587444709,0.06644509910568432,0.06823383638539082,0.0450763131541536,0.00016382590847543468,1.5633988402066825,0.10921727231695645,0,0,38,38,0.0,0.15110768457181134
test,20250123,industry_size,20,0.0,0.0,0.11168523816831336,0.11152141225983792,0.04328757587444709,0.06644509910568432,0.06823383638539082,0.0450763131541536,0.00016382590847543468,1.5633988402066825,0.10921727231695645,0,0,38,38,0.09469437061405221,0.15110768457181134
test,20250123,industry_size,20,0.0,0.02,0.11168523816831336,0.11152141225983792,0.04328757587444709,0.06644509910568432,0.06823383638539082,0.0450763131541536,0.00016382590847543468,1.5633988402066825,0.10921727231695645,0,0,38,38,0.09469437061405221,0.15110768457181134
test,20250123,industry_size,20,0.1,0.0,0.11222814378351248,0.11205714507296115,0.04328757587444709,0.06644509910568432,0.06876956919851406,0.04561204596727683,0.00017099871055133192,1.564356356600073,0.11399914036755461,0,0,38,39,0.09544367891521637,0.15131454020599439
test,20250123,industry_size,20,0.1,0.02,0.11222814378351248,0.11205714507296115,0.04328757587444709,0.06644509910568432,0.06876956919851406,0.04561204596727683,0.00017099871055133192,1.564356356600073,0.11399914036755461,0,0,38,39,0.09544367891521637,0.15131454020599439
