split,setting,net_ann,net_ir,net_mdd,gross_ann,excess_benchmark_ann,excess_exec_universe_ann,benchmark_ann,executable_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_transaction_cost,avg_buy_reject_count,avg_sell_reject_count,avg_partial_fill_count,avg_position_count
test,top_20_keep_2x,0.4409715366552571,0.23940308628498008,-0.16918129620947608,0.456017948641382,-0.16879046117046814,-0.03677172587781896,0.7056686574279982,0.49212414031612806,1.184453559463796,0.13817414291214306,0.00020726121436821457,0.0,4.571428571428571,32.523809523809526,39.58730158730159
validation,top_20_keep_2x,-0.11189774078504111,-0.03343919213441629,-0.38302354443581677,-0.10745425251247531,0.017129985065375886,0.03826595881226735,-0.13037812252061565,-0.14988620006539544,1.2983988078399924,0.06581182856462438,9.871774284693655e-05,0.0,6.287234042553192,37.148936170212764,44.265957446808514
