split,mode,k,signal_date,execution_date,position_count,turnover,transaction_cost,overnight_return,intraday_return,daily_return,benchmark_return,top_selected
test,full_topk,10,20250303,20250304,10,0.6027339198835996,0.0009041008798253994,-0.004106884823878311,0.013042729041436874,0.007970147875302702,-0.0029348632895016546,"300677.SZ,300003.SZ,300146.SZ,300144.SZ,300012.SZ,300001.SZ,300383.SZ,300253.SZ,300142.SZ,300015.SZ"
test,full_topk,10,20250304,20250305,10,0.2153930085093483,0.00032308951276402247,0.0013405458767771785,-0.004409769989046264,-0.003397231579943205,0.00012972138941336198,"300677.SZ,300146.SZ,300001.SZ,300003.SZ,300253.SZ,300529.SZ,300144.SZ,300012.SZ,300383.SZ,300015.SZ"
test,full_topk,10,20250305,20250306,10,0.21209203214562608,0.00031813804821843915,0.006871461992431155,0.023847363228653086,0.030554728463722647,0.020237107795495257,"300146.SZ,300677.SZ,300001.SZ,300003.SZ,300253.SZ,300529.SZ,300034.SZ,300012.SZ,300383.SZ,300144.SZ"
test,full_topk,10,20250306,20250307,10,0.21519533069208902,0.0003227929960381335,-0.004708241421417236,-0.009180394077826627,-0.014163735781603015,-0.013148272533672345,"300034.SZ,300146.SZ,300529.SZ,300253.SZ,300001.SZ,300003.SZ,300677.SZ,300383.SZ,300142.SZ,300012.SZ"
test,full_topk,10,20250307,20250310,10,0.8186067971150717,0.0012279101956726075,0.01567474956700683,0.003208362475027293,0.017682243606929937,-0.002462061172715746,"300034.SZ,300529.SZ,300253.SZ,300383.SZ,300001.SZ,300024.SZ,300677.SZ,300413.SZ,300118.SZ,300251.SZ"
test,full_topk,10,20250310,20250311,10,0.02053278624615236,3.079917936922854e-05,-0.012813993691186673,0.019994098540842577,0.006892888167267186,0.0018878781910134368,"300034.SZ,300253.SZ,300529.SZ,300024.SZ,300413.SZ,300118.SZ,300001.SZ,300383.SZ,300251.SZ,300677.SZ"
test,full_topk,10,20250311,20250312,10,0.21327848285644985,0.0003199177242846748,0.0025139870779727377,-0.01008420141451849,-0.007913053656724456,-0.005790483270147639,"300034.SZ,300024.SZ,300413.SZ,300529.SZ,300118.SZ,300253.SZ,300001.SZ,300383.SZ,300251.SZ,300207.SZ"
test,full_topk,10,20250312,20250313,10,0.20969856070014647,0.00031454784105021974,-0.0037240755177343154,-0.014093588542596059,-0.01807413831479776,-0.011529444278786882,"300034.SZ,300146.SZ,300024.SZ,300118.SZ,300413.SZ,300529.SZ,300001.SZ,300253.SZ,300383.SZ,300251.SZ"
test,full_topk,10,20250313,20250314,10,0.013793537885693388,2.0690306828540084e-05,-0.0010511435786561612,0.021756431991483017,0.02066130104661501,0.028029776680436713,"300034.SZ,300146.SZ,300024.SZ,300118.SZ,300413.SZ,300529.SZ,300001.SZ,300383.SZ,300251.SZ,300253.SZ"
test,full_topk,10,20250314,20250317,10,0.4123804288302458,0.0006185706432453687,0.004215831763371567,-0.010510983157122122,-0.006954113167372711,-0.005204839071775824,"300034.SZ,300009.SZ,300024.SZ,300529.SZ,300146.SZ,300413.SZ,300001.SZ,300253.SZ,300383.SZ,300677.SZ"
test,full_topk,10,20250317,20250318,10,0.2096241921045807,0.00031443628815687105,0.005734828939383533,-0.00246608291451802,0.0029391438076118437,0.006102405162756952,"300009.SZ,300024.SZ,300034.SZ,300118.SZ,300529.SZ,300413.SZ,300677.SZ,300146.SZ,300001.SZ,300253.SZ"
test,full_topk,10,20250318,20250319,10,0.6010949849591498,0.0009016424774387248,-0.0027577250503699963,-0.0031849508924962967,-0.006830184951708063,-0.0028257090117840278,"300024.SZ,300034.SZ,300118.SZ,300413.SZ,300529.SZ,300677.SZ,300146.SZ,300765.SZ,300144.SZ,300979.SZ"
test,full_topk,10,20250319,20250320,10,0.4023677629557422,0.0006035516444336134,-0.0018063649357604066,-0.008901419694623892,-0.011288804066016178,-0.010041007552962,"300024.SZ,300413.SZ,300034.SZ,300529.SZ,300677.SZ,300144.SZ,300765.SZ,300558.SZ,300146.SZ,300017.SZ"
test,full_topk,10,20250320,20250321,10,0.4086398521259634,0.0006129597781889451,-0.005061098588495521,-0.0074587970315455835,-0.01308745463771177,-0.021705546932701547,"300024.SZ,300118.SZ,300413.SZ,300034.SZ,300529.SZ,300144.SZ,300765.SZ,300017.SZ,300677.SZ,300595.SZ"
test,full_topk,10,20250321,20250324,10,0.4121560149193801,0.0006182340223790701,0.001975087045057715,-0.010964194956285145,-0.009623426412676661,0.00012805030128060224,"300024.SZ,300118.SZ,300413.SZ,300144.SZ,300529.SZ,300017.SZ,300765.SZ,300034.SZ,300408.SZ,300383.SZ"
test,full_topk,10,20250324,20250325,10,0.4096108879242637,0.0006144163318863955,-0.001919236093680262,-0.002831738730703548,-0.0053570406437805085,-0.0032873495253175067,"300024.SZ,300413.SZ,300144.SZ,300017.SZ,300529.SZ,300408.SZ,300383.SZ,300765.SZ,300498.SZ,300003.SZ"
test,full_topk,10,20250325,20250326,10,0.4154733273601921,0.0006232099910402881,0.0003141798972319188,0.011157010674252234,0.010844334743794315,-0.0025994200081975727,"300024.SZ,300413.SZ,300144.SZ,300529.SZ,300017.SZ,300383.SZ,300408.SZ,300498.SZ,300433.SZ,300748.SZ"
test,full_topk,10,20250326,20250327,10,0.010535911557330635,1.5803867335995953e-05,-0.003073509630296502,-0.002547119286668165,-0.005628515484691898,0.0024269807546291045,"300024.SZ,300144.SZ,300413.SZ,300017.SZ,300498.SZ,300433.SZ,300748.SZ,300383.SZ,300408.SZ,300529.SZ"
