split,mode,k,signal_date,execution_date,ts_code,close_weight,pred_score
test,full_topk,10,20250205,20250206,300002.SZ,0.09783996567116514,0.004130376968532801
test,full_topk,10,20250205,20250206,300017.SZ,0.10591093927030165,0.004200050141662359
test,full_topk,10,20250205,20250206,300070.SZ,0.09826961951392975,0.00418606074526906
test,full_topk,10,20250205,20250206,300118.SZ,0.09922284174040272,0.004065318498760462
test,full_topk,10,20250205,20250206,300144.SZ,0.09684734798131675,0.004157401155680418
test,full_topk,10,20250205,20250206,300251.SZ,0.10846741021820548,0.004219330381602049
test,full_topk,10,20250205,20250206,300253.SZ,0.09839069676359058,0.0042132181115448475
test,full_topk,10,20250205,20250206,300339.SZ,0.0987206456098558,0.004060629289597273
test,full_topk,10,20250205,20250206,300383.SZ,0.09894947222754814,0.004206017125397921
test,full_topk,10,20250205,20250206,300677.SZ,0.09738106100368397,0.004168871324509382
test,full_topk,10,20250206,20250207,300002.SZ,0.10324466277680529,0.004138343036174774
test,full_topk,10,20250206,20250207,300003.SZ,0.09984931352262717,0.004062267951667309
test,full_topk,10,20250206,20250207,300017.SZ,0.10030467530151846,0.00421367259696126
test,full_topk,10,20250206,20250207,300070.SZ,0.10020725814635965,0.004180737305432558
test,full_topk,10,20250206,20250207,300118.SZ,0.10146123373145767,0.004095763433724642
test,full_topk,10,20250206,20250207,300144.SZ,0.09752975262999737,0.0041740043088793755
test,full_topk,10,20250206,20250207,300339.SZ,0.10268287718553237,0.0040746270678937435
test,full_topk,10,20250206,20250207,300383.SZ,0.10020990149966691,0.004221322946250439
test,full_topk,10,20250206,20250207,300413.SZ,0.09733776507841897,0.004106392618268728
test,full_topk,10,20250206,20250207,300677.SZ,0.0971725601276161,0.0041810874827206135
test,full_topk,10,20250207,20250210,300002.SZ,0.10041574183748599,0.004132456611841917
test,full_topk,10,20250207,20250210,300017.SZ,0.09678309154860136,0.0042229401879012585
test,full_topk,10,20250207,20250210,300070.SZ,0.09948502367504142,0.004179529380053282
test,full_topk,10,20250207,20250210,300118.SZ,0.09992963282983025,0.004122065380215645
test,full_topk,10,20250207,20250210,300144.SZ,0.10174049523814395,0.004191394429653883
test,full_topk,10,20250207,20250210,300253.SZ,0.10607453863390956,0.004219636786729097
test,full_topk,10,20250207,20250210,300383.SZ,0.09650337163083085,0.004232699517160654
test,full_topk,10,20250207,20250210,300408.SZ,0.10046947111324346,0.004112057387828827
test,full_topk,10,20250207,20250210,300413.SZ,0.0991154025507806,0.004145461600273848
test,full_topk,10,20250207,20250210,300677.SZ,0.09948323094213263,0.0041900393553078175
test,full_topk,10,20250210,20250211,300017.SZ,0.10134400427942486,0.004222450312227011
test,full_topk,10,20250210,20250211,300070.SZ,0.09834489608082297,0.004179924260824919
test,full_topk,10,20250210,20250211,300118.SZ,0.09674683584850356,0.004137035924941301
test,full_topk,10,20250210,20250211,300144.SZ,0.09783899677103675,0.004201709758490324
test,full_topk,10,20250210,20250211,300251.SZ,0.11378836564542748,0.004217344801872969
test,full_topk,10,20250210,20250211,300253.SZ,0.0968436259852027,0.004223346710205078
test,full_topk,10,20250210,20250211,300383.SZ,0.09686278705233468,0.004236123058944941
test,full_topk,10,20250210,20250211,300408.SZ,0.09987297100071271,0.004155919421464205
test,full_topk,10,20250210,20250211,300413.SZ,0.10120143411001714,0.004166157450526953
test,full_topk,10,20250210,20250211,300677.SZ,0.09715608322651716,0.004196788650006056
test,full_topk,10,20250211,20250212,300003.SZ,0.09792519238442386,0.004145157989114523
test,full_topk,10,20250211,20250212,300017.SZ,0.10032553368184666,0.004210990387946367
test,full_topk,10,20250211,20250212,300070.SZ,0.09899343224298994,0.004182762000709772
test,full_topk,10,20250211,20250212,300144.SZ,0.09813046282295404,0.00419882545247674
test,full_topk,10,20250211,20250212,300253.SZ,0.10599320932716645,0.004221779294312
test,full_topk,10,20250211,20250212,300383.SZ,0.10420700935453148,0.0042290766723454
test,full_topk,10,20250211,20250212,300408.SZ,0.10003363950492386,0.0041710627265274525
test,full_topk,10,20250211,20250212,300413.SZ,0.09927852753860611,0.004166900180280209
test,full_topk,10,20250211,20250212,300601.SZ,0.09821990272065124,0.004147056024521589
test,full_topk,10,20250211,20250212,300677.SZ,0.09689309042190636,0.004204201977699995
test,full_topk,10,20250212,20250213,300017.SZ,0.09729097940623888,0.00419676722958684
test,full_topk,10,20250212,20250213,300070.SZ,0.09990834107577669,0.004184085410088301
test,full_topk,10,20250212,20250213,300142.SZ,0.10021819257845557,0.0041656880639493465
test,full_topk,10,20250212,20250213,300144.SZ,0.10249683764301691,0.00418824190273881
test,full_topk,10,20250212,20250213,300253.SZ,0.10110946547312555,0.00421104533597827
test,full_topk,10,20250212,20250213,300383.SZ,0.09798468530241274,0.004219983238726854
test,full_topk,10,20250212,20250213,300408.SZ,0.09943884767634231,0.004172225948423147
test,full_topk,10,20250212,20250213,300413.SZ,0.10208966742953077,0.004166773054748774
test,full_topk,10,20250212,20250213,300601.SZ,0.10007492504443344,0.004156207200139761
test,full_topk,10,20250212,20250213,300677.SZ,0.09938805837066708,0.004215095192193985
test,full_topk,10,20250213,20250214,300017.SZ,0.10084776287696906,0.004186241887509823
test,full_topk,10,20250213,20250214,300070.SZ,0.09654364150454116,0.004184714052826166
test,full_topk,10,20250213,20250214,300142.SZ,0.09967437718765748,0.004177947528660297
test,full_topk,10,20250213,20250214,300144.SZ,0.09682317430658106,0.004178629722446203
test,full_topk,10,20250213,20250214,300253.SZ,0.115087285568247,0.004200603347271681
test,full_topk,10,20250213,20250214,300383.SZ,0.09984731366941672,0.004215961787849665
test,full_topk,10,20250213,20250214,300408.SZ,0.09615787340035253,0.004172179382294416
test,full_topk,10,20250213,20250214,300413.SZ,0.09615970164484622,0.004164318088442087
test,full_topk,10,20250213,20250214,300601.SZ,0.09985192910764489,0.004164436832070351
test,full_topk,10,20250213,20250214,300677.SZ,0.09900694073374389,0.004228368401527405
test,full_topk,10,20250214,20250217,300001.SZ,0.10006758991947862,0.004167664796113968
test,full_topk,10,20250214,20250217,300017.SZ,0.09751933845750127,0.00417697848752141
test,full_topk,10,20250214,20250217,300070.SZ,0.10236511575895843,0.004184290301054716
test,full_topk,10,20250214,20250217,300142.SZ,0.10063766850506864,0.00416632741689682
test,full_topk,10,20250214,20250217,300144.SZ,0.09856507671402136,0.004171870183199644
test,full_topk,10,20250214,20250217,300253.SZ,0.09706881993340687,0.0041916705667972565
test,full_topk,10,20250214,20250217,300383.SZ,0.10214068485615421,0.004213122185319662
test,full_topk,10,20250214,20250217,300408.SZ,0.10033585040145412,0.004178435541689396
test,full_topk,10,20250214,20250217,300601.SZ,0.10049873576727084,0.0041666715405881405
test,full_topk,10,20250214,20250217,300677.SZ,0.10080111968668565,0.00423807417973876
test,full_topk,10,20250217,20250218,300001.SZ,0.1031151330007285,0.004162929020822048
test,full_topk,10,20250217,20250218,300017.SZ,0.09941627391065844,0.004169222433120012
test,full_topk,10,20250217,20250218,300024.SZ,0.09814939195204478,0.00414852611720562
test,full_topk,10,20250217,20250218,300070.SZ,0.09978883838780177,0.004182844888418913
