ts_code,current_weight,target_weight,delta_weight,pred_score
300054.SZ,0.0,0.09999999998817846,0.09999999998817846,0.0037148788
300142.SZ,0.0,0.09999999998768105,0.09999999998768105,0.0037129347
300432.SZ,0.0,0.09999999998626707,0.09999999998626707,0.003701061
300383.SZ,0.0,0.09999999998594118,0.09999999998594118,0.0036991495
300037.SZ,0.0,0.09999999998138213,0.09999999998138213,0.0036882465
300001.SZ,0.0,0.09999999996755063,0.09999999996755063,0.0036531684
300285.SZ,0.0,0.09999999995800272,0.09999999995800272,0.003641727
300207.SZ,0.0,0.0999999999487268,0.0999999999487268,0.0036400985
300017.SZ,0.0,0.09999999975135469,0.09999999975135469,0.0035838387
300498.SZ,0.0,0.0999999995542269,0.0999999995542269,0.0036057034
